question,wrong_choices,correct_answer
"Sell someone down the river means:","Deliberately kill (a person or animal) by drowning, Hate someone to an extreme level, To destroy or get rid of someone","Betray someone for personal profit or advantage"
"Burn the midnight oil means:","Turn on light in late night, Work hard to achieve something, Waste the resources","Work late into the night"
"Penny wise and pound foolish","Wise to spend each penny carefully, People who don’t understand the importance of each penny, A part of life","Careful about small amounts but careless about large amounts"
"Please, stop ________ so many mistakes.","To making, Makes to, Make","Making"
"What is the meaning of the phrase ‘cry over split milk’?","Brief explanation, Express your feelings, Be sad over little things","When you complain about a loss from the past"
"‘Water under the bridge’ means:","A stagnant pond, Alter facts or figures dishonestly or illegally, Unresolved issue or conflict","Something that happened in the past and cannot now be changed"
"What is the correct antonym of the word VELLEITY ?","whim, selenite, Galimatias","Disinclination"
"‘Be under the scanner’ means: ____________?","Being closely examined, Be under the watchful eye, Be under scrutiny","All of Above"
"Idiom “hold the ring” means:","Become involved in a conflict, Set the alarm, Make new ringtones","Monitor a dispute without becoming involved in it"
"Idiom “cook the books” means: _____________?","Read or write a lot of books, Give exact information, Come to an agreement","Alter facts or figures dishonestly or illegally"
"There was a ‘whiff of’ consensus on the proposed constitutional amendments during talks between the government and opposition. Here ‘whiff of’ means:","Lack of something, Disagreement on something, Quarrel on something","A slight sign of something"
"SCIENTIST : LABORATORY ::","Dentist : Drill, Lawyer : Client, Actor : playwrite","Teacher : Classroom"
"Although officials claimed that it’s hull was _______, the Titanic sank after hitting an iceberg.","Iron made, Prominent, Oval","Impenetrable"
"Muslim alchemists tried to attain wealth by _______copper and other base metals into gol","Placing, Coin aging, Melting","Transforming"
"A rumor that the corporation was close to the ________ caused panic among it’s creditors and stockholders.","New venture, Divided declaration, Annual BOD meeting","Bankruptcy"
"Despite his illness, Inzamam was ________ in winning his team.","Disappointing, Useless, Vigorous","Instrumental"
"Maria forced herself to eat every piece on her plate; although she found the food practically______?","Delicious, Spicy, Nourishing","Inedible"
"But with the US and UK ‘egging on’ the Israelis, instead of reining in their rabid ally, it is difficult to foresee a negotiated denouement of this dangerous conflict. Here phrase ‘egging on’ means:","Embarrass, Feel ashamed, Make fool","Strongly encourage"
"American ‘sabre-rattling’ is unlikely to bring calm to a Middle East that is ready to explode. Here ‘sabre-rattling’ word means:","Military aid, Unchecked financial support, Coercive measures","Threat of military force"
"In their first debate, Kamala gets under Trump’s skin. Here “get under someone’s skin” means:","Do it with a lot of force and energy, To meet and spend time with someone, Say or do something that someone should not have","Irritate or upset someone"
"Take something with a pinch of salt”, means:","Eat with some extra salt, Eat without salt, Believe something completely","Without wholly believing"
"Qureshi accuses prosecution of dilly-dallying. Here the word ‘dilly-dallying’ means:","Becoming hasty in decision making, Not cooperating with council, Not respecting because of political interference","Wasting time by being indecisive"
"What is the meaning of the idiom “Spill the beans”?","To make a mess, To tell a lie, To start a fight","To reveal a secret"
"Be quids in, means:","To suffer loss, To be in a situation, To be a part of a group","To be making a profit"
"The new TV series from the West Wing team is ready to roll. Here idiom ‘ready to roll’ means:","Near to be finished, Start to be ruined, Ready to leave soon","Going to start soon"
"Be pushing up the daisies, means:","Live for a long time, Try hard for success, Trying something irrelevant","To be dead"
"Follow hot on the heels of, means:","Happen very slowly, Happen in hidden manner, Happen slow and secretly","Happen very soon"
"I have claim _____ you.","In, At, Over","On"
"He died ______ fever.","From, By, In","Of"
"I’m sure to profit _____ his lecture.","At, By, On","From"
"‘Keep a tight rein on’, means:","Reign masses by force, Ride horse fast, Make uncomfortable","Exercise strict control over"
"“Till the cows come home”, means:","Until evening time, Futile efforts everyday, Sometimes in a day","For a very long time"
"“In for a penny, in for a pound”, means:","Used to say: very expensive to purchase, Used to say: leave as soon as possible, Used to say: having an intense and desire for wealth or power.","Used to say: finish a project once started at any cost"
"‘To put your foot in your mouth’, means:","To behave immaturely, Compulsively bite or chew your skin, To remain silent until you are asked to speak","Say something unnecessary and"
"‘Paint the town red’, means:","Make town colorful, Keep something secret, Show the sign of danger","Go out and enjoy oneself"
"“To keep your nose clean”, means:","Drink extra fluids during flu to keep from getting dehydrated, Always remain clean and healthy, Be quite and careful","Avoid getting into trouble"
"‘Take a dim view of’, means:","Blur something, Take it easy, Pay no heed","Disapprove and criticize"
"‘Wake up and smell the coffee’, means:","Rouse and enjoy morning coffee, Ignore every thing and enjoy, Be confident about yourself","Realize the truth and facts"
"‘All hat and no cattle’, means:","Very impressive, Much powerful and strong, Place without animals","All talk but no action"
"‘Without further ado’ means: ___________?","With no more trouble, With no more respect, With no more silence","With no more delay"
"which only one word is correctly spelt","promiscous, promiscuuous, promisscuous","promiscuous"
"Synonym of Garish is: _________?","Confused, Unusual, Exciting","Gaudy"
"Synonym of Infuriate is : ___________?","Threaten, Burn, Disgrace","Enrage"
"Fast : Hunger : : Race : _________?","Horse, Smartness, Strength","Fatigue"
"Genuine : Authentic : : Mirage : _________?","Hideout, Image, Reflection","Illusion"
"Idiom, “Meat and potatoes”, means: ____________?","Important and necessary food, Unnecessary parts of something, Unpredictable things","Important and basic parts of something"
"What is the most opposite from the word ‘foe’?","Foul, Fail, Enemy","Friend"
"What word from the following is the most opposite from word ‘Stringent’?","Lieutenant, General, Meritorious","Lenient"
"He had dared to challenge the views of an ‘august’ body of imperial historians. here ‘august’ word means:","Ordinary, Silly, None of These","Worthy of respect"
"“Make sheep’s eyes at” means: _________?","Leer at, Gaze at, None of These","look at (someone) in a foolishly amorous way"
"Choose the appropriate meaning of the idioms from the choices given. To keep the pot boiling.","To heat, To show anger, To do experiments","To maintain interest"
"Everyone run ________ the thief.","With, For, on","After"
"I _________ to Islamabad with some friends last night.","have gone, am gone, am going","went"
"She was sitting ________her mother.","Along, Across, None of These","Beside"
"“Cast pearls before swine” means:","Waste time on a bad activity, Become very serious for your work, None of These","Offer something valuable to someone who does not know its value"
"“To give the devil his due” means: _________-?","Be afraid of the enemy, Do not underestimate your enemy, All of These","Admit good qualities of someone you do not like"
"“A happy go lucky fellow” means:","A very lucky person, A very courageous person, A very lazy person","A care free and vivacious person"
"The prison has succeeded in reducing ‘recidivism’. The word ‘recidivism’ word means:","The tendency of a convicted criminal to reoffend, Going back to a previous behavior, Backsliding","All of These"
"Person living in a certain place?","Evict, Wild, Dictator","Domicile"
"Stocks “eke out” gains amid growing political noise. Here “eke out” means?","Be ruined, Skyrocket without effort, Remain stable","Obtain something only with difficulty"
"Just good enough means?","Not sufficient time, An estimated criteria, None of these","Good for Circumstances"
"Choose the correct antonym of ruthless:","Majestic, Grief, Pity","Merciful"
"Synonym of Notorious is _______?","Fervour, Finesse, Festive","Flagrant"
"Choose the correctly written spelling from the following options?","., Recrudascence, Recrudescance","Recrudescence"
"Tick the correct spelling of the given word in options.","Condascend, Condescand, Condiscend","Condescend"
"Choose the correct spelling of the following word?","Auxuliary, Auxilliary, Auxuiliarye","Auxiliary"
"“In toto” means: __________?","Partially, In danger, Step by step","As a total or whole"
"The available information amounts to very little ‘in toto’. Here ‘in toto’ is?","Adjective, Preposition, None of these","Adverb"
"A person who loves mountain:","Bibliophile, Photophile, Selenophile","Orophile"
"The one-word substitution for “The breaking of an image” is:","Iconoclast, Iconography, Iconolater","Iconoclasm"
"What is the one-word substitution for ‘Incapable of being Seized”","Inviolable, Unassailable, Invulnerable","Impregnable"
"_______Parrot of Pakistan is beautiful ?","a, an, None","The"
"Which of the following is a synonym for “riven by”?","United by, Strengthened by, Supported by","Split by"
"He is walking _____ roa","By, With, In","On"
"“Take the wind out of someone’s sails” means:","To change the direction of someone, To destroy someone, To make someone more confident","To make someone feel less confident"
"The government should not spend money on helping “lame ducks”. Here lame ducks means:","Needy, Powerless, Inactive","Unsuccessful"
"A large number of ammunition, weapons and explosives __________ recovered from the terrorists on Sunday.","We’re, Has, Have","Was"
"The traveler enquired to the farmer if he could tell him the way to the nearest inn.","The traveler said to the farmer, “Where is the nearest inn?”, The traveler said to the farmer, “Which is the way to the nearest inn?”, The traveler said to the farmer, “Can you tell me where is the nearest inn?”","The traveler said to the farmer, “Can you tell me the way to the nearest inn?”"
"The idiomatic phrase “a month of Sundays” means","Time, A special Sunday, A short period","A long time"
"The phrase/ idiom “As right as rain” means:","Something is wet, Cloudy weather, Something is right","Something is perfect"
"The Phrase/ idiom “See eye to eye” means:","Have a same look, Have a same countenance, Have a same eyes colour","Have a same opinion"
"The Phrase/ idiom “Elephant in the room” means:","A minor problem, An idiot person, A giant man","A major issue"
"The Phrase ‘Clouds on the horizon’ means:","Frustration, Destruction, Thunder and lightning","Problems"
"A picture in water color on wall:","Epitaph, Epicure, Fatal","Fresco"
"Animals having two feet:","Bigamy, Bulletin, Carnivore","Biped"
"A person who wants to destroy all government and orders:","Brail, Biped, Crank","Anarchist"
"‘To pull socks up’ means?","Take a bigger risk, Come to a halt, Stop doing something","Make an effort to improve work"
"What is the one-word substitution for the term “galling”?","Irritating, Relaxing, Satisfying","Infuriating"
"What is the nearest meaning of the phrase “bandy something around”?","To play with an object, To argue intensely, To throw something away","To discuss something casually or exchange ideas informally"
"What is the nearest meaning of the word “protracted”?","Brief, Intense, Rapid","Lengthy or prolonged"
"What is the nearest meaning of the word “wryly”?","Happily, Seriously, None of These","Sarcastically"
"What is the nearest meaning of the phrase “hell to pay”?","A difficult task, A lively party, An unexpected reward","Severe consequences or trouble"
"What is the nearest meaning of the word “scathing”?","Mild, Supportive, Praise","Severe or harsh"
"What does the word “indictment” signify?","Strong evidence of serious flaws or wrongdoing, Legal charge, Moral condemnation","Formal accusation"
"What is the nearest meaning of the following idiom: “Brave the elements”?","Face difficult challenges, Fight with nature, Conquer fears","Endure harsh weather conditions"
"What is the nearest meaning of the following idiom: “Hold sway”?","Dance gracefully, Manage a situation, Stand firm","Have control or influence"
"What is the nearest meaning of the following idiom: “Spring a tap”?","Pull a prank, Initiate a conversation, Start an argument","Trick someone into doing or saying something"
"Which of the following is a synonym for “breakneck”?","Leisurely, Dangerous, Slow","Rapid"
"Which of the following is a synonym for “square up”?","Avoid, Ignore, Mislead","Confront"
"Which of the following is a synonym for “corrode”?","Strengthen, Polish, Assemble","Decay"
"Which of the following is a synonym for “swathe of”?","Fragment of, Piece of, Heap of","Strip of"
"Detect analogy : Cap : Turban : Hat","Umbrella, Hair, Safety","Headgear"
"choose the correct meaning of the idiom: ” To plough the sand”.","To make the desert bloom, To do a difficult work, To make the desert fertile","To work in vain"
"The cheque is____Habib Bank. Use suitable Preposition.","at, upon, up","on"
"The boy fell _______ the pond yesterday.","in, from, over","into"
"Synonym of Ratify is _____________?","Negotiate, Denounce, Challenge","Approve"
"Synonym of Quarry is _____________?","Trend, Decoy, Seeking explanation","Prey"
"He says, ” They will hurt you”.","He said to me that they will hurt me., He said to me that they would be hurt me., He said to me that they would hurt you.","He said to me that they would hurt me."
"He tends to___________to any suggestion I make in meetings.","agree, accept, cooperate","differ"
"Synonym of Notwithstanding is _______________?","conclusion, Finally, none of above","in spite of"
"What is the Synonym of word ‘Winnow’ ?","Fuse, Espouse, Gather","Sift"
"Identify the correct spelling:","Commision, Comission, Comision","Commission"
"Choose the correct spelling from the followings?","Cemetary, Cemmetary, Cemmetery","Cemetery"
"Synonym of Abortive is ___________?","Productive, Consuming, Effective","Unsuccessful"
"Which spelling is correct?","Milennium, Millenium, Milenium","Millennium"
"‘Vent one’s spleen’ means:","Express one’s joy, Let something out, None of These","Express one’s anger"
"Choose Correct Spelling?","Succide, Sucide, Suiccide","Suicide"
"A disease that causes death:","Congenital, Feather, None","Fatal"
"What does the idiom “to bear the brunt of” mean?","To enjoy the benefits of something, To avoid responsibility, To lead a group or effort","To take on the main force or impact of something"
"What does the idiom “have an axe to grind” mean?","To have a tool that needs sharpening, To be skilled at woodworking, To be ready for hard work","To have a personal interest or grievance"
"What does the idiom “to bury the hatchet” mean?","To hide evidence, To postpone a decision, To prepare for battle","To end a conflict and make peace"
"What does the idiom ‘to call a spade a spade’ mean?","To dig for the truth, To use the correct tool for the job, To disguise the truth with euphemisms","To speak bluntly and truthfully"
"Antonym of MELANCHOLY is _________?","sadness, gloom, sorrow","joy"
"Antonym of ENTICE is _________?","attract, lure, tempt","repel"
"Antonym of CAPRICIOUS is _________?","fickle, whimsical, impulsive","predictable"
"He is looking forward to _______ his bro.","see, saw, None of These","seeing"
"Synonym of CAPRICIOUS is _________?","amusing, instinctive, carefree","impulsive"
"He is very careful. He ____________ his children to drive his car in rush hour traffi","did not allow, allowed, allow","does not allow"
"Are we ____________ to leave on vacation?","already, altogether, all together","all ready"
"Ahmed was true to his ______________ when he saved the child’s life in the accident but asked for money as a favor from the child’s parents.","colors, tones, self","character"
"They have a(n) ___________ on the top prize in the competition.","advantage, eye, vision","edge"
"________me, I would be happy to dedicate a few extra hours for the humanitarian cause.","As of, As from, None of These","As for"
"Our group will be____________ by your group at next intersection but the goal of both groups will remain same.","replaced, ignored, influenced","joined"
"He is fond____Mangoes.","For, At, Into","Of"
"Samra is good _____ mathematics.","In, For, To","At"
"A lengthy and aggressive speech addressed to a large assembly.","Cacophony, Hullabaloo, Pandemonium","Harangue"
"What is the similar meaning of Seminal?","Destructive, Diverging, Disguised","Influential"
"He is blind _________ one eye.","of, to, with","in"
"They are enjoying swimming. What is ” swimming ” according to grammar?","Verb, Adjective, Adverb","Noun"
"Synonym of ” inane ” is ______________.","lifeless, hopeless, faithless","senseless"
"Synonym of “cryptic” is ____________.","written, copied, None of These","obscure"
"A doctor who treats children is called __________.","Pedophile, Fatalist, Pedagogue","Pediatrician"
"He met a man who lived in USA last year. What is ” who ” according to grammar here?","Interrogative Pronoun, Distributive Pronoun, Reciprocal Pronoun","Relative Pronoun"
"A person who is unable to pay his debts is called ___________.","Borrower, Lender, Allen","Insolvent"
"Always try to be polite _____ others.","with, for, on","to"
"My father said to me, ” You must work hard”.","My father said to me that I must work hard, My father said to me that you must work hard, My father said to me that I have to work hard","My father said to me that I had to work hard"
"“Give cold shoulder” means__________?","To support, Cold meat, Shiver","To ignore"
"Which form of verb is usually used in “Passive Sentences”?","First Form, Second Form, None","Third Form"
"Mother said, “Where are you going? “","Mother said me where I am going., Mother said to me where are you going., Mother asked me where I am going.","Mother asked where I was going."
"He opened a current account _______ the bank last week.","in, on, into","at"
"He is ill ____________ fever?","of, in, from","with"
"There is no use ___going there at this time.","at, on, of","in"
"He will not turn ______________ my respect","on, over, None of these","down"
"In the test, we will _________ your work and then give you detailed feedback.","judge, measure, check","assess"
"What does mean of ‘Lotus-eater’?","Man of no substance, Honorary and reputable, A destructive man never be conqueror","A person full of laziness"
"What does mean by idiom ‘To kill a mockingbird’?","To kill one who copies, Hit a man with a pebble, Eradication of moral values","Destroy one’s innocence"
"Antonym of ARTIFICIAL is ______________?","Red, Solid, Truthful","Natural"
"Select the word which is spelled correctly?","benifited, benifitted, None of These","Benefited"
"Synonym of Gaol is ___________?","Purpose, Objective, None of These","Quod"
"Which country launched its first operational earth observation satellite “Taifa-1?","Nigeria, Ethiopia, Tanzania","Kenya"
"A person living permanently in a certain place.","Resident, Native, Subject","Domicile"
"A person who is indifferent to pains and pleasure of life:","Sadist, Psychiatrist, Aristocrat","Stoic"
"Choose the correct spellings.","Qoloquial, Coloquial, Colloqial","Colloquial"
"My room is infested _________ insects.","In, On, From","With"
"The planes flew in formation _________ the fields.","On, Above, At","Over"
"Antonym of EXPAND is _____________?","Congest, Conclude, Convert","Condense"
"Write the synonym of “admonish”?","defeat, defend, destroy","counsel"
"synonym of word Luscious:","Loathe, Abet, Unappetizing","Succulent"
"Synonym of abhor?","love, prefer, admire","hate"
"The Collins Dictionary’s word of the year for 2022 is: __________?","Moribund, Vax, Succulent","permacrisis"
"Can you repair _____ compter in Liam’s office? It’s not working.","a, an, none of these","the"
"Everyone who works in this department uses ___________ computer.","the, an, none of these.","a"
"“Xenzia” is the synonym of __________?","Extrovert, Outspoken, Gregarious","Reserved"
"Bring forward means?","Show up, Clarify, None of These","Produce"
"Change the voice “Set the thief to catch the thief”.","Let the thief to catch the thief, Thief is set to catch the thief, None of These","Let the thief be set to catch the thief"
"A black and white cow ________ grazing in the fiel","are, were, None of These","is"
"He is _________ doctor.","an, the, no article","a"
"We gave _________a meal.","at the visitors, for the visitors, None of These","the visitors"
"The idiom donkey’s year means _________?","Very Short period, Both, None","Very long period"
"I am satisfied ________ his performance.","By, On, None of These","With"
"idiom of “Smell A Rat” ?","To reveal secrets, Talking nonsense, To get momentum in a job","To suspect that something is wrong"
"Alice is _______ at the flowers in the garden.","Seeing, Watching, Washing","Looking"
"What is the synonym of Anxiety?","to be dipressed, Angry, None of These","worried"
"Synonyme of Garbage is _________?","Level, Standing, Grade","Trash"
"He is ________ home.","in, by, with","at"
"The shopkeeper sells sweets made ______ pure milk.","of, by, with","from"
"This chair is made______ woo","with, from, by","of"
"Choose the antonym of Birth?","Death, End, Conclusion","All of the above"
"What is the antonym of Anguish?","Polite, Hatred, All of the above","Delight"
"Choose synonym of Fear?","Laughter, Smile, Judgement","Horror"
"Choose the synonym of Grief ?","Happiness, Love, None of these","Sorrow"
"The Government should care _________ the victims of the recent floods.","To, After, Of","For"
"I can’t even think _______ travelling _______ public bus.","off, to, by, in, of, to","of, by"
"I am glad _______ your success.","to, of, None of these","for"
"Choose the correct meaning of the idiom: ‘A Dark Horse’.","A wicked fellow, A criminal Getting the water dirty, None of these","An Unexpected winner"
"We suffered ________ your neglect.","To, Of, None of These","From"
"The river flows ________ the bridge.","Along, On, None of above","Under"
"Do not Jeer ___________ poor","on, over, none of these","at"
"Choose the correct spelling from the following?","Etiquite, Etikuit, None of These","Etiquette"
"She is working _______ midnight.","For, In, On","Since"
"Mr. Jamal asked him a question.","A He was asked a question Mr. Jamal., He was asked a question to Mr. Jamal., A question was being asked by Mr. Jamal.","He was asked a question by Mr. Jamal."
"A lion does not eat grass, however hungry he may be.","Grass is not being eaten by a lion, however hungry he may be., Grass is eaten not by a lion, however hungry he may be., Grass is being not eaten by a lion, however hungry he may be.","Grass is not eaten by a lion, however hungry he may be."
"It is your duty to make tea at eleven O’clock.","A You are asked to make tea at eleven O’clock., Your are required to make tea at eleven O’clock., Tea is to be made by you at eleven","You are supposed to make tea at eleven O’clock."
"Women like men to flatter them?","Men are liked by women to flatter them, Women like that men should flatter them, Women are liked to be flattered by men","Women like to be flattered by men"
"Antonym of mendacious is__________?","release, dishonest, vigor","veracious"
"Antonym of felicitous is___________?","devout, lavish, miser","inopportune"
"Synonym of supervene is ___________?","intervene, urgent, imply","follow"
"Antonym of parsimony is___________?","verbosity, facile, freeze","generosity"
"Antonym of effluvium is___________?","essential, regret, manifest","fragrance"
"Antonym of lugubrious is__________?","Sincere, dry, dour","Cheerful"
"Antonym of fallacious is___________?","Perfect, Alarm, Land","truthful"
"Synonym of antediluvian is __________?","boorish, petty, strike","antiquated"
"Synonym of negligent is _________?","turn, decide, want","careless"
"Antonym of philistine is__________?","Novice, worst, past","Intellectual"
"Antonym of malodorous is ___________?","acrid, besmirch, confine","fragrant"
"Antonym of heartfelt is___________?","friendly, overt, humorous","Insincere"
"Synonym of sacrosanct is __________?","Prayer, violent, Loud","sacred"
"Synonym of reverie is __________?","Palimpsest, Curio, None of these","Daydream"
"Synonym of Sumptuous is ___________?","delirious, Gorgeous, Hit","luxurious"
"Synonym of jovial is ________?","Dizzy, sleepy, revolting","Merry"
"Synonym of predict is __________?","Prevent, Discover, None of these","foretell"
"The Alphabets others then (a e i o u) are called ____________?","Vowels, Phrase, None of these","Consonants"
"synonym of ” Zest” is _____________?","disappointed, discourage, hope","enthusiasm"
"Synonym of ‘Abasement’ is ____________?","incurrence, taxation, humility","humiliation"
"_______makes the mare go.","Gold, Silver, Copper","Money"
"The Romans ______ to Britain in 54 B","Comed, Had come, None of these","Came"
"One who praise oneself is called __________?","Fascist, Nazist, None of These","Narcissist"
"Synonym of Decade is __________?","Err, Period, Years","Period of 10 years."
"Synonym of “Acute” is ___________?","Not serious, Chronic, Obtuse","Extremely severe"
"Synonym of “Mutable” is ________?","Constant, Not changeable, Pleasant","Changeable"
"Synonym of Bashful is ____________?","Easily noticed, Fruitful, Annoying","Easily embarrassed"
"Synonym of “Unsullied” is __________?","Spoiled, Ill-natured, Stained","Not spoiled"
"I eat mangoes.","Mangoes are ate by me., Mangoes is eaten by me., Mangoes has eaten by me.","Mangoes are eaten by me."
"The U.N.O is the forlorn hope for world peace . ‘Forlorn hope’ means: ___________?","False hope, Good initative, None of these","Desperate enterprise"
"For this act of indifference he will be taken to task by the authority; here taken to task means:","Rewarded, Tender his resignation, Entrusted with an official jo","Get an official reprimand"
"Idiomatic phrase ‘a month of Sundays’ means: ___________?","no time, a special Sunday, a short period","a long time"
"He said to the hotel receptionist, “Can you tell me the tariff of rooms?","He asked the hotel receptionist that if he can tell him the tariff of rooms., He asked the hotel receptionist to tell him the tariff of rooms., He enquired the hotel receptionist if he can tell him the tariff of rooms.","He asked the hotel receptionist if he could tell him the tariff of rooms."
"He left you in the _________ when you needed him most.","dirt, alley, field","lurch"
"“Chevon” is the meat of ________?","Sheep, Pigeon, Water buffalo","Goat"
"The meat of calf is called_________?","Squab, Venison, Chevon","Veal"
"The bead of ___________is called “mutton”?","Goat, calf, Both a and b","Sheep"
"“Deer meat “is also called __________?","Squab, Turkey, Veal","venison"
"Not only teacher but students ________ laughing.","Was, Had been, None of these","were"
"I have not seen you ______ Monday.","from, for, None of these","Since"
"We have got plenty of time for work, We _______ not hurry.","May, Will, None of these","Need"
"Antonym of impartial is _____________?","hostile, dislike, worried","biased"
"Antonym of WITHDRAW is _____________?","reduce, need, want","advance"
"One who talks while sleeping is __________?","Somniferous, Somnambulant, None of these","somniloquy"
"A person who chatters meaninglessly is __________?","Talkative, Loquacious, Voluble","Garrulous"
"Synonym of Leeway is __________?","Prison, Brave, Country","Freedom"
"The plural of sheep is __________?","sheeps, sheepers, sheeves","sheep"
"To get on the nerves.","To soothe, To have an illness, To give medicine","To irritate"
"Synonym of FOMENT is _____________?","Ignore, Inspire, Important","Incite"
"Entertainment’ is related to ‘Television’ in the same way as ‘Warmth’ is related to ‘______","Proximity, Temperature, Day","Woolens"
"Antonym of GRATUITY is _____________?","Annuity, Stipend, Disaccout","Compensation"
"Antonym of PEEVISH is _____________?","Unpleasant, Snappish, Authoritative","Amiable"
"Antonym of BLEMISH is _____________?","Pimple, dearth, Tarnish","Adornment"
"A summary statement of commemoration for a dead person.","Remission, Helligfernt, Samaritan","Epitaph"
"A dramatic performance","Appraisal, Voluntary, Genius","Masque"
"A confusing and difficult problem or question.","Memories, Prodigy, Pandemonium","Conundrum"
"A cinema show which is held in the afternoon.","Propensity, Retaliate, Eternal","Matinee"
"A child with unusual or remarkable talent.","shrew, Bossy, linguistic","Prodigy"
"The one who knows many languages?","Cosmopolitan, Epicure, Antiquarian","Polyglot"
"The one who is present everywhere?","Omnipotent, Philanthropist, None of the above","Omnipresent"
"The one who acts against religion?","Pessimist, Illiterate, Atheist","Heretic"
"The ______ for a vaccine could take up to a year.","chase, pursuit, track","search"
"Today, banking in a seamless world ______ a distinct reality.","Are, was, Have","Is"
