question,wrong_choices,correct_answer
"Where does the file name appear on the MS Word window ?","Home Bar, Status Bar, Ribbon E. None of these","Title Bar"
"What is the use of a horizontal Scroll Bar in MS Excel?","to view the data in Excel from up and down, to view the data from right to the left, None of these","to view the data from left to the right"
"In a windows pc, the shortcut key for redoing the last action in Microsoft PowerPoint is __________?","CTRL+R, CTRL+Z, CTRL+ O","CTRL+Y"
"Shortcut key to Remove paragraph formatting is_________________________?","Ctrl + S, Ctrl + E, Ctrl + L","Ctrl + Q"
"Ctrl +U is used for ____________________?","italic, bold, none","underline"
"Which one can be used for creating a document _______________________?","MS Excel, MS Access, None","MS Word"
"________________________ is not a valid data type in excel?","Number, Label, none","Character"
"In MS Word, the shortcut for paste command is _________________________?","Ctrl+X, Alt+X, Shift+Alt+X E. Ctrl+C","Ctrl+V"
"The default page size for word documents is also used in offices_____________________?","Legal, Letter, None","A4"
"The .xls extension is used for _________________________ files?","Windows, Power Point, Access E. Word","Excel"
"What is the default slide name in MS Word ?","presentation1, Book1, none of the above","document1"
"Which short cut key used for help ?","F2, F3, F4","F1"
"Which organization has launched the quantum processor ‘Willow’?","Yahoo, Amazon, Microsoft","Google"
"Which shortcut key is for auto sum ?","Ctrl + Shift, Alt + F1, Ctrl + =","Alt + ="
"Which of the following is not a type of page margin?","Right, Left, Top","Center"
"The______________is the amount of data that a storage device can move from the storage medium to the Computer per second?","data migration rate, data digitizing rate, data access rate","data transfer rate"
"You cannot close MS Word application by___________?","Press Alt+F4, Click X button on title bar, From File menu choose Close submenu","Choosing File menu then Exit submenu"
"Which is a volatile memory ?","ROM, BIOS, PROM","RAM"
"The term___________designates equipment that might be added to a computer system to enhance its functionality.","digital device, system add-on, disk pack","peripheral device"
"Total Rows of MS Word Table are ________?","42767, 52755, unlimited","32767"
"New Windows, Arrange All & Split are options in which of the following Tab?","Reference Tab, Review Tab, Layout Tab","View Tab"
"Mark Entry represents ________?","add the selected text to the Table of Authorities, add the selected text to the Level 01, None of these","add the selected text to the Index."
"What should we do if we want Side by Side documents in MS Word?","Minimise one Windows click on another, Zoom bar > Click on Read mode, Review>> Compare","View>>Windows gallery>> View Side by Side"
"In which Tab “Restrict Editing” is available?","Mailings Tab, File menu, Reference Tab","Review Tab"
"You can customize all of your document properties in the: __________?","Preview Window, Options Menu, Page layout tab","Backstage view"
"Why we use clear formatting in MS Word?","To Clear all shapes, To Clear all data, To Clear text","Clear the formatting from the text"
"Which gallery contains “Strikethrough” option in MS Word?","Styles Gallery, Editing Gallery, None","Font Gallery"
"Undo, Redo & Save are default options of which function?","Title Bar, Tabs Bar, Status Bar","Customize Quick Access Toolbar"
"In which Tab “Ruler” is available?","Home Tab, Insert Tab, Review Tab","View Tab"
"In MS Word, “Justify” works to make text straight in both sides but How Justify works in MS Excel?","Text in Columns, Text in selection, None","Text in Rows"
"Which shortkey is suitable for reach at the last Row of MS Excel?","Ctrl + Space, Shift + Ctrl +Enter, Ctrl + =","Ctrl + Down Arrow"
"Which of the following is last column in MS Excel-2016?","ZZZ, ZXF, ZAZ","XFD"
"Which of the following is not Tab of MS Word-2007?","Reference Tab, View Tab, Home Tab","Design Tab"
"Latest MS Windows is__________?","Windows 8, Windows 10, Windows 7","Windows 11"
"INDEX gallery belongs to which Tab?","Mailings Tab, Review Tab, View Tab","References Tab"
"‘Notification area’ is available in which Desktop’s function?","Windows Button, Title bar, None of These","Taskbar"
"Windows+M is used for: ________?","Maximize file/folder, Zoom file/folder, All of these","Minimize file/folder"
"Which is the last function of Pop-menu (Refresh bar)?","Sort by, Display, View","Aon Ali Gopang"
"What is default Zoom in MS Word-2016?","120%, 130%, 150%","100%"
"What is default Line-spacing in MS Word?","1.0, 1.5, 2.0","1.15"
"Total Font-sizes are available in Font-size Tool_______?","15 sizes 17 sizes 21 sizes","16 sizes"
"Mouse also known as pointing device developed by: _________?","Charles Babbage, Ada Lovelace, Alan Turing","Douglas Engellbert"
"What is maximum Zoom in MS Word________________________?","400%, 300%, 200%","500%"
"Editing is last gallery available in which tab in MS WORD?","Insert Tab, Design Tab, View Tab","Home Tab"
"Ada Lovelace was the first programmer woman in computer history, she also known as ________.","Mother of Calculation, Mother of Monitor, None","Mother of Computer"
"In which MS Office version Screenshot is given?","MS Office 2003, MS Office 2007, None of these","MS Office 2010"
"What is the maximum font size you can apply for any character in Ms Word?","160 pt, 163 pt, 16038 pt","1638 pt"
"WAN stands for_____________?","Wap Area Network, Wide Array Net, Wireless Area Network","Wide Area Network"
"What is the main difference between a mainframe and a super computer?","Super computer is much larger than mainframe computers, Super computers are much smaller than mainframe computers, Supercomputers are focused to execute as many programs as possible while mainframe uses its power to execute few programs as fast as possible.","Supercomputers are focused to execute few programs as fast as possible while mainframe uses its power to execute as many programs concurrently"
"MSI stands for___________?","Medium System Integrated Circuits, Medium Scale Intelligent Circuit, Medium System Intelligent Circuit","Medium Scale Integrated Circuits"
"VGA is____________?","Visual Graphics Array, Volatile Graphics Array, Video Graphics Adapter","Video Graphics Array"
"CD-ROM stands for____________?","Compactable Read Only Memory, Compact Data Read Only Memory, Compactable Disk Read Only Memory","Compact Disk Read Only Memory"
"ALU is____________?","Array Logic Unit, Application Logic Unit, None of above","Arithmetic Logic Unit"
"The computer that process both analog and digital is called____________?","Analog computer, Digital computer, Mainframe computer","Hybrid computer"
"Analog computer works on the supply of ____________?","Electrical pulses but not continuous, Magnetic strength, None of the above","Continuous electrical pulses"
"which one is Digital device, select from the choices below?","Automobile analog speed meter, Clock with a dial and two hands, All of them","Digital Clock"
"Which of the following are components of Central Processing Unit (CPU) ?","Arithmetic logic unit, Mouse, Arithmetic logic unit, Integrated Circuits, Control Unit, Monitor","Arithmetic logic unit, Control unit"
"The brain of any computer system is___________?","ALU, Memory, Control unit","CPU"
"1 Gigabyte is equal to ____________?","1024 bits, 1032 megabytes, 1024 kilobytes","1024 megabytes"
"Which technology is used in compact disks?","Mechanical, Electrical, Electro Magnetic","Laser"
"What type of operating system MS-DOS is?","Graphical User Interface, Multitasking, Menu Driven Interface","Command Line Interface"
"A collection of system programs that controls and co-ordinates the overall operations of a computer system is called____________?","System software, Utility program, Device driver","Operating system"
"WWW stands for___________?","World Whole Web, Wide World Web, Web World Wide","World Wide Web"
"If a computer has more than one processor then it is known as__________?","Uni-process, Multi-threaded, Multi-programming","Multiprocessor"
"Who is the father of Internet ?","Chares Babbage, Denis Riche, Martin Cooper","Vint Cerf"
"The basic operations performed by a computer are__________?","Arithmetic operation, Logical operation, Storage and relative","All the above"
"Who is the father of Computer?","Allen Turing, Simur Cray, Augusta Adaming","Charles Babbage"
"The term ‘Computer’ is derived from__________?","German, French, Arabic","Latin"
"What is the largest SI unit of memory and is equal to___________?","Gigabyte = 1000 megabytes, Exabyte = 1000 Petabytes, Zettabyte = 1000 Exabyte","Yottabyte= 1000 Zettabyte"
"Shift+Alt+D is used to __________?","Insert the database, Insert the previous data, Insert the D drive","Insert the current date"
"Which shortcut key will shutdown your computer?","Ctrl+F5, Ctrl+F4, Alt+F5","Alt+F4"
"In MS Excel, you have a list of sales data in column A, and you need to find the second highest unique value in this list. Which of the following formulas will correctly return the second highest unique value?","=LARGE(A:A, 2), =LARGE(UNIQUE(A:A), 2), =SMALL(UNIQUE(A:A), 2)","=INDEX(SORT(UNIQUE(A:A), , -1), 2)"
"In MS Excel, which of the following functions can be used to remove all spaces from a text string except for single spaces between words?","SUBSTITUTE, CLEAN, REPT","TRIM"
"Which Excel feature allows you to freeze rows and columns so they remain visible while scrolling?","Lock Cells, Hide Rows/Columns, Split Window","Freeze Panes"
"What is the function of Vlookup formula in Excel ?","VLOOKUP stands for “Value Lookup,” which searches horizontally across the top row of a table for a specified value., VLOOKUP returns a value from the same row as the lookup value, but from a column specified by the user., VLOOKUP scans the entire table and returns the first value found that matches the lookup criteri","VLOOKUP retrieve data base on specified criteria from the most left column of the table, searching vertically down for a specified value."
"How do you enable Caret Browsing in a browser?","Press the F5 key, Press the Ctrl key, Press the Alt key","Press the F7 key"
"What is the purpose of Caret Browsing?","To navigate through web pages quickly, To navigate through web pages using a mouse, To navigate through web pages using a touchscreen","To navigate through web pages using a keyboard"
"Which of the following is a benefit of Caret Browsing?","It allows users to navigate through web pages quickly, It allows users to navigate through web pages using a mouse, It allows users to navigate through web pages using a touchscreen","It allows users to navigate through web pages using a keyboard"
"What is the function of a firewall in computer networking?","Monitor website traffic, Block unwanted email, Increase internet speed","Protect against unauthorized access and threats"
"Which is an item of storage medium in the form of circular plate?","CPU, Printer, ALU","Disk"
"In Excel, Conditional formatting is in: ______________?","Insert Tab, Page layout, View Tab","Home Tab"
"The purpose of Thesaurus tool is used in MS word?","Grammar options, Spelling Checking, Replace","Synonyms and Antonyms"
"In a computer spreadsheet, function which is used to count numbers of entries in given range is called __________ ?","Length, Counter, None of These","Count"
"UTP stands for","Unshielded Transmission Protocol, Unshielded Transfer Pair, Unshielded T-line Protocol","Unshielded Twisted Pair"
"In microprocessor terminology, what does DMA stand for?","Direct Module Access, Direct Memory Allocation, None of These","Direct Memory Access"
"What does the term “filter” refer to in Excel?","To permanently delete rows or columns, To format the appearance of cells, To create a chart","To temporarily hide certain data based on specific criteria"
"What are the small squares arranged in rows and columns called in Excel?","Columns, Blocks, Rows","Cells"
"Which key deletes the character to the right of the cursor in Ms Word?","End, Backspace, Home","Delete"
"In Ms Excel Ready made templates are available under _______ tab ?","Insert, Design, None of Above","File"
"“Ctrl + End” Shortcut key is used in Ms Word to____________?","Moves the cursor to the end of Line, Moves the cursor to the end of Paragraph, None of the Above","Moves the cursor to the end of Document"
"A light sensitive device that converts drawing, printed text or other images into digital form is___________?","Keyboard, OMR, None of these","Scanner"
"What is the purpose of inserting wallpaper in Microsoft Word?","To adjust the page margins, To change the font style, To create page headers and footers","To add visual interest to the document"
"Which feature starts a new line whenever a word or sentence reached a border","Text Line, New Line, Text Align","Text Wrapping"
"Who is the father of MS Word?","Martin Cooper, Denis Riche, Bill Gates","Charles Simonyi and Richard Brodie"
"Who Invented the First Computer Mouse?","Ada Lovelace, Charles Babbage, None of these","Douglas Engelbart"
"A computer cannot “boot” if it does not have the _____system.?","Compiler, Loader, Assembler","Operating"
"In 1997, which technological design was named after a Viking king?","Modem, McAfee, Microsoft","Bluetooth"
"Maximum zoom percentage in Excel is _________?","100%, 300%, 500%","400%"
"Default file name in MS Excel is?","Document 1, Workbook 1, Worksheet","Book1"
"To insert chart in MS Excel, which shortcut key used?","F2, F3, F4","Alt+F1"
"What is a shortcut key of “Change the font’ in MS Word?","Alt + shift + F, Alt + F, None of These","Ctrl + Shift + F"
"css stands for ?","casecading simple sheet, casecading sheets style, None of These","Cascading Style Sheets"
"Window 9 main features are ________?","Windows 9 Has a New Look, Windows 9 Snap Layouts, Multiple Desktops in Windows 9","Window 9 Not launched"
"In assembly languages symbols are used instead of binary code, these symbols are called?","ALGOL, Procedures, None of these","Mnemonics"
"What is the function of the VLOOKUP function in Excel?","To perform a horizontal lookup and return a value based on a specified criteria, To add up a range of cells, To find the average of a range of cells","To perform a vertical lookup and return a value based on a specified criteria"
"What is the function of the IF function in Excel?","To add up a range of cells, To find the average of a range of cells, To count the number of cells in a range","To perform a logical test and return a value based on the result"
"What is the function of the SUM function in Excel?","To find the average of a range of cells, To count the number of cells in a range, To find the maximum value in a range of cells","To add up a range of cells"
"What is the intersection of a column and row called in Excel?","A range, A column header, A row header","A cell"
"Title bar in MS-Excel displays name of the __________ ?","Worksheet, Formula, Location","Workbook"
"in MS-Excel__________ short cut key is used for hiding rows.","Ctrl+H, Ctrl+7, None of the above","Ctrl+9"
"Which of following is not an element of computer spreadsheet interface?","Active cell, Menu bar, Workbook","Pencil work"
"Computer spreadsheet capability to allow a pie chart to be generated from data in spreadsheet cells is termed as __________ ?","Decoration, Data appearance, Functions","Charting"
"What is a cell in Excel?","A row, A column, A unit of formatting","A unit of data"
"In excel columns are labelled as____________?","1, 2, 3, et, A1, A2, A3, et, $A$1, $A$2, et","A, B, C, et"
"which of the following is not a valid Zoom percentage in Excel?","10, 100, 300","500"
"User developed instruction for excel are called__________?","Progrms, Procedured, All of these","Macros"
"Which function calculates the largest value in a set of numbers in Excel?","Average, Count, Minimum","Maximum"
"What displays the content of active cell?","Name box, Row headings, None of these","Formula bar"
"In a computer spreadsheet, block of cells is called __________ ?","Workbook, Function, Column","Range"
"Microsoft Excel 2019 files have a default extension of___________?",".Xls, .excel, .123",".Xlsx"
"In a computer spreadsheet, SUM, AVERAGE, MIN and MAX are examples of __________ ?","Calculations, Formulas, Relative addressing","Functions"
"In Ms Excel, which of the following special function keys allow the content in cell?","Shift, Esc, Tab","Space"
"Ctrl+Shift+1 shortcut Keys in excel are used to __________?","Format number in currency format, Format number in date format, Format number in time format","Format number in comma format"
"Which Shortcut keys are used to strikethrough highlighted selection in Excel?","Ctrl+4, Ctrl+6, None of the above.","Ctrl+5"
"The first web browser is?","internet explore, chrome, yahoo","world wide web"
"Which of the following is the latest version of MS Excel?","Excel 2016, Excel 2017, Office 365","Excel 2021"
"A program with a graphical user interface for displaying HTML files, used to navigate the World Wide We","Search engine, Comment, None of These","Web browser"
"A program that can execute high level language programs?","Compiler, Sensor, Circuitry","Interpreter"
"What is the smallest and largest font size available in Font Size tool on formatting toolbar?","6 and 72, 6 and 68, 7 and 72","8 and 72"
"Slide show options available to the presenter include all of the following except_____________?","Speaker notes command, Meeting reminder command, Navigation commands","Transitions command"
"Which of the following can be used to navigate documents?","frames, web toolbar, all of the above","hyperlinks"
"Which operation you will perform if you need to move a block of text?","Copy and Paste, Paste and Cut, Paste and Delete","Cut and Paste"
"Ctrl + Z Shortcut is used in Microsoft Word to_____________?","Redo the last Action, Add the new page, Paste the contents from clipboard","Undo the last Action"
"Ctrl + W Shortcut is used in Microsoft Word to_____________?","Save and Print the Document, Save and Close Word Application, Without Save, Close Document","Save and Close document"
"Ctrl + V Shortcut is used in Microsoft Word to_____________?","Paste Texts in the beginning of Document, Paste Images in the beginning of Document, Paste Tables at the middle of Document","None of the above"
"What is the function of CTRL+N in Microsoft Word?","Save Document, Open Document, Close Document","New Document"
"Ctrl + M Shortcut is used in Microsoft Word to____________?","New Document, Close Document, Right Indent","Left Indent"
"Which shortcut key is used to switch from one MS Word document to another MS Word document?","Ctrl + Shift + F4, Ctrl + Shift + F2, None of These","Ctrl + Shift + F6"
"Ctrl + F Shortcut key is used in Ms Word to____________?","Open Page Setup Dialog box with activating Layout Tab, Open Font Dialog Box with activating Font tab, Open File Save as Dialog box","Open Find and Replace Dialog box with activating Find Tab"
"Ctrl + H Shortcut key is used in Microsoft Word to____________?","Open Format Dialog box activating Insert Hyper Link tab, Open Insert Dialog box activating Insert Hyper Link Tab, Open Insert Hyper Link Dialog box","Open Find and Replace Dialog box with activating Replace Tab"
"Default name of a newly created MS Word File is ___________?","File1, untitled1, None of these","Document1"
"Microsoft word is __________ software?","Compiler, System, Programming","Application"
"Which of the following helps to reduce spelling error in the document?","Auto Format, Smart Tags, Auto Text","Auto Correct"
"What is MS Word?","A Spreadsheet, An Operating system, None of These","A Word Processing Software"
"Thesaurus tool in MS Word is used for____________?","Grammar options, Spelling suggestions, None of These","Synonyms and Antonyms words"
"Which of the following is not a font style?","Bold, Italics, Regular","Superscript"
"Which shortcut key is used to spell check in Microsoft Word?","F1, F2, F9","F7"
"In Microsoft Word shortcut key CTRL+W is used for___________?","open the Print dialog box, Update the current Web page, None of these","close the current window"
"Mac is a ________?","Utility Program, Windows, Multimedia Software","Operating System"
"How many characters in ASCII 8-bit code can represent?","1000 characters, 390, 156 characters","256 characters"
"To minimize the all windows in desktop shortcut key is _________?","Windows+A, Windows+N, Windows+A","Windows+M"
"in PowerPoint If you select Insert >> Picture >> From File","You can insert pictures and clipArts, You can insert clipArts only, None of above","You can insert pictures only"
"The effect applied to display when slides changes in slide show view is_____________?","Slide Animation, Custom Animation, Custom Transition","Slide Transition"
"To start slide show of a presentation?","Hit F5 key, From Slide Show menu choose From Beginning, From Slide Show menu choose Rehearse timing","Both A & B"
"the slide that is used to introduce a topic and set the tone for the presentation is called the","table slide, graph slide, bullet slide","title slide"
"What are lines, curve, free form, and scribble in PowerPoint?","Emphasis effects that can be applied to animations, Predefined entrance and exit effects, All of the above","Types of custom motion paths"
"In Microsoft PowerPoint the entry effect as one slide replaces another in a show is called a (an)______________?","animation, custom animation, preset animation","slide transition"
"Which option on the custom animation task pane allows you to apply a preset or custom motion path?","Emphasis, Animate now, All of the above","Add effect"
"To exit the PowerPoint?","click the application minimize button, double click the applications control menu icon, double click the document control menu icon","click the document close button"
"What Power point feature will you use to apply motion effects to different objects of a slide ?","Slide Transtion, Slide Design, Animation Objects","Animation Scheme"
"Which file is responsible to start MS Power point?","ppt.exe, Mspoint.exe, None of these","Powerpnt.exe"
"To center the selected text, the shortcut key is ___________","Ctrl+ C, Ctrl+ O, Ctrl+ U","Ctrl+ E"
"How can you stop a slide show?","Press the right arrow, Press the down arrow, Press the left arrow","Press Escape"
"Which of the following pane is not available in Task Pane of Power Point?","Getting Started, Clip Art, Search result","Word Art"
"Which shortcut key inserts a New Slide in Current Presentation?","Ctrl + N, Ctrl + O, None of These","Ctrl + M"
"__________ is a presentation program?","U-torrent, Mozilla Firefox, Slide Panel","MS PowerPoint"
"Page Down Keyboard Key is used in Microsoft Word to_________?","Moves the cursor one line down, Moves the cursor one page down, Moves the cursor one paragraph down","Moves the cursor one screen down"
"Which of the following is not valid version of MS Office?","Office 2003, Office 2007, None of these","Office Vista"
"First boot sector virus is __________?","computed, mind, None of These","brian"
"_________ are often delivered to a PC through an email attachment and are often designed to do harm.","Spam, Portals, None of These","Viruses"
"How many languages does MS Office support?","98, 145, 193","102"
"What is the maximum number of lines you can set for a drop cap?","3, 15, None of These","10"
"Adjusting the space between two consecutive characters is called __________.","Leading, Formatting, Editing","Tracking"
"Date and time are displayed on _________?","Status bar, Menu Bar, Launch pad","Task bar (system tray)"
"There are _______ cards in a standard deck of cards?","36, 44, 54","52"
"Which short key is used for close program?","ctrl + F4, shift + F4, None of These","alt + F4"
"What is the most popular system in the shorthand?","Sloan Duployan System., John Robert Gregg’s System, Morse Code","Pitman Shorthand"
"Which file is responsible to start MS word?","Win.exe, Worexe, None","Winworexe"
"In Inpage we used _________ for Title Text box ?","Ctrl+F7, Ctrl+O, Ctrl+T","Shift+F3"
"In which language is source program written?","English, Symbolic, None of these","High Level"
"In MS Excel, Conditional Formatting is in ______ tab?","View, Page Layout, Insert","Home"
"Which of the following windows do not have start button?","Windows 10, Windows vista, None of these","Windows 8"
"The length of MAC address is ___________?","32 bits, 64 bits, 128 bits","48 bits"
"BASIC stands for ________?","Basic All Purpose Symbolic Instruction Codes, Beginners All Purpose Symbolic Intelligent Codes, Beginners Anti Purpose Symbolic Instruction Codes","Beginners All Purpose Symbolic Instruction Codes"
"Which short cut key is used to insert trademark (TM) symbol?","Ctrl+Alt+TM, Ctrl+Alt+ST, Ctrl+Alt+TT","Ctrl+Alt+T"
"Which of the following is/are the logic gate?","AND, OR, NOT","All of these"
"Which short cut key is used to insert copyright © symbol?","Ctrl+Alt+T, Ctrl+Alt+S, Ctrl+Alt+CC","Ctrl+Alt+C"
"From the following who invented Slide Rules?","John Napier, Gottfried Leibnitz, Blaise Pascal","William Oughtred"
"in which language is source program written:__________?","English, symbolic, None of these","High level"
"What is the shortcut key of Mark Citation in MS Word?","Alt + Shift + P, Alt + Shift + B, Alt + Shift + Q","Alt + Shift + I"
"In MS Word 2010, to use the Spelling and Grammar option, one has to click on the _____ tab and within the _____ group click on ‘Spelling & Grammar’?","Design, Tracking, Review, Compare, View, Language","Review, Proofing"
"CAM Stands for: __________?","Computer Aided Machine, Computer Automatic Machine, Computer Automatic Manufacturing","Computer Aided Manufacturing"
"When MS word was launched _________?","1980, 1979, None of these","1983"
"Storage capacity of magnetic disk depends on _________?","Tracks per inch of surface, Bits per inch of tracks, Disk pack in disk surface","All of above"
"An online journal where people post about their experiences called __________?","Internet, Webpage, None of these","Blog"
"Which of the following is the most powerful computers?","Mainframe Computer, Mini Computers, Micro Computers","Super Computers"
"Memory is made up of_____________?","Set of wires, Set of circuits, Large number of cells","All of these"
"The first completely 64-bit compatible version of Android was____?","Android 4.0 Ice Cream Sandwich, Android 3.0 Honeycomb, Android 2.3 Gingerbread","Android 5.0 Lollipop"
"What computer virus holds the record for being the most widespread computer virus?","Nimdad, Melissa, Christmas","I Love You"
"Which method is used to connect a remote Computer?","Device, Logic Circuit, None of these","Dialup"
"A single packet on a data link is known as _________?","Path, Block, Group","Frame"
"The symbols used in an assembly language are _________?","Code, Assembler, All of the above","Mnemonics"
"What is the full form of G-mail?","Gold Mail, Great Mail, Grooming Mail","Google Mail"
"Objects on the slide that hold text are called______?","Object Holder, Auto layout, Text Holder","Place Holder"
"Which of the following you can paste selectively using Paste Special Command?","Validation Formats Formulas","All of above"
"You can set page border in excel from: __________?","From Border tab in Format Cells dialog box, From Border tool in Formatting toolbar, From Line Style tool in Drawing toolbar","You can not set page border in Excel"
"Excel displays the current cells address in the __________?","Formula bar, Status bar, Title bar","Name box"
"The first cell in excel worksheet is labeled as _________?","AA, Aa, None of these","A1"
"An excel workbook is a collection of __________?","Workbooks, Worksheets, Charts","Worksheets and Charts"
"Storage is also known as ________?","Secondary storage, Auxiliary storage, Mass storage","All of above"
"What is pre-released software’s version ?","Alpha, Gamma, None of these","Beta"
"__________maintain (s) database of webpages containing information on variety of topics.","Newsgroup, News server, World wide web","Search Engines"
"_________ allows to enter new data at the current position of the cursor?","Word Wrap, Insert Text, Overtype Mode","insertion Mode"
"In Powerpoint 2016, ‘Rehearse Timings’ option is available in:_________?","Home Tab, Review Tab, Design Tab","Slide Show Tab"
"it is a sign or symbol that specifies, operator, and values that produce a result?","Query, Expression, None of them","Operator"
"Multithreading is also called as:__________?","Simultaneity, Crosscurrent, Recurrent","Concurrency"
"Which of these key are used in ms excel to insert current time In workbook.","Ctrl+!, Ctrl+*, None of these","Ctrl + Shift + ;"
"Which is the type of port?","Serial, Parallel, AGP","All of these"
"Getting data from a cell located In a different sheet is called ___________?","Accessing, Updating, Functioning","Referencing"
"Which is the Shortcut key to Apply the Normal style?","Alt + Ctrl + Shift + N, Ctrl + Shift + M, Alt + Ctrl + N","Ctrl + Shift + N"
"Good passwords contain on ________?","Alphabets, Numbers, All of Above","Alphanumeric"
"Which Shortcut key is used for Bold Command ?","Ctrl + C, Ctrl + W, Ctrl + I","Ctrl + B"
"Whose face was first uploaded on Facebook?","Zuckerberg, Adam smith, Shahid Chudhary","Al Pacino"
"Shortcut key 1.5 line spacing ?","Ctrl+ 3, Ctrl+ 4, Ctrl+6","Ctrl+ 5"
"The new name of Facebook is __________?","Beta, Delta, Face point","Meta"
"This display the positioning of text, tabs, margin, indents, and other elements on the page:","Status Bar, Document window, Cursor","Ruler"
"In banks, data check on the cheques is read by the following device:","OCR, OMR, None of these","MICR"
"The first Network is called _________?","CNNET, NSFNET, ASAPNET","ARPANET"
"Which element is deficient in milk _________?","Phosphorus, Sodium, Calcium","Iron"
"E-mail is a system for exchanging messages through a__________?","Client, Program, Backbone","Network"
"The Video Graphics Array (VGA) resolution standard is__________?","B, 800×600, 1024×768","640×480"
"The universal format for PACS image storage and transfer is ______?","JPEG, BitMap, None of these","DICOM"
"Diameter of Compact Disk is ________?","10 cm, 11 cm, None of these","12 cm"
"Which shortcut key is used to open my computer properties?","Win + Insert, Wind + End, Win + Tab","Win + Pause"
"Which shortcut key is used to Open My Computer?","Win + C, Win + D, Win + F","Win + E"
"Which shortcut key used to open Task Manager in windows 10?","Ctrl + Esc, WIN + Ctrl + Esc, Alt + Esc","Ctrl + Shift + Esc"
"Which shortcut key used to open startup button in windows 10?","WIN+ Esc, Alt + Esc, Shift + Esc","Ctrl + Esc"
"What type of software is a “printer driver”?","Application Software, Utility Software, None of Above","System Software"
"You can edit existing Excel data by pressing the:________ key?","F1 Key, F3 Key, F4 Key","F2 Key"
"Mac OS offers _____________ for data backup.","File history, File backup, None of above","Time Machine"
"Which of these is the name of a type of interface that allows a user to type in commands on a keyboard which gives the computer instructions?","Graphical user interface (GUI), Touchscreen interface, Drop down menu interface","Command line interface (CLI)"
"The unit that controls all parts of the computer is __________?","ALU, Register, None of these","CPU"
"The process to remove errors in a program is called_________?","Compiling, Executing, Bug","Debugging"
"What is Heuristic checking?","False positive, Data storage, Virus removing","Virus scanning"
"The BIOS settings are stored in _________ ?","EEPROM, Memory, OS","CMOS chip"
"___________ languages are close to humans?","Low level languages, Assembly languages, None of these","High level languages"
"Microprocessor was introduced in which generation of computer?","Second generation, Third generation, Fifth generation","Fourth generation"
"Fifth generation computers are based on:____________?","Programming Intelligence, System Knowledge, None of these","Artificial Intelligence"
"Hard disk drives are considered _________ storage.","flash, nonpermanent, temporary","nonvolatile"
"A number of letter that appears little above the normal text is called?","Subscript, Supertext, Toptext","Superscript"
"Name the Desktop database application that is part of MS Office suit.","MS Excel, MS PowerPoint, None of the above","MS Access"
