question,wrong_choices,correct_answer
"The Clemmenson reduction of acetone yields","Ethanol, Ethanal, Propanol","Propane"
"Acetaldehyde cannot show","Iodoform test, Benedict’s test, Tollen’s test","Lucas test"
"Hydrogen bonding is present in __________?","Water, Ethyl Alcohol, Phenol","All of these"
"Surface Tension ________with increasing the surface area of liquid?","Increases, Remains Same, None","Decreases"
"Which instrument is used to measure the viscosity.?","Hygrometer, Hydrometer, Anemometer","Viscometer"
"Viscosity of a liquid________by increasing temperature?","Remains same, Increases, None","Decreases"
"Which of the following is unit of Viscosity?","Decibell, Torr, Hertz","Poise"
"Real gases show ideal behavior at_______?","Low Temp & High Pressure, High Temp & High pressure, Low Temp & Low Pressure","High Temp & Low Pressure"
"Charle’s Law was given by Jacques Charles in_______?","1785, 1880, 1885","1787"
"Which of the following is known as absolute zero?","0C°, 273K, 273.16C°","-273.16C°"
"Boyle’s Law was given by the Robert Boyle in_______?","1660, 1661, 1663","1662"
"Barometer was invented by _______?","Pascal, Newton, Huygen","Torricelli"
"Value of normal atmospheric pressure at sea level at 0°C is______?","1 atm, 760 Torr, 76cm of Hg","All of these"
"According to Kinetic Molecular Theory gas molecules move in_______path?","Parabolic, Zig-zag, Hyperbolic","Straight"
"The theory which explains the behavior of particles of matter in motion is called ______?","Bohr’s Theory, Dalton’s Theory, None","Kinetic Molecular Theory"
"Who is often referred to as the “father of Chemistry”?","Isaac Newton, Dmitri Mendeleev, Albert Einstein","Antoine Lavoisier"
"Quality of petrol is measured by___________?","Heptane number, Reforming, Refining","octane number"
"The Substance which resist in change in PH is called?","Neutralization, Osmosis, Active transport","Buffer"
"Alkaline PH scale starts from?","6 to 10, 7 to 11, 0 to 14","8 to 14"
"The range of acid PH on PH scale is____________?","9 to 8, 6 to 7, 1 to 10","1 to 6"
"At what digit of PH scale PH is neutral?","5, 3, 10","7"
"A gas was found to have a density of 0.0847g/L at 17°C and a pressure of 760 torr. The gas must be?","CH4, N2, None of These","He"
"Which of the following is used with milk of lime to kill fungus and molds?","Chlorine, Silver nitrate, Nitric acid","Copper Sulfate"
"What is the color of precipitates of AgBr?","Light brown, Light green, Light Blue","Light yellow"
"Which of the following is the use of Silver nitrate?","used as mordant in dyeing, used in making green pigments, All of these","used in photography and medicines"
"What is the color of copper sulfate crystalline?","White, Brown, Green","Blue"
"What is the color of precipitates of AgI?","Light Yellow, Brown, Blue","Yellow"
"What is the color of precipitates of AgCl?","Yellow, Green, Blue","White"
"Silver nitrate is used in laboratory as a reagent for the detection and determination of____________?","Alkali metals, Aldehydes, Ketones","Halides"
"Which of following is known as Blue Vitriol or Blue Stone?","AgNO3, K2Cr2O7, K2CrO4","CuSO4.5H2O"
"What is the formula of Copper Sulfate?","CuSO3.4H2O, CuSO4.4H2O, CuSO3.5H2O","CuSO4.5H2O"
"Which of the following produces black spots when it comes in contact with organic substances such as skin and cellulose?","CuSO4, K2MnO4, CH3COOH","AgNO3"
"Silver nitrate is also known as____________?","Blue Stone, Blue Vitriol, Both A & B","Lunar Caustic"
"What is the formula of Silver nitrate?","AgNO, AgNO2, AgNO4","AgNO3"
"Which of the following has lowest lattice energy?","LiF, NaCl, KBr","CsI"
"Which of the following is used in photography?","NaHSO3, Na2S, Na2SO3","Na2S2O3"
"Lead battery is secondary battery the paste used in it is______________?","Magnese dioxide, Zinc chloride, Ammonium chloride","AOT"
"Solvent used in separation of biomolecules is _______________?","Acetone, Ether, Alcohol","Trichloroacetic acid"
"Strong Nucleophile in polar aprotic solvent?","Bromide ion, Chloride ion, Iodide ion","Flouride ion"
"Product of Nucleophilic Substitution Uni Molecular reaction is in case of chiral substrate?","Inversion, Retention, Stereospecific","Recemic Mixture"
"What will be the PH of 0.01M ammonium chloride solution containing 10 mol per liter of ammonium chloride (pkb=4.76)?","5.24, 6.24, 7.24","8.24"
"Alum is used by dyers of cloth:","As water purifier, fire proofing fabrics, Softening of hard water","As mordant"
"The most useful dye for those fabric which can form hydrogen bonds is:_____________?","Mordent dye, Vat dye, Acid dye","Direct dye"
"The phosphate present in sewage water which cause eutrophication Can be removed by adding:","Alum, Chlorine, permangnate","Lime"
"which of the following pair is not distinguished by passing H2S?","Zn, Mn, As, CD, Cd , Pb","Hg, Pb"
"Ozone is formed in the upper layer of the atmosphere from oxygen by action of:____________?","Free radicals, Cosmic rays, Nitrogen oxides","UV -rays"
"Surface water contains:_____________?","only salt, Organic matter, Suspended impurity","Salt & Organic matter"
"Biodegradable pollutant is:_____________?","DDT, mercury salt, Aluminum foil","Domestic waste"
"Cyclone collector is used for minimizing:____________-?","Water pollution, Sound pollution, Soil pollution","Air pollution"
"The medium which interact with long lived pollutant is:_____________?","Source, Receptor, All of them","Sink"
"Which one of the following gives the measure of Organic pollution in water?","DO, PH, Salinity","COD"
"The distribution coefficient is related to:______________?","decreasing factors, Colouring factors, retardation factors","Separating factors"
"The second nuclear weapons used in warfare over Nagasaki, Japan, contain energy equal about of TNT?","1.5 kilotons, 25 kilotons, 30 kilotons","20 kilotons"
"The usual property of ionic crystal are:_____________?","Stable, gaseous form, Unstable","Compound forming"
"The main contributor to toxicity of detergent:","Na-sulphate solution, Na-Chloride solution, K-Chloride solution","Na-Silicate solution"
"The fundamental way to transfer energy are:_____________?","pressure and temperature, pressure and volume, heat and volume","heat and work"
"Formaldehyde on condensation in the presence of calcium hydroxide: ______________?","Fructose, Maltose, Xylose","Formose"
"Lactic acid on oxidation by alkaline potassium permanganate gives:____________?","Propionic acid, Cinnamic acid, Tartaric acid","Pyruvic acid"
"Shiff’s reagent gives pink color with ____________?","Acetone, Acetic acid, Methyl acetate","Acetaldehyde"
"Numbers of subatomic particles?","2, 3, 1","more than 3"
"Neoprene is _______________?","Natural rubber, Vulcanized rubber, All of the above","synthetic rubber"
"Example of cross linked polymer is ____________?","Nylon, Polyester, PVC","bakelite"
"Example of linear polymer is ______________?","High density polythene, Low density polythene, PVC","both A and C"
"Vulcanized rubber is an example of ______________?","Natural polymers, Synthetic polymers, None of These","semisynthetic polymers"
"Hexamethylene diamine and adipic acid combine to form _____________?","Natural rubber, Synthetic rubber, Polystyrene","nylon 6-6"
"Example of copolymers is _____________?","Polyethylene, PVC, Orlon","nylon 6-6"
"Nylon-2-nylon-6 is a__________polymer?","Synthetic polymer, Natural polymer, Branched polymer","biodegradable polymer"
"Methyl radical is ___________?","Sp3 hybrid having 8 electrons, Sp2 hybrid having 6 electron, Sp hybrid having linear geometry","sp2 hybrid having 7 electron"
"Electromeric effect is ____________?","Permanent effect, Operate due to electronegativity difference, None of the above","temporary effect"
"Hyperconjugation is also known as ____________?","Reasonable, Inductive effect, Electromeric effect","no bond reasonable"
"Greater the heat of neutralization the acid will be____________?","More weaker, Not related to acid strength, None of the above","more stronger"
"In isothermal process?","No heat enter or leave the system, Pressure of the system remains constant, Volume of the system remains unchanged","temperature of the system remains constant"
"The system which exchange only energy with its surroundings is called______________?","Open system, Isolated system, All of the above","closed system"
"The properties which do not depend on mass of the substance are _____________?","Extensive properties, Colligative properties, None of These","intensive properties"
"The system which can exchange matter as well as energy with its surroundings is called____________?","Closed system, Isolated system, Inert system","open system"
"The process in which no heat enters or leave the system known as _____________?","Isochoric, Isobaric, Isothermal","adiabatic"
"When limestone reacts with water, which gas is released?","Hydrogen, Oxygen, Nitrogen","Carbon Dioxide"
"Oobleck is the mixture of _________?","Gram Flour and Water, Baking Soda and Vinegar, Cement and Water","Cornstarch and Water"
"The oxidation state of cu which are expected to be diamagnetic","Cu+2, Cu+4, Cu+3","Cu+1"
"The most stable state of Vanadium(V) is","V+3, V+3, V+5","V+2"
"Isotopes differs in______________________?","arrangement of electrons in orbitals, position in the periodic table, chemical properties","properties depend upon mass"
"Antiseptic Urotropine formed by ____________?","Carboxylic acid, Acetaldehyde, Ketone","Formaldehyde"
"Size of colloidal particles","greater than true solution, greater than suspension, None of These","In b/w true solution & suspension"
"Ketones and aldehydes can be distinguished using ____________?","Bendict solution, Fehling solution, None of These","Tollens reagent"
"Mass spectroscopy mainly tells about ____________?","Mass, Isotopes, None of These","e/m ratio"
"Actinides are the elements with atomic numbers from __________?","97 to 104, 101 to 115, 36 to 43","89 to 103"
"Ketones and Aldehydes are differentiate by using ______________?","Fehling solution, Bendict solution, Silver Mirror test","Nitroprusside test"
"which of the following is a non-crystalline solid pair?","diamond, wood, glass, table salt, sucrose. glass","wood, glass"
"What is the chemical name of Oil of Vitriol?","Hydrochloric Acid, Nitric Acid, Muriatic Acid","Sulphuric Acid"
"Transition temperature for tin grey & tin white is : _____________?","128.15°C, 246.12°C, 96°C","18°C"
"Species are formed in one step of reaction mechanism and used up in another step are called:","Catalyst, inhibitor, activated complex","Intermediate"
"The best indicator for titrating HCl with NH4OH is: _________?","litmus, phenol red, phenopthalein","methyl Orange"
"Ostwald’s dilution law applicable to:","All electrolytes, Strong electrolytes, Non electrolytes","Weak electrolytes"
"The phenomenon of negative catalysis is also known as:","auto catalysis, Self catalysis, Enzyme catalysis","inhibition"
"The decomposition of nitroglycerine is an example of:","Self catalytic reaction, Enzyme catalytic reaction, induced catalysis","Autocatalytic reaction"
"The product of the reaction between steam and Hydrocarbon in presence of Ni catalyst at 900°C is _____.","CO²+O², CO³+H²O, Laughing Gas","CO+H²(water gas)"
"Law of mass action was proposed by Goldberg and Peter Waage in _________?","1866, 1888, None of These","1864"
"Z number for chlorine is __________?","35.5, 15, 21","17"
"The only non metal exists in liquid state is ___________?","Mercury, Phosphorus, Iodine","Bromine"
"The chemical symbol for silver is __________?","Au, Sv, At","Ag"
"In water molecule, Hydrogen & water are held together by ______ bon","Ionic, Hydrogen, Dating","Covalent"
"One Water molecule can form maximum ______hydrogen bonds.","2, 3, None","4"
"Cations possess __________ charge?","-ve, Neutral, None","+ve"
"Atomic mass of an atom is present in the __________?","Shell, Orbit, Orbital","Nucleus"
"Positron has __________charge.","-ve, Neutral, None of them","+ve"
"Compound containing two halogen atoms on two adjacent carbon atoms are called as ___________?","Glycols, Geminal dihalides, Diols","Vicinal dihalides"
"Out of Alkane, Alkene & Alkyne, which one is more acidic?","Alkane, Alkene, All have same","Alkyne"
"The dipole moment of CS² is ____________?","1, 2.3, 1.8","0"
"In an electrolysis of aqueous Sodium Flouride, the species that moves towards Anode is _________?","Flouride, Sodium, None of them","H²O"
"Cathode is a metalic plate where__________ takes place.","Oxidation, Redox, Substitution","Reduction"
"Cyclopentene is a _________?","Aromatic, Aliphatic, None of These","Alicyclic"
"The quantity of petrol can be increased by ___________?","Reforming, Induction fueling, Refining","Cracking"
"Which one is a pure carbon?","Coal Tar, Coal gas, None of These","Coke"
"Octane rating of Gasoline can be increased by __________?","Refining, Cracking, None of These","Reforming"
"A process in which large molecules are broken up into into smaller molecules is called as_____.","Reforming, Refining, Isomerization","Cracking"
"The quality of petrol is improved by ____________?","Cracking, Refining, Hydration","Reforming"
"Aldehydes and ketones both, show the type of Isomerism is __________?","chain Isomerism, Metamerism, Position Isomerism","Functional Group Isomerism"
"diamond got brilliance due to following reason?","reflection, refraction, dispersion","all of the above"
"Universe is almost 70% made up of __________?","Helium, Chlorine, Carbon","Hydrogen"
"Which of the following is more Basic in nature?","Ammonia, 1°Alkyl ammine, 2° Alkyl ammine","3° Alkyl ammine"
"Which of the following is more acidic in nature?","Benzene, Phenol, Cresol","p-nitrobenzene"
"The following alcohol does not undergo oxidation is _____________?","1° alcohol, 2° alcohol, 0° alcohol","3° alcohol"
"In water, Hydrogen is present ________by mass.","22%, 31.13%, 15.15%","11.11%"
"The product On the oxidation of 2°Alcohol is ________?","Aldehyde, Carboxylic acid, Ester","Ketone"
"Ammonium cynanate was 1st Inorganic compound that was converted into an Organic compound (in Lab) through boiling water. The organic compound was____.","Methane, Ethanol, Acetic acid","Urea"
"Coal gas is made up of mostly ________ & _________?","Hydrogen & Water, Hydrogen & Carbon dioxide, Carbonmonoxdide & water","Hydrogen & Methane"
"Oxalate ion behaves as a ________ ligan","Unidentate, Tridentate, Hexadentate","Bidentate"
"Which of the following is a soft Coal?","Peat, Lignite, Anthracite","Bituminous"
"The amount of Benzene is obtained from Coal Tar on its Fractional Distillation?","1-3Kg, 1-4Kg, 1-5Kg","1-2Kg"
"Kipps Apparatus is used to prepare_________?","NaOH, Cl², Cu","H²S"
"d-block elements are also called as __________?","Inner Transition, Alkali Metals, Both B & C","Outer Transition"
"The shielding Effect across the period __________?","Increases, Decreases, None of them","Remains Same"
"Which of the following is the Radioactive isotope of Hydrogen?","Protium, Deuterium, Nichromium","Tritium"
"Which one does not give borax bead test_________________?","Copper sulphate, Cobalt sulphate, Nickel sulphate","Barium sulphate"
"Marsh gas is _________?","Ethane, Hydrogen, Nitrogen","Methane"
"In Dry cell, cathode is made up of_______?","Zinc, ZnCl², MnO²(Pyrolusite)","Carbon (Graphite)"
"The equation that represents the relationship of Faraday’s first law of electrolysis is _______?","Z=At, w=Z/At, Z= At/M","w=ZAt"
"During electrolysis of Water, the product obtained at cathode is ___________?","Oxygen Gas &Water, Only oxygen, Only Water Aamir khan Hullio","Hydrogen Gas &Water"
"In electrolysis of NaCl the product obtained at cathode is_______.","Chloride ions, Both, Remain at the bottom of the cell","Sodium ions"
"Which of the following is non spontaneous cell?","Galvanic cell, Daniel cell, Not","Electrolytic cell"
"The bond energy of Hydrogen molecule is__________?","110Kcal/mol, 106Kcal/mol, 150KJcal/mol","104Kcal/mol"
"The Ionization energy of Hydrogen is __________?","10.54ev, 12.54ev, 17.56ev","13.6ev"
"The Electronegativity of Hydrogen is _____.","2.8, 3.1, 1.8","2.2"
"The whole universe is made up of almost _______of Hydrogen?","50%, 60%, 80%","70%"
"During Electrolysis of Water the product @cathode obtained is ___________?","Oxygen Gas & Water, CO & Water, Hydrogen & Carbon monoxide","Hydrogen Gas & Water"
"The method in which more steam is passed through the water Gas to oxidize CO to Carbon Dioxide which is then more soluble in water than Hydrogen gas and gets separated is called______.","liquification process, Fragmentation, Thermal decomposition","Bosch Process"
"Water Gas is a mixture of two gases Hydrogen & Carbon monoxide, while separating Hydrogen gas by liquification process which one is liquefied first__?","Hydrogen Gas, Carbon Monoxide Gas, Both at same time","Aamir khan Hullio"
"In Bosch Process, that is used to separate the Hydrogen gas from water Gas, the catalyst is used ______?","Pt, FeO, Cr²O³","Both B&C"
"Bosch Process involves _______?","Reduction, Isomerization, Crackling","Oxidation"
"Which of the following method is used to separate Hydrogen gas from water Gas?","Cyber Twinkling process, Palladium process, Steam process","Bosch Process"
"Hydrogen Gas can be prepared by thermal decomposition of Methane in the absence of Air at above____","500⁰C, 900⁰C, 1300⁰C","700⁰C"
"Which one of the following radiation has the longer wavelength?","visible, x-ray, ultra violet E. gamma rays","infra red"
"Metal are highly ___________ ?","Electronegativity, Both of these, Neutral","Electropositive"
"Atomic number of Mn is 25 what is the electronic configuration in the ground state________________?","1s2 2s2 2p6 3s2 3p6 3d7, 1s2 2s2 2p6 3s2 3p6 4s2 4p5, 1s2 2s2 2p6 3s2 3p5 3d10","1s2 2s2 2p6 3s2 3p6 4s23d5"
"Black foot disease is caused by the pollution of groundwater as a consequence of increased seepage of:__________?","Nitrates, Fluorides, Mercury","Arsenic"
"Main use of salt in diet is to : ___________?","ease the process of cooking, increase the taste, inclease solubility of food particles in water","produce small amount of hydrochloric acid required for digestion"
"The source of the Sun’s energy is the process of ____________?","Photoelectric emission, Nuclear fission, Thermionic emission","Nuclear fusion"
"The snow on the mountains does NOT melt all at once when it is heated by the sun because:","it becomes very hard, it reflects most of the heat from the sun, it has a low specific heat capacity","it has a high latent heat of fusion"
"Optic fibres are used in :","CAT scans, X-ray photos, Ultrasound scans","Endoscopy"
"The radio-active element used in heart pacemakers is ___________?","Uranium, Deuterium, Radium","Plutonium"
"Where does the oxygen that keeps us alive come from?","Carbon dioxide, Carbonates absorbed from soil, Oxides of minerals","Water"
"What is the name of that system, which uses radioactivity to decide the period of materials of-pre-historic period ?","Radium dating, Uranium dating, Deuterium dating","Carbon dating"
"Soap is prepared by boiling caustic soda with ___________?","Alcohol, Kerosene oil, Glycerine","Abid Hussain"
"Milk tastes sour when kept in the open for sometime due to the formation of __________?","citric acid, acetic acid, carbonic acid","lactic acid"
"Who discovered carbohydrates fats and proteins?","Jons Jacob Berzelius, Anselme Payen, Walter Bradford Cannon","William Prout"
"Hookworm is a parasitic worm that infects ______?","large intestine, liver, lungs","small intestine"
"Nitrate (NO3) ions are obtained by the process of __________?","Fermentation, Denitrification, None of these","Nitrification"
"Which one of the following results in the discovery of proton.","Cathode rays, X-rays, Alpha rays","Canal rays"
"The radiations with negative charge are________.","Alpha radiations, Gamma radiations, positron","Beta radiations"
"The radiations with highest speed are _______.","Alpha radiations, Beta radiations, AOT","Gamma radiations"
"Petra means ______ ?","Petrol, Sediment, Fuel","Rock"
"When the radiation of light is passed through a prism, it undergoes __________?","reflection, interference, diffraction","refraction"
"__________ is one of the allotropic modifications of carbon.","Silicon, Iodine, Graphite","Diamond"
"Atom is the smallest particall which is_________?","Divisible, Both, Non of these","Indivisible"
"Which statement is incorrect ?","All the metals are good conductor of electricity, All the metals are good conductor of heat, All the metals form positive ions","All the metals form acidic oxides"
"Which one of the following statement is correct for urea ?","it is a natural fertilizer, it provides micronutrients to the plants, it is an inorganic water soluble compound","it is a synthetic fertilizer"
"Which of the following statement is correct ?","size of Cl atoms > Cl- ion, size of Na atom < Na+ ion, Cl- < Na+","size of Na+ ion < Na atom"
"An acid-Base Reaction is always a/an __________?","Endothermic, Fission, Fusion","Exothermic"
"A metallic atom loses its valence electron to form a/an _________?","an anion, an anion – cation, none of these​","a cation"
"Chemistry is given from ……language ?","Latin, Arabic, None of these","Greek"
"Atoms of all the elements always contain in nucleus:","Proton and neutron, Neutron and electron, Neutron","Proton"
"What is the mass of one mole of Iodine?","74g, 127g, 53g","254g"
"The earth absorb radiation in Visible range but emit radiation at the same rate in the:","Ultra voilet, Gamma rays, All of these","Infrared"
"Traffic policemen on duty at busy street crossings during heavy traffic rush hours are advised to use:__________?","Hydrogen tank, Nitrogen tank, None of these","Oxygen tank"
"The rate of formation of ozone depends on the flux of:","visible radiation, Infrared radiation, Gamma rays","Ultra violet radiation"
"Polyamides are synthetic polymers commonly known as___________?","synthetic, Protein, Cellulose","Nylon"
"How much solar flux absorb by earth’s surface is used to drive hydrologic cycle:","1/2sec, 1/4th, 1/5th","1/3rd"
"Which one of the following serve as aquatic solar fuel cell:","Bacteria, Virus, Fungi","Algae"
"Who used the term Concentrationwindow to draw the arbitrary lines of demarcation","Einstein, Dr.Walash, S.E.Manhan","Schwartz"
"Element that have same number of neutrons are called__________?","isotope, isobar, None of these","isotone"
"Calculate % of N in KNO3__________?","14.34%, 18.56%, None of these","13.86%"
"The pH of milk is_______?","9, 8, 12","6.5-7"
"The process in which solid changes directly into vapours without passing through liquid state?","Decantation, Evaporation, None","Sublimation"
"The Boiling Point of Ethyl Alcohol is_________?","58°C, 73°C, 56°C","78°C"
"Why does Ethyl Alcohol show high boiling point then Acetone?","Due to high molecular weight, Due to its Acidic nature, Due to its Low molecular weight","Due to Hydrogen bonding"
"Why do we determined the boiling point of a liquid?","To check its Acidity and Basicity, To Check temperature, None of These","To check its Purity and nature"
"Which of the following can be separated by ” Sublimation Method”?","Sand and Iron Filing, Both A & B, None","Sand and Naphthalene"
"The Chemical Formula of Sand is___________?","Si2O3, Al2O3, Sr2O","SiO2"
"Benzene gives mainly_________?","Addition reaction, Halogenation, All of these","Substitution reactions"
"The Bond Energy of H-F is________?","456kJ/mol, 281kJ/mol, None","562kJ/mol"
"The element used for the formation of alloys is__________?","Iron, Calcium, Mercury","Chromium"
"Air is a/an _________?","Compound, Element, Electrolyte","Mixture"
"Give Electronic configuration of Sodium:","1s2,2s2,2p6, 1s2,2s2,2p6,3s2, None of these","1s2,2s2,2p6,3s1"
"For the generation of biogas, the materials commonly used are__________?","Forest residues, Aquatic plants, None of these","Animal wastes"
