question,wrong_choices,correct_answer
"The 2017 Heart of Asia – Istanbul Ministerial Process will be hosted by which country?","Pakistan, India, Bhutan","Azerbaijan"
"Heart of Asia – Istanbul Ministerial Process on December 3 to December 4, 2016 was hosted by which country?","Pakistan, Bhutan, Iran","India (Amritsar city)"
"How many Participating Countries are there in Heart of Asia Conference?","12 Participating Countries, 16 Participating Countries, None of these","14 Participating Countries"
"Number of Supporting Countries in Heart of Asia – Istanbul Ministerial Process are?","15 Supporting Countries, 19 Supporting Countries, None of these","17 Supporting Countries"
"Till now, how many Pakistanis won the Nobel Prize for Physics?","2, 3, None of these","1 (Dr Abdus Salam in 1979)"
"Pakistan has started direct train and freight service in December 2016 with which Country?","Iran, India, Afghanistan","China"
"Till now, How many Chief of Army Staff (COAS), of Pakistan are selected from Baloch Regiment?","Two, Three, None of these","Four"
"General Zubair Hayat was the ___________ Chairman Joint Chiefs of Staff Committee (CJCSC) of Pakistan?","13th, 15th, 17th","16th"
"Newly selected Army chief Qamar Javed Bajwa belongs to Regiment___________?","6th FF, 5th Punjab, 13th Lancers","16th Baloch Ragiment"
"Name the cricket Stadium which is located in Khyber Agency and inaugurated by Gen Raheel Sharif in November 2016?","Younas Khan cricket stadium, Gaddafi Stadium, Arbab Niaz Stadium","Shahid Afridi cricket stadium"
"Pakistan Army shoots down Indian Quad Copter drone at LOC in November 2016 at which sector ?","Bhimber Sector, Shahkot sector, Jura sector","Rakhchakri Sector"
"PAKISTAN 9th International Defense Exhibition and Seminar to be held on 22-25 November-2016 in Karachi Expo Center, its name?","Defense Production Workshop-2016, Army Arms Ideas-2016, Combat-2016","IDEAS-2016"
"Who was the only Pakistani to have climbed six of the world’s tallest mountains of 8000 m passed away on 21-Nov-2016 due to blood Cancer?","Ashraf Amman, Nazeer Sabar, Numera Saleem","Hassan Sadpara"
"Jinnah the only film on the life of Quaid-e-Azam was produced by?","Akbar S. Ahmed, Pervaiz iqbal cheema, Shabab dhlvl","Jamil Dehlavi"
"Ishratul Ebad has longest tenure as a Governor of any province of Pakistan?","12 years (2001-2012), 16 Years ( 2001-2016), 10 Years ( 2006-2016)","14 Years ( 2002-2016)"
"First caretaker female chief election commissioner of Pakistan who took oath on 7 November-2016 ?","Justice Majida Rizvi, Asima Jhangir, Maryam Orangzaib","Justice (Retd) Irshad Qaiser"
"22nd Amendment in 1973 Constitution of Pakistan is related to____________?","Pak Army Trail Courts, Related to NRO, Not made yet","Powers of Election Commission Members"
"Woman Seats in Senat?","12, 4, 10","17"
"renowned former producer and director of PTV died at the age of 73 years due to lung complications in Lahore on 4-11-2016, name?","Sohail Azeem, Bushra Adil, Azeem Bombywalay","Yawar Hayat"
"Who received the ‘most resilient journalist award’ by the International Free Press in Hague, Holland on 2nd November-2016","Javed Chauhdary, Talat Huusain, Kamran Khan","Hamid Mir"
"Terrorists attacked on Police Training Center on 25 October-2016 night which result 61 martyred and 124 injured in?","Peshawar, Karachi, Rawalpindi","Quetta"
"Pakistan Army won the gold medal at an annual international military patrolling exercise, ‘Exercise Cambrian Patrol’ held in?","New South Wales, Australia, Moscow, Russia, Istanbul, Turkey","Wales, United Kingdom"
"Which Pakistani footballer died in a road accident in Karachi on October 13, 2016?","Samreen Marvi, Iffat Saeed, None of Above","Shahlyla Baloch"
"Who have made first century,double century and also triple century in day and night Test Match with pink ball in Oct-2016?","Veerat Kohli (Indi, Brandom Macalum (Nuzilan, Hashim Amlaa (South Afric","Azhar Ali (Pakistan)"
"Pakistan issued $1 billion five-year Sukuk bonds on October 6, 2016 @ the rate of__________?","9.3%, 7.5%, 4.75%","5.5%"
"Which Bank has installed world highest ATM at Pakistan-China border in Khunjerab Pass in October-2016?","Muslim Commercial Bank (MCB), United Bank Limited (UBL), Allied Bank Limite(ABL)","National Bank of Pakistan (NBP)"
"19th SAARC conference-2016 which was going to held in Islamabad, Pakistan has postponed due to opposite of 3 SAARC Countries?","Nepal, India, Bangladesh, India, Sri Lanka, Bangladesh, None of Above","Bangladesh, Afghanistan, India"
"which country declared as the third largest host for refugees by Amnesty International in October-2016?","Jordan, Turkey, Germany","Pakistan"
"Joint Military Exercises Started between Pakistan & Russia in September-2016, called_________?","Inspired Gambit, North Thunder, Operation Rajjgal","Druzhba 2016 OR (Friendship 2016)"
"Military Exercises held in September-2016 between Pak & USA in South Carolina,called?","Thunder Bolt, Joint C-2016, none of Above","Inspired Gambit"
"Seven Years old British Pakistani who became world’s youngest computer programmer in September-2016?","Muhammad Usaman, Ali Raza, Imran Abbas","Hamza Shahzad"
"Which country got first position in Test Ranking in Cricket in its History on 22 Aug-2016?","India, South Africa, Sri Lanka","Pakistan"
"Member of Sindh Assembly and MQM resigned on 22 Aug-2016 ?","Farooq Sattar, Kashmala Tariq, Waseem Akhtar","Iram Farooqi"
"Which country won first position by wining 121 medals in Olympics-2016?","UK, China, Russia","USA"
"Tallest Building of Pakistan?","Burj Khalifa, Habib Bank Plaza, Karachi, Minar-e-Pakistan Lahore","Icon Tower, Karachi"
"Pakistan Army conducting an operation along the Pak-Afghan border in Khyber Agency, called?","Operation Zarb-e- Azab, Operation Rah-e-Nijaat, Operation Zarb-e-Ahaan","Operation Rajjgal"
"Pakistan has launched its biggest Navy’s Warship Fleet Tanker with the help of ?","China, Canada, USA","Turkey"
"Pakistan has became 6th time world champion on 17 Aug-2016 in ?","Cricket, Hockey, Kabadi","Junior Squash"
"Recently in which country Amnesty International has closed its offices ?","Afghanistan, Pakistan, Syria","India"
"“Combing operation” Means________________?","Kidney Operation by qualified Surgeons, A bill passed by Pakistani Parliament., None of Above","A searching operation by Forces to find out hidden terrorists."
"Neelum-Jhelum Hydropower Plant based in Muzzafarabad will produce electricity?","4500 Mwt, 425 Mgw, 3200 Mwt","969 Mwt"
"Ex Pakistani Cricket Captain Hanif Muhammad died on 11 Aug-2016 at the age of 81 years, got the title?","Flying Shaheen, Asian Legend, None of Above","Little Master"
"Russia will invest__________ in the construction of North-South gas pipeline.","$1 billion, $3 billion, $4 billion","$2 billion"
"The total length of North-South gas pipeline is_____________?","1,000 km, 1,200 km, 1,300 km","1,100 km"
"The North-South gas pipeline will transport LNG from____________?","Lahore to Karachi, Gwadar to Karachi, Gwadar to Sukkur","Karachi to Lahore"
"Around _______billion m3 of gas would be transported from Karachi to Lahore per annum through North-South gas pipeline.","11.0, 11.4, 12.0","12.4"
"The total length of Karachi-Lahore Motorway is___________?","1,000 km, 1,200 km, 1,300 km","1,152 km"
"Pakistan issued 10-year Eurobonds of _____ in the international Eurobond market on 25 September 2015.","$5 million, $50 million, $5000 million","$500 million"
"The coupon rate of Eurobonds issued on 25 September 2015 is___________%?","7.75%, 8.0%, 8.50%","8.25%"
"The construction work on Karachi green line (or Karachi Metro bus service) was inaugurated on","10 February 2016, 16 February 2016, 20 February 2016","26 February 2016"
"Pakistan Stock Exchange (PSX) was formed by merging Lahore, Karachi and Islamabad stock exchanges on?","12 January 2016, 13 January 2016, 14 January 2016","11 January 2016"
"The estimated cost of the Karachi green line is _____ billion?","Rs.15,085, Rs.17,085, Rs.18,085","Rs.16,085"
"Through TAPI gas pipeline Afghanistan, Pakistan and India will receive natural gas from?","Kazakhstan, Kyrgyzstan, Tajikistan","Turkmenistan"
"The construction of TAPI gas pipeline began on 13 December 2015, and the expected completion date is","December 2016, December 2017, December 2019","December 2018"
"Pakistan will receive _____ billion m3 natural gas from Turkmenistan per year.","10, 12, 16","14"
"Pakistan-Qatar deal to import LNG from Qatar to Pakistan is a government-to-government contract for _____ years.","9, 10, 20","15"
"According to the Pakistan-Qatar LNG deal Pakistan will receive ________million tons of LNG annually.","3.25, 4.25, 4.75","3.75"
"The Pakistan Super League (PSL) T20-2016 was won by_____________?","Lahore, Karachi, Quetta","Islamabad"
"The first shaheed female pilot of Pakistan Air Force is________________?","Ayesha Farooq, Saba Khan, none of these","Marium Mukhtiar"
"Pakistan launched Operation Zarb-e-Azb in North Waziristan on?","15 March 2014, 15 April 2014, 15 May 2014","15 June 2014"
"Sharmeen Obaid Chinoy won Oscars award 2015 for the second time for her documentary movie.","Saving Face, Road to forgiveness, In the world of strangers","A Girl in the River: The Price of Forgiveness"
"The youngest Nobel Prize laureate, Malala Yousafzai won Nobel Peace Prize for the year?","2013, 2015, 2016","2014"
"The agriculture sector of Pakistan contributes ________% towards national GDP.","21.42, 21.90, 22.22","20.88"
"The industrial sector of Pakistan contributes _____ % towards national GDP.","18.20, 19.50, 21.10","20.30"
"The population growth rate in Pakistan is __________percent?","1.82, 2.02, 2.12","1.92"
"The government of Pakistan is trying to add electricity generation of__________MW to national grid by 2017- 18","10,000, 10,800, 11,200","10,400"
"Pakistan conducted the first use of its military drone, “Burraq”, in Shawal Valley of North Waziristan on?","23 September 2015, 7 October 2015, 23 October 2015","7 September 2015"
"Pakistan has won squash men’s world open for ______ times?","12, 13, 15","14"
"The Vision 2025 aims to serve ________ functions?","2, 3, 5","4"
"The Parliament passed a bill to convert PIA into a public limited company on?","05 March 2016, 11 March 2016, 05 April 2016","11 April 2016"
"The president of China on his visit to Pakistan signed development projects of worth __________ billions?","$40, $50, $54","$46"
"The proposed motorway from Gawadar to Kashghar is about __________ km?","2600, 2800, 3200","3000"
"International Court of Arbitration sets minimum flow of __________ m3/sec into the Neelum River.","5, 7, 11","9"
"The Installed Capacity of Neelum–Jhelum Hydropower Plant is __________ MW?","948, 955, 962","969"
"Diamer-Bhasha Dam has been planned on the river _________?","Jhelum, Chenab, Sutlej","Indus"
"Dasu Dam is located in __________?","Sindh, Punjab, Baluchistan","Khyber Pakhtunkhwa"
"Salt Mine, Khewra is located in _________ district?","DG Khan, DI Khan, Gujrat","Jhelum"
