question,wrong_choices,correct_answer
"The atmosphere of moon consists of______________?","90% Hydrogen, 10% Nitrogen, 80%Nitrogen, 20% Hydrogen, None","60% Nitrogen, 40%inert gases"
"The dominant phase of life cycle in these organism is haploid?","Bacteria, Protozoa, None","Mosses"
"Which group of animals has heterogametic females?","Domestic fowl, Rabbit, None","Earthworm"
"The biggest species of the cat family is___________?","Lion, Leopard, None","Tiger"
"The biggest planet in our solar system is___________?","Venus, Pluto, None","Jupiter"
"The sunlight can reach a depth of___________meters in the ocean","80, 120, None","200"
"The field of specialization of famous Muslim scientist Abu Usman Aljahiz was?","Botany, Astronomy, None","Zoology"
"Albatros is__________?","A beetle, A fruit, None","A sea bird"
"Who proposed this concept “All motion is relative”?","John Kepler, Galileo Galilie, None","Albert Einstein"
"Coulomb is the scientific unit to measure?","Velocity, Temperature, Mass","None OF These"
"An instrument to detect the purity of milk is____________?","Hygrometer, Manometer, Sonometer","Lactometer"
"The theory of Expanding Universe was first propounded by____________?","Einstein, Newton, Gahleo","Hubble"
"Water has maximum density at____________?","0°C, 4° K, 4.8°C","4°C"
"For being able to see three-dimensional pictures we have to use_________?","A binocular, A camera, An epidiascope","A stereoscope"
"A satellite moving round the earth with a uniform speed has____________?","An accelerated motion, No acceleration at all, Uneven acceleration","Uniform acceleration"
"Materials for rain-proof coats and tents owe their water proof properties to________?","Viscosity, Specific gravity, Elasticity","Surface tension"
"The absorption of ink by blotting paper involves__________?","Viscosity of ink, Diffusion of ink through the blotting, Siphon action","Capillary action phenomenon"
"Detergents dissolved in water help in cleaning clothes by_________?","Increasing the temperature of water, Reacting chemically with dirt, Dissolving dirt","Reducing the surface tension of water"
"In order to prevent the corrosion of iron pipes they are often coated with a layer of zinThis process is termed as____________?","Electroplating, Annealing, Vulcanization","Galvanization"
"The cracking sound heard when dry hair is combed with a hard rubber comb is due to_________?","The hair barging against the charged comb, The rubbing of the comb with the hair, None of the above","Small electric sparks"
"Scalding with steam is more severe than scalding by boiling water because_______?","Steam can penetrate the skin, Steam is at a higher temperature, Steam is at a higher pressure","Steam contains more energy than boiling water"
"Water is a highly effective coolant for a car engine because _________?","Water is good conductor of heat, Water boils at a comparatively high temperature, Evaporation of water produces lot of cooling","Water has very high specific heat capacity"
"A train goes past a railway station at a high speeA young boy standing on the edge of the platform is likely to __________?","Remain unaffected, Fall away from the train, Fall away from or towards the train depending upon the speed","Fall towards the train"
"Which one of the following sets of color combinations is added in color vision in TV’?","Orange, back and violet, White. red and yellow, Yellow, green and blue","Red, green and blue"
"A Fahrenheit thermometer indicates a temperature of ‘ 14°F. its corresponding reading on the Celsius scale will be _________?","– 2O°C, + 10°C, + 20°C","– 10°C"
"Lead ball falls through water more slowly than through air because __________?","The value of ‘g’ is less in water, Density of air is less than that of water, Of The surface tension of water","Of the viscous force in water"
"The rear view mirror of a motor vehicle is ________?","Concave, Plane, Biconcave","Convex"
"The primary function of the feathers in birds is to _________?","Provide insulation for preserving body heat, Make the body surface waterproof, impart coloration for species as well as sex recognition","Provide striking surface to the wings for flying"
"What is ‘Stealth Technology‘?","A device which when attached to an aircraft makes it invisible on the radar, A Technology by which it is possible for the aircraft’s to spy in the enemy air-space, A technology by using which paratroopers can be dropped stealthily behind the enemy columns.","A coating which reduces the visibility of an aircraft on radar"
"Bats can also fly in dark because they are capable of taking the help of _________?","Ultraviolet Waves, Electromagnetic Waves, Special Retina","Ultrasonic Waves"
"The Green House Effect is caused by an excess of ?","Carbon monoxide, Carbon tetrachloride, None of the above","Carbon dioxide"
"T.V. transmission cannot cover a very large area because","the strength of T.V. waves is very limited, picture cannot be transmitted clearly after a specific distance, the air is not a good conductor of light and sound/waves","the shape of the earth is spherical"
"The cow’s milk contains how much amount of water in terms of percentage?","60%, 65%, 72%","80%"
"Most of the ozone in the atmosphere is concentrated in the _____________?","Mesosphere, Troposphere, ionosphere","Stratosphere"
"An iceberg is floating in seHow much of its mass will remain above the surface of water?","One fifth, One fourth, One third","One tenth"
"The sun appears red at sunrise and sunset while it appears white at noon, because","Of refraction, It is cooler at sunrise and at sunset, Of diffraction leading to red end of the spectrum reaching the earth.","Of Scattering of light due to dust particles and air molecules."
"An astronaut inside a spacecraft is in a state of weightlessness. This implies that?","The mass of the astronaut is reduced to zero, Gravity inside the spacecraft ceases to act, The astronaut is outside the influence of the earth’s gravitational force","The astronaut and the spacecraft are both in a free-failing state"
"A lake starts freezing because of the cold atmosphere. It will first freeze","At the bottom, ln the middle pan, Uniformly throughout the water body","At the top surface"
"The beautiful color patterns exhibited by a peacock in its tail feathers are due to ?","Selective re ection of light, Sinterference of light, Natural colour pattern of feathers","Selective absorption of light"
"What is the average adult pulse rate?","140-150, 115-125, 60","72-80"
"When a person enters a dark room from bright light he is not able to see clearly for a little while because the?","Eye is unable to adjust itself immediately, Retina becomes insensitive momentarily, Distance between the lens and retina take time to adjust","Iris is unable to dilate the pupil immediately"
"Which part of the Camera is analogue to the retina in the human eye?","Lens, Aperture, Shutter","Film"
"Dolly is the name of the ?","First cloned monkey, First test-tube baby, First human fossil","First cloned sheep"
"The most important stimulant in tea leaves is?","Brucine, Phenylalanine, Theine","Caffeine"
"Dialysis is used for the treatment of__________?","Heart weakness, Brain diseases, None of these","Kidney failure"
"ECG is used for the diagnosis of aliments of ?","Brain, Kidneys, Lungs","Heart"
"Short-sightedness can be corrected by using ___________?","Convex lens, Convex-concave lens, Concave-convex lens","Concave lens"
"Trachoma is a disease of the___________?","Liver, Lungs, Kidneys","Eyes"
"Myopia is a disease connected with_________?","Ears, Lungs, Brain","Eyes"
"Leukemia is a disease of the___________?","Lungs, Skin, Nerves","Blood"
"Medulla oblongata is a part of human ___________?","Heart, Liver, Sex organ","Brain"
"Which of the following diseases is caused by virus?","Tuberculosis, Malaria, Cholera","Small pox"
"Malaria is a disease which effects the____________?","Heart, Lungs, Kidneys","Spleen"
"A person with which of the following blood groups can receive blood of any group?","A, B, O","AB"
"The average heartbeat per minute in a normal man is _________?","50, 80, 100","70"
"Which of the following vitamins promote healthy functioning of eyes in human beings?","Vitamin B, Vitamin C, Vitamin D","Vitamin A"
"Which of the following have maximum calorific value?","Carbohydrates, Proteins, Vitamins","Fats"
"Which gland in the human body is called the master gland?","Pancreas, Thyroid, Spleen","Pituitary"
"How many bones are there in a newly born infant?","206, 230, 280","300"
"Which is the largest gland in the human body?","Thyroid, Pancreas, None of these","Liver"
"A person of which of the following blood groups is called a universal donor?","AB, A, B","O"
"Which of the following glands secrete tears?","Pituitary, Thyroid, Pancreas","Lachrymal"
"The function of hemoglobin is____________?","Destruction of bacteria, Prevention of anemia, Utilization of energy","Transportation of oxygen"
"The main function of the kidney is ____________?","To control blood pressure, To control body temperature, To help in digestion of food","To remove waste product from the body"
"The main constituent of hemoglobin is___________?","Chlorine, Calcium, None of these","Iron"
"What is the main component of bones and teeth?","Calcium carbonate, Calcium sulphate, Calcium nitrate","Calcium phosphate"
"Tibia is a bone found in the ____________?","Skull, Arm, Face","Leg"
"The largest part of the human brain is ___________?","Medulla oblongata, Cerebellum, None of these","Cerebrum"
"How many bones are there in an adult human being?","210, 260, 300","206"
"Red blood corpuscles are formed in the____________?","Liver, Kidneys, Heart","Bone marrow"
"Total volume of blood in a normal adult human being is","3-4 liters, 8-10 liters, 10-12 liters","5-6 liters"
"Which of the following helps in clotting of blood?","Vitamin B1, Vitamin B2, Vitamin D","Vitamin K"
"What is the body temperature of a normal man?","81.1 °C, 98.6 °C, 21.7 °C","37.0 °C"
"In humans , most nutrient molecules are absorbed by the ?","Stomach, Liver, Large intestine E. None of these","Small intestine"
"Cobalt is a material which is ?","Not attracted by a magnet, not a magnet, Weakly attracted by a magnet E. None of these","Strongly attracted by a magnet"
"The instrument which i specially design for recording earth quake wave is called seismograph which measure earth quake waves on a ____________?","Diatonic scale, Fahrenheit Scale, Celsius Scale E. None of these","Richter scale"
"Myopia is a defect of Human eye. it can be corrected by using a lens called?","Convex lens, Cylindrical lens, Plano convex lens E. None of these","Concave lens"
"A body can escape the gravitational pull of the earth if it is thrown up with a velocity of?","25 miles per sec, 60 miles per sec, 10 miles per sec E. None of these","7 miles per sec"
"A nuclear reactor is a device used to carry out controlled nuclear reaction whereas GM counter is a device used to detect?","Current, Voltage, power E. None of these","Nuclear Radiation"
"Magnifying power of a simple microscope can be increased by ?","increasing focal length of the lens, Lens of large aperture, lens of short aperture E. None of these","Decreasing focal length of the lens"
"The deepest place on earth is ____________?","Trench, Mangrove, Groove E. None of these","Mariana Trench"
"Twinkling of stars is caused by ?","Reflection of light, Polarization of light, Interference of light E. None of these","refraction of light"
"Cusec is a unit of _________?","Area, Time, Distance","E. None of these"
"Lactometer is a type of Hydrometer which is used to measure the specific gravity of _________?","Honey, Water, olive oil E. None of these","Milk"
"The temperature of the dead body is_______________?","0 ‘C, 37 ‘, Room Temperature E. None of these","Temperature of the place where it is kept"
"German Silver is an alloy of___________?","Zn + Ni, Cu + Zn, Cu + Sn E. None of these","Cu + Ni"
"The Continent Antarctica lies at the__________?","North pole, middle of the earth, Equator E. None of these","South pole"
"Parsec is a unit of ___________?","Energy, Time, Power E. None of these","Distance"
"In a fission nuclear reaction , a heavy nucleus breaks up into smaller nuclei whereas in another nuclear reaction two or more than two possibly nuclei are fused to form a heavy nucleus This nuclear reaction is called ?","Chemical Reaction, Nuclear reaction, Fission nuclear reaction E. None of these","Fusion nuclear reaction"
"The principle used in radar is the same as that of Sonar. In radar we use radio waves ; whereas in sonar we use ?","red waves, Infrared waves, super sonic E. None of these","Ultrasonic"
"A six feet tall lady wants to see her full image in a plane mirror . The minimum length of the mirror will be ?","6 feet, 12 feet, 4 feet E. None of these","3 feet"
"When a ray of sunlight enters a dark room , its straight path become visible because of dust particles hanging in the air. It is because light is _________?","Transparent, Invisible, opaque E. None of these","Visible"
"It is possible to recognize a person in the dark by simply hearing his unique voice . It is because of the_______?","Frequency, Time period, Quality E. None of these","pitch"
"The echo (reflected sounwill be distinctly heard only at ordinary temperatures if the distance of the reflecting surfaces from the source of sound is at least ________?","1120 ft, 120 ft, 100 ft E. None of these","56 ft"
"In winter an iron pipe feel colder than a wooden window . This is because wood is_______?","Conductor, Semi- Conductor, Not a solid while iron is a solid E. None of these","Non-Conductor"
"Water is heated in a kettlE. The inside water is heated by convection. A person sitting near the fire receives heat by ________?","Conduction, Convection, Reflection E. None of these","Radiation"
"In a railway track, two rails are joined end to end with a gap tin between them because?","Steel can be saved, Accidents due to contraction in winter can be avoided, Air gaps are necessary for bearing the weight of running train E. All of these","Accidents due to expansion in summer can be avoided"
"Name the famous book of Ibn-Sina in which he discussed human physiology and medicine ?","Al-Masudi, New Renaissance, Tadhkira E. None of these","Al-Qanun"
"Animal which captures and readily kills living animals for its food is called___________?","Parasite, Scavenger, Mammal E. None of these","Predator"
"The fruits without seed, like banana, are called_____________?","Seedless fruits, Parthenogenesis fruits, placental fruits E. Organic fruits","Parthenocarpic fruits"
"Quartz crystal in quartz watches work on the principle called?","Photoelectric effect, Stark effect, Thermionic effect E. None of these","Piezo-electric effect"
"Oasis is associated with___________?","Glaciers, Islands, Volcanoes E. Fertile land","Desert"
"Yeast is used in making bread because it produces____________?","Sugar, Bacteria, Oxygen E. None of these","Carbon dioxide"
"The phenomenon of Aurora Borealis, the display of red and green lights in northern hemisphere is due to radiations from____________ ?","Troposphere, Mesosphere, Stratosphere E. None of these","Ionosphere"
"Ozone layer prevents ______________ radiation from entering the atmosphere?","Infra-red, X-rays, Gamma rays E. None of these","Ultraviolet"
"Which one of the following is a non-metallic mineral?","Manganese, Magnesium, Bauxite E. None of these","Gypsum"
"Sedimentary rocks are__________?","Hard, Rough, Brittle E. Volcanic","Porous"
"A moderator is used in nuclear reactor in order to ?","Accelerate the neutrons, Increase the number of elections, Decrease the number of electrons E. None of these","Slow down the speed of the neutrons"
"Which of the following atmospheric layers help in radio communication?","Exosphere, Troposphere, Stratosphere E. Ozone layer","Ionosphere"
"Fuel used in a Fast Breeder Reactor is _____________?","Uranium Oxide, Uranium Plutonium carbide, Uranium thorium Oxide E. None of these","Uranium Plutonium Oxide"
"Monsoon is caused by____________________?","Revolution of earth, Movement of clouds, Rise in temperature E. Rain forests","Seasonal reversal of winds"
"The term ‘Blue Shift’ is used to indicate?","Turning a star from white to blue, In future sun would become blue, Black hole was blue at its start E. None of these","Doppler effect in which an object appears bluer when it is moving towards the observer or observer is moving towards the object."
"The half life of a radioactive element is 8-days. How long it take to reduce it from 10 mg to 5 mg?","4 days, 12 days, 16 days E. None of these","8 days"
"The number of spark plugs needed in a diesel engine is__________?","2, 3, 4 E. None of these","0"
"Where do most of Asteroids lie?","In asteroid belt between the orbits of Mars and Venus, In asteroid belt between the orbits of Jupiter and Venus, Everywhere in the sky E. None of these","In asteroid belt between the orbits of Mars and Jupiter"
"Television signals are converted into light signals by___________?","Optical fiber, Transistor, Decoder E. None of these","Photo diode"
"Which of the following explains the reason why there is no total eclipse of the sun?","Size of the earth in relation to that of moon, Orbit of moon around earth, Direction of rotation of earth around sun E. None of these","Area of the sun covered by the moon"
"Which of the following layers make radio transmission possible?","Troposphere, Mesosphere, Stratosphere E. None of these","Ionosphere"
"Diamond is a very expensive ornament. It is composed of a single element ___________?","Gold, Silver, Platinum E. None of these","Carbon"
"The position of earth in its orbit, when it is at its greatest distance from the sun causing northern summer is called ___________?","Perihelion, Perigee, Apogee E. None of these","Aphelion"
"Eugenics is the study of___________________?","People of European region, Different races of mankind, Genetic of plants E. None of these","Altering human beings by changing their genetic components"
"The most splendid and the most magnificent constellation on the sky is?","Columbia, Canis Major, Taurus E. None of these","Orion"
"Orbital period of the planet Mercury around the sun is _____________?","365 days, 2 years, 98 days E. None of these","88 days"
"Which of the following is most elastic ?","Rubber, Glass, Sponge E. None of these","Steel"
"Bronze is an alloy of ____________?","Copper and Zinc, Tin and Zinc, Iron and Zinc E. None of these","Copper and Tin"
"Hygrometer is used for measuring the ____________?","Speed of sound, Density of milk, Specific gravity of liquids E. None of these","Humidity of air"
"Chemical name of vinegar is _____________?","Sodium Nitrate, Chloride of lime, Calcium","Dilute acetic acid"
"Defeciency of following vitamin decreases hemoglobin production ?","Biotin, Thiamine, Niacin E. None of these","Pyridoxine"
"Dry ice is ___________?","Methane hydrate, Liquid Nitrogen, Frozen Water E. None of these","Solid Carbon dioxide"
"Chemical used to kill rats and mice are ?","Insecticides, Fungicides, Herbicides E. None of these","Rodenticides"
"The science which deals with study of manners and customs of people is ?","Morphology, Ethics, Genetics E. None of these","Ethnology"
"The instrument which measures very high temperature is____________?","Manometer, Thermostat, Chronometer","Pyrometer"
"Founder of modern astronomy was _________________?","Archimedes, William Gilbert, Michael Faraday E. None of these","Nicolas Copernicus"
"Role of biotechnology in the production of food based on ___________?","Decomposition, Respiration, Digestion E. None of these","Fermentation"
"Which form of drug abuse involves most risk of infection with the HIV (AIDS) virus ?","Cigarette smoking, Using alcholo, Taking too much aspirin E. None of these","Injection of heroine"
"What is the chance of diabetic baby born to parents both heterogeneous normal ?","Zero, ½, ¾ E. None of these","¼"
"Which triplet in DNA codes for valine ?","CTT, AGU, CAT","E. None of these"
"Dr. Abdus Salam of Pakistan was one of the contributors of the unification of __________?","Electromagnetic force and gravitational force, Gravitational force and weak nuclear force, Weak nuclear force and strong nuclear force E. None of these","Electromagnetic force and weak nuclear force"
"Laughing gas has chemical composition of following two elements ?","Nitrogen + Hydrogen, Nitrogen + Carbon, Oxygen + Carbon E. None of these","Nitrogen + Oxygen"
"Sensitive layer of the eye is?","Choriods, Sclerotic, Cornea E. None of these","Retina"
"The name of the common mineral salt present in sweat is ?","Calcium Oxalate, Potassium Sulphate, Iron Sulphate E. None of these","Sodium Chloride"
"Person with following blood group are considered to be universal recipient ?","A+, B+, O+ E. None of these","AB+"
"Study of life in outer space is known as ?","Endobiology, Enterobiology, Neobiology E. Micro biology","Exobiology"
"One of the main function of the earth’s ozone layer is to ?","Prevent global warming, Absorb pollution, All of the above","Filter out ultraviolet rays"
"Basic metals can be converted into gold by ?","Heating, Beating, Chemical reaction","Artificial nuclear radioactivity"
"The famous book; Al – Qanun was written by the Muslim scientist ?","Jabar bin Hayyan, Zakariya Al – Razi, Abdul Qasim Majreeti","Abu Ali Sina"
"Which of the following elements is not present abundantly in earth’s crust ?","Silicon, Aluminum, Carbon","Radium"
"Which woody raw material is used for the manufacture of paper pulp?","Cotton, Bagasse, Rice straw","Poplar"
"Rectified spirit contains alcohol about ?","80%, 70%, 85%","95%"
"Radioactive isotope of Uranium used in Nuclear Bomb is ?","92 U 234, 92 U 233, 92 U 238","92 U 235"
"Human population growth is greatest in developing countries because ?","the death rate is high in developing countries., much of the population has already reached the child bearing age., most of the world’s population lives in industrialized countries.","the birth rate is high in developing countries"
"Bronze medal is made up of metals ?","copper,nickel, copper, silver, copper, zinc","copper, tin"
"Humming bird belongs to a category called ?","Ectotherm, Exotherm, Heterotherm.","Endotherm"
"Addison’s disease is caused by the deficiency of____________?","Antiduretic Harmone, Luteinising Harmone, Melanophore stimulating Harmone","Adrenocorticotrophic Harmone"
"Max Planck received the noble prize in Physics in 1918 for his discovery of ?","electron, photon, positron","energy quanta"
"Clocks, which moves with the velocities comparable with the velocity of light, run ?","fast, equal to the velocity of light, with zero velocity","slow"
"The three elements needed for healthy growth of plants are __________?","N, C, P, N, K,, N, S, P","N, P, K"
"One of the countries through which equator passes is___________?","Malaysia, Malta, Pakistan","Kenya"
"Copper can be converted into gold by ?","heating, Electroplating, Chemical reaction","Artificial radioactivity"
"Freezing point of water is__________?","-2°C, -4°C, None of above","0°C"
"Toy age refers to __________?","Late childhood, Baby hood","Early childhood"
"What is bacteria that helps make yogurt ?","Escherichia Coli, Staphylococcus aureus, All of these.","Lactobacillus"
"Upon completion in 2029, which of the following will become the most powerful telescope in the world?","James webb 5.0 telescope, The Vainu Bappu Telescope, Hubble space telescope 2.0","Giant Magellan space telescope"
"What is the name of bacteria that causes Lyme Disease.","Escherichia Coli, Staphylococus aureus, None of these","Borrelia burgdorferi"
"What are the components of Balance Diet?","Carbohydrates+Fats, Proteins+Water, Vitamins+Minerals","All of these"
"Examples of Monosaccharides are ___________.","Glucose, Galactose, Fructose","All of these"
"How many types of nutrients are there?","1, 3, None of These","2"
"A balanced diet quality formula recommended by World Health Organization is ____________.","Mineral+Proteins+Fats, Fats+Proteins+Minerals, None of these","Carbohydrates 58% + Proteins 12% + Fats 30%"
"Chief builder of the body are ___________?","Carbohydrates, Fats, None of these","Proteins"
"__________ are called the powerhouses of the cell?","Vesicles, Lungs, Liver","Mitochondria"
"In night, when photosynthesis is stopped, plants__________?","take in Carbon Dioxide, give off Oxygen, None of these","give off Carbon Dioxide"
"The device used to convert Alternate Current into Direct Current is called?","Anemometer, Battery, Galvanometer","Rectifier"
"Halley’s Comet is the only known short-period comet that is consistently visible to the naked eye from Earth, appearing every 72–80 years. It last appeared in the inner parts of the Solar System in 1986 and will next appear in mid-_________?","2065, 2040, None of These","2061"
"The fourth state of matter is?","Water, Salts, Vapours","Plasma"
"About 50% of the Earth’s crust, including the waters on the Earth and atmosphere, is?","Cabon Dioxide, Silicon, Clay","Oxygen"
"Acid rain is mainly caused by emissions of __________ in the atmosphere?","Sulfur Dioxide and Potassium Nitrate, Sulfur and Charcoal, Nitrogen Oxide and Potassium Nitrate","Sulfur Dioxide and Nitrogen Oxide"
"In general, wind speed of 10 –13 kph caused_______?","considerable damage, severe damage, extreme damage","minor or no damage"
"Water covers __________ of the Earth’s surface?","61%, 67%, 76%","71%"
"Who is considered the founder of meteorology?","Plato, Einstein, Newton","Aristotle"
"Wind energy is the __________ energy.","Potential, Transverse, Mechanical","Kinetic"
"The energy value of food is measured in_______?","Joule, Tesla, Proteins","Calories"
