question,wrong_choice,correct_answer
Who is the Current Chief Minister of KHYBER PAKHTUNKHWA?,"A. Pervez Khattak

C. Ali Amin Gandapur
D. Mehmood Khan",B. Sohail Afridi
Which court of Pakistan has established the “Overseas Litigants Facilitation Cell (OLFC)”?,"B. The Islamabad High Court
C. The Lahore High Court
D. The Sindh High Court",A. The Supreme Court
"Foreign Minister and Deputy PM Ishaq Dar landed in Bangladesh on August 23, 2025 for a two-day official visit. It is the first visit by a Pakistani foreign minister to Bangladesh in ______ years.","A. 5
B. 10

D. 15",C. 13
When Pakistan launched the New Electronic Vehicles Policy 2025-30?,"A. June 26, 2025
B. July 26, 2025

D. None of These","C. August 26, 2025"
Which provincial government called in the army in six districts to assist civil authorities in rescue and relief operations as the province faced an unprecedented flood emergency?,"A. Khyber Pakhtunkhwa

C. Sindh
D. Balochistan",B. Punjab
"Foreign Minister Ishaq Dar recently visited Bangladesh in August 2025, first Pakistani to visit Bangladesh in 13 years. The last time ______ foreign minister paid an official visit to Dhaka in 2012.","B. Sartaj Aziz
C. Khurshid Mahmud Kasuri
D. Shah Mahmood Qureshi",A. Hina Rabbani Khar
The 2025 India-Pakistan Conflict was a brief armed Conflict that began on ___________?,"A. 22 April, 2025

C. 10 June, 2025
D. 14 July, 2025","B. 7 May, 2025"
The UK government removed Pakistan from its Air Safety List on ______________?,"A. May 6, 2025

C. November 14 ,2024
D. None of these","B. July 16, 2025"
Who is the Current Chief Justice of Islamabad high court?,"A. Justice Iqbal Hameed ur Rahman

C. Justice Aamer Farooq
D. Justice Athar Minallah",B. Justice Sarfraz Ahmed Dogar
Who won the final of Shandur Festival 2025?,"B. Team Gilgit
C. Team Ghizar
D. Team Laspur",A. Team Chitral
The ‘Power Smart’ app introduced by PM under the ‘Apna Meter Apni Reading’ initiative is designed to empower consumers by allowing them:,"B. To share the bill reading on a specified date
C. To register complains about electricity bill
D. None of These",A. To take a photograph of their electricity meter on a specified date and upload it to the app
"When PM Shehbaz Sharif launched the ‘Power Smart’ mobile app to empower citizens and promote transparency in electricity billing under the ‘Apna Meter, Apni Reading’ initiative?","A. June 29, 2022
B. June 29, 2023
C. June 29, 2024","D. June 29, 2025"
"Prime Minister Shehbaz Sharif on June 29, 2025, launched the __________ mobile app to empower citizens and promote transparency in electricity billing under the ‘Apna Meter, Apni Reading’ initiative.","B. Apna Meter
C. Bill Reading
D. None of These",A. Power Smart
How many innocent Civilians were brutally killed in Pahalgam Terror attack in Indian Occupied Kashmir .,"A. 16

C. 36
D. 46",B. 26
"What is the name of Military Operation Launched by Pakistan in response to alleged indian aggression , Particularly after the terrorist attack in Pahalgam ?","B. Rising Lion
C. True Promise 3
D. Al-Habib",A. Bunyan Al Marsoos
What does the word “Bunyan” mean in Arabic?,"A. Garden

C. Wall of fire
D. Path",B. Building or structure
What does the word “Marsoos” mean in Arabic?,"A. Broken into pieces
B. Melted with fire

D. Open and scattered",C. Cemented or firmly joined
"In the Quran, “Bunyan al Marsoos” refers to:_____________?","A. A garden beneath which rivers flow

C. A shining star in the sky
D. A promise of victory for the believers",B. A solid structure firmly joined together
Why was the name “Bunyan al Marsoos” chosen for Pakistan’s military operation against India?,"A. To symbolize mercy and forgiveness

C. To recall historical treaties with India
D. To honor ancient forts of the region",B. To highlight national unity and strong defense
Which verse of Surah Al-Saff contains the phrase “Bunyan al Marsoos”?,"A. Verse 2
B. Verse 3

D. Verse 6",C. Verse 4
The phrase “Bunyan al Marsoos” appears in which Surah of the Holy Quran?,"A. Surah Al-Baqarah

C. Surah Al-Anfal
D. Surah Al-Fath",B. Surah Al-Saff
Pakistan’s Prime Minister Shehbaz Sharif and Turkish President Erdogan meets in  ___________ on 25 May 2025?,"B. Pakistan
C. UAE
D. Malaysia",A. Istanbul
Who has been appointed as the Special Assistant to the Prime Minister on blockchain and cryptocurrency?,"A. Asad Umar

C. Dr. Shamshad Akhtar
D. Shaza Fatima Khawaja",B. Bilal Bin Saqib
"The interior ministry on May 24, 2025 has decided that Pakistanis deported for committing crimes overseas  would be placed on which list for five years?","A. No Fly List
B. Exit Control List (ECL)

D. None of These",C. Passport Control List (PCL)
"Pakistan has launched its first  ______, which is a real-time digital tool as part of the Power Sector Indigenization Plan (PSIP).","B. Equipment Manufacturing Dashboard
C. Power Digital Dashboard
D. None of These",A. Power Equipment Manufacturing Dashboard
"The interior ministry on May 24, 2025, has decided that Pakistanis deported for committing crimes overseas would face travel bans for _________, and criminal cases.","A. Three Years

C. Seven Years
D. None of These",B. Five Years
Chief of Army Staff General Asim Munir has promoted to the rank of Field Marshal on which date?,"A. 17th May 2025
B. 18th May 2025
C. 19th May 2025",D. 20th May 2025
What does Pakistan’s “Operation Bunyan al-Marsus” mean?,"A. Operation Secure Borders

C. Operation Peace Mission
D. Operation Humanity",B. Operation Strong Fortress
Who is the current Chairperson of the Benazir Income Support Programme (BISP)? (as of early 2025),"A. Sania Nishtar

C. Shazia Marri
D. Hina Rabbani Khar",B. Rubina Khalid
Who is the Current head of newly established Crime Control Department in Punjab police?,"B. B A Nasir
C. Tahir Rai
D. Liaqat Ali Malik",A. Sohail Zafar Chattha
Which new department has been created in Punjab Police to control crime?,"A. Crime Task Force

C. Crime Investigation Unit
D. Rapid Response Force",B. Crime Control Department
"When was the National Cyber Crimes Investigation Agency (NCCIA), established by the Government of Pakistan?","A. 23 March 2024
B. 1 April 2024

D. 14 August 2024",C. 3 May 2024
Who is the current IG of New Railways Police?,"B. Inam Ghani
C. Rao Sardar Ali Khan
D. None of these",A. Muhammad Tahir Rai
"In March 2025, which country completed the second of eight contracted submarines for Pakistan, enhancing their military relationship?","A. Russia?
B. United States?

D. France?",C. China?
Which satellite internet provider received a no-objection certificate (NOC) to launch its services in Pakistan in March 2025?,"A. OneWeb?

C. Amazon’s Kuiper?
D. HughesNet?",B. Starlink?
Which border crossing between Pakistan and Afghanistan was reopened in March 2025 after being closed for nearly a month due to clashes?,"A. Chaman?

C. Ghulam Khan?
D. Angoor Adda?",B. Torkham?
"Which international sporting event was held in the UK for the first time, featuring teams from Pakistan among other nations in March 2025?","A. Cricket World Cup?

C. Hockey World Cup?
D. Squash World Championship?",B. Kabaddi World Cup?
"On March 11, 2025, a passenger train in Balochistan was hijacked by militants. What was the name of this train?","A. Tezgam Express?
B. Karakoram Express?

D. Shalimar Express?",C. Jaffar Express?
Who Hijacked the passenger train in Balochistan in March 2025?,"A. Pakistan military
B. Taliban fighter

D. World terrorist group",C. Balochistan liberation Army (BLA)
Who is the Current Chairman of PTCL?,"A. Azfar Manzoor
B. Captain (Retd) Muhammad Mahmood

D. None of These",C. Zarrar Hasham Khan
What is Pakistan’s rank in the “Global Terrorism Index 2025”?,"A. 1st Rank

C. 3rd Rank
D. 4th Rank",B. 2nd Rank
Which country to host meeting on water security in OIC states 2025?,"B. Iran
C. Turkiye
D. UAE",A. Pakistan
What action did the Khyber Pakhtunkhwa government take regarding Peshawar’s cricket stadium on 21st February 2025?,"A. Renovated the stadium with modern facilities.

C. Increased seating capacity to 50,000.
D. Transferred its management to a private entity.",B. Decided to rename it after Imran Khan.
Who is the Current Chief Judge of Gilgit-Baltistan Supreme Appellate Court?,"A. Syed Arshad Hussain Shah
B. Justice ibrar shah

D. Justice Salman Chauhan",C. Justice Sardar Muhammad Shamim Khan
"What was the primary focus of the second round of Pakistan-Turkey Counter-Terrorism Consultations held in Islamabad on February 10, 2025?","A. Enhancing economic cooperation
B. Strengthening defense ties

D. Discussing cultural exchange programs",C. Collaborating on counter-terrorism strategies
"Which significant event did Chief Minister Maryam Nawaz inaugurate in Lahore on February 9, 2025?","A. Lahore International Book Fair

C. Punjab Cultural Festival
D. Pakistan Agricultural Expo",B. National Horse and Cattle Show
What is the purpose of the International Monetary Fund (IMF) mission’s visit to Pakistan in February 2025?,"A. To negotiate a new loan agreement

C. To evaluate Pakistan’s economic growth
D. To oversee infrastructure projects",B. To conduct a Governance and Corruption Diagnostic Assessment
What is the focus of the Sea Phase in Aman 2025?,"A. Cultural exchange

C. Trade negotiations
D. None of these",B. Practical exercises like anti-piracy and search and rescue operations
What activities are included in the Harbour Phase of Aman 2025?,"A. Live firing exercises

C. Anti-piracy drills
D. None of these","B. Seminars, discussions, and cultural events"
What is the duration of the Aman 2025 exercise?,"B. February 5 to 10
C. February 10 to 15
D. None of these",A. February 7 to 11
Who addressed the attendees at the opening ceremony of Aman 2025?,"A. Chief of Naval Staff

C. Prime Minister of Pakistan
D. None of these","B. Commander of the Pakistan Fleet, Rear Admiral Abdul Munib"
Where was the opening ceremony of Aman 2025 held?,"A. Islamabad Naval Base

C. Gwadar Port
D. None of these","B. Pakistan Navy Dockyard, Karachi"
How many countries are participating in Aman 2025?,"A. Over 50

C. Over 70
D. None of these",B. Over 60
"Which country did Pakistan hold the 3rd Round of Bilateral Political Consultations with in Tashkent on February 5, 2025?","A. Kazakhstan

C. Turkmenistan
D. Kyrgyzstan",B. Uzbekistan
"What significant financial challenge does Pakistan face in the fiscal year 2025, according to Fitch Ratings?","A. A decline in foreign direct investment

C. A decrease in remittances
D. A budget deficit exceeding $10 billion",B. Over $22 billion in external debt repayments
What action did FIFA take against the Pakistan Football Federation (PFF) in February 2025?,"A. Awarded it for fair play

C. Provided financial assistance
D. Promoted it to a higher ranking",B. Suspended it from international competitions
Which country is hosting the 9th International Naval Exercise “AMAN 2025” starting from 7 to 11 February 2025?,"A. India

C. China
D. UAE",B. Pakistan
What is rank of Pakistan in Global Fire Power Index 2025?,"A. 10th
B. 11th

D. None of These",C. 12th
Which two countries agreed to boost intelligence sharing during high-level security talks on February 5th 2025?,"B. Pakistan and Russia
C. China and India
D. Pakistan and the United States",A. Pakistan and China
When did Pakistan and Saudi Funds Development (SFD) sign a $1.61 billion agreement to boost economic cooperation?,"A. 2nd February 2025

C. 4th February 2025
D. 5th February 2025",B. 3rd February 2025
What were Pakistan’s total liquid foreign currency reserves as of January 2025?,"A. 15 billion

C. 17 billion
D. 18 billion",B. 16 billion
Who is the Current Speaker of National Assembly of Pakistan?,"A. Raja Pervaiz Ashraf
B. Asad Qaisar

D. Assad mehmood",C. Sardar Ayaz Sadiq
What is the current SBP interest rate in Pakistan?,"A. 8 percent
B. 9 percent

D. None of these",C. 12 percent
Population of Pakistan according to 2017 census is?,"A. 207,556,520
B. 204,656,478
C. 207,756,567","D. 207,774,520"
Who is the Current Chairman of Senate of Pakistran?,"A. Ahsan iqbal

C. Raza Rabbani
D. Sadiq Sanjrani",B. Yousuf Raza Gilani
Which country signed an agreement with Pakistan to supply 100 First Win 4×4 armored vehicles?,"B. China
C. UAE
D. Turkey",A. Thailand
"Which province of Pakistan experienced a deadly clash between security forces and terrorists on 1st February, resulting in the martyrdom of 18 soldiers and sending 23 terrorists to hell?","A. Sindh
B. Punjab
C. Khyber Pakhtunkhwa",D. Balochistan
"The Punjab government has officially imposed a _______ km/h speed limit for motorcycles across the province, including Lahore.","B. 80km/h
C. 70km/h
D. None of These",A. 60km/h
When was Pakistan’s first locally built Jinnah Class Frigate announced to feature SMASH supersonic ballistic missiles?,"A. 25 January 2025
B. 26 January 2025

D. 28 January 2025",C. 27 January 2025
Who is the Current IG of KPK police?,"A. Mr. Akhtar Hayat Khan
B. Moazzam Jah Ansari
C. Nasir Khan Durrani",D. Zulfiqar Hameed
How many Pakistani Universities were listed in the 2025 world rankings?,"A. 15
B. 25

D. 60",C. 47
"Which of the following teams defeated Pakistan to win a Test match for the first time in 35 years on January 27, 2025?","B. Australia
C. New Zealand
D. None of these",A. West Indies
Which Province of Pakistan launched the first-ever Chief Minister’s Minority Card Program?,"A. Sindh

C. Balochistan
D. Khyber Pakhtunkhwa",B. Punjab
When did the Pakistan Navy assume command of Combined Task Force-151 for the 11th time?,"B. 24 January 2025
C. 25 January 2025
D. 26 January 2025",A. 23 January 2025
From which country did Pakistan take over the leadership of Combined Task Force 151 in January 2025?,"B. UAE
C. Saudi Arabia
D. USA",A. Turkey
The New Gwadar International Airport will officially start operations from ___________?,"B. January 25, 2025
C. January 28, 2025
D. None of These","A. January 20, 2025"
"Which Pakistani official welcomed the World Bank’s funding plan, stating it reflects confidence in Pakistan’s economic resilience?","A. President Arif Alvi
B. Foreign Minister Bilawal Bhutto Zardari

D. Finance Minister Ishaq Dar",C. Prime Minister Shehbaz Sharif
Which international financial institution provided a $7 billion loan to Pakistan prior to the World Bank’s funding?,"A. Asian Development Bank

C. European Central Bank
D. Islamic Development Bank",B. International Monetary Fund
When is the World Bank’s lending to Pakistan scheduled to commence?,"A. 2025

C. 2027
D. 2028",B. 2026
Over what period will the World Bank’s $20 billion funding be disbursed to Pakistan?,"A. 5 years

C. 15 years
D. 20 years",B. 10 years
Which peak did Pakistani climber Asad Ali Memon successfully summit in Antarctica in January 2025?,"B. Mount Denali
C. Mount Elbrus
D. Mount Everest",A. Mount Vinson
Pakistani mountaineer Asad Ali Memon’s successful ascent of Mount Vinson marked the completion of how many peaks in his Seven Summits challenge?,"A. Four
B. Five

D. Seven",C .Six
On which date did Pakistani mountaineer Asad Ali Memon reach the summit of Mount Vinson?,"A. January 15, 2025

C. January 20, 2025
D January 25, 2025","B. January 18, 2025"
"Mount Vinson, which Asad Memon summited in January 2025, is the highest peak on which continent?","A. Africa
B. Asia

D. Europe",C. Antarctica
Pakistani climber Asad Ali Memon hails from which city in Pakistan?,"A. Karachi

C. Islamabad
D. Lahore",B. Larkana
"From which country did the boat carrying 86 migrants, in which 44 Pakistanis died, depart?","A. Spain
B. Morocco

D. Canary Islands",C. Mauritania
How many Pakistanis were estimated to have died in the Atlantic boat tragedy in January 2025?,"A. 36

C. 50
D. 66",B. 44
Which organization is responsible for launching the PRSC-EO1 satellite?,"B. NASA
C. European Space Agency (ESA)
D. Indian Space Research Organisation (ISRO)",A. Pakistan Space and Upper Atmosphere Research Commission (Suparco)
From which location was the PRSC-EO1 satellite launched?,"A. Kennedy Space Center

C. Baikonur Cosmodrome
D. Tanegashima Space Center",B. Jiuquan Satellite Launch Centre
What is the name of Pakistan’s first indigenous Electro-Optical satellite?,"B. Suparco-1
C. PakSat-1
D. JinnahSat",A. PRSC-EO1
Who is the Current Chairman of SUPARCO?,"A. Major General Amer Nadeem
B. Major General Qaiser Anees Khurram

D. Engr. Sikandar Zaman",C. Muhammad Yousaf Khan
Who is the Current Deputy Prime Minister of Pakistan?,"A. Bilawal Bhutto Zardari

C. Shah Mehmood Qureshi
D. None of these",B. Ishaq Dar
During which event were the $250 million worth MoUs between Pakistani and Chinese companies signed on 17th January 2025?,"A. China-Pakistan Economic Corridor Summit

C. Medical Equipment Expo
D. Silk Road Trade Conference",B. China-Pakistan B2B Matchmaking Conference
How much are the MoUs signed between Pakistani and Chinese companies worth in the medical equipment trade on 17th January 2025?,"A. $100 million
B. $150 million
C. $200 million",D. $250 million
"In January 2025, what type of taxis did the Sindh government introduce for unemployed youth?","A. Gas-powered taxis

C. Hybrid taxis
D. Solar-powered taxis",B. Electric Vehicles (EV) taxis
Which legendary Pakistani cricketers have been inducted into the PCB Hall of Fame 2024?,"A. Misbah-ul-Haq
B. Saeed Anwar
C. Inzamam-ul-Haq
D. Mushtaq Mohammad",E. All Of These
"According to the latest Henley Passport Index, what is Pakistan’s global passport ranking?","A. 100th

C. 110th
D. 97th",B. 103rd
How many destinations can Pakistani passport holders travel to without requiring a visa in advance?,"A. 25
B. 30

D. 40",C. 33
"On January 10, 2025, a Pakistani court suspended the deportation of how many Afghan singers and musicians?","A. 50
B. 100

D. 200",C. 150
"Which international organization lifted a four-year ban on Pakistan International Airlines (PIA), allowing it to resume flights to Europe in early January 2025?","A. International Civil Aviation Organization (ICAO)

C. Federal Aviation Administration (FAA)
D. International Air Transport Association (IATA)",B. European Union Aviation Safety Agency (EASA)
"On January 10, 2025, Pakistan International Airlines (PIA) resumed flights to which European city after the European Union lifted a 2020 ban?","A. London

C. Berlin
D. Rome",B. Paris
"A gas explosion caused a coal mine collapse in which area of Pakistan on January 9, 2025?","A. Tharparkar
B. Kohat
C. Sangla Hill","D. Singidi, Balochistan"
Who is the current Federal Minister of National Food Security?,"B. Tariq Bashir Cheema
C. Khowaja saad Rafiq
D. None of these",A. Rana Tanveer Hussain
"A 3.6 magnitude earthquake jolted which area in Pakistan on January 6, 2025?","B. Quetta
C. Islamabad
D. Lahore",A. Kalat
"How many Hindu pilgrims arrived in Pakistan from India on January 6, 2025?","A. 50

C. 100
D. 120",B. 84
Which Pakistani athlete won the Second Karachi Marathon held in January 2025?,"B. Ali Amin Gandapur
C. Shan Masood
D. Hassan Ali",A. Israr Khattak
What was the voter turnout in the PB-45 Quetta by-election?,"A. 25.50%
B. 30.12%

D. 40.45%",C. 35.36%
Who retained his seat in the Balochistan Assembly from PB-45 Quetta in the by-election?,"A. Nasarullah Zerey
B. Mir Usman Pirkani

D. Maulana Abdul Wasey",C. Ali Madad Jattak
"Which Political Party Won the Quetta By-Elections in Balochistan on January 5, 2025?","A. Pakistan Tehreek-e-Insaf (PTI)

C. Pashtunkhwa National Awami Party  (PkNAP)
D. Jamiat Ulema-e-Islam (F)",B. Pakistan People’s Party (PPP)
"Which tragic incident occurred in Turbat On January 4, 2025, Balochistan, involving a bus explosion. How many fatalities were reported as a result of this blast?","A. 2

C. 6
D. 8",B. 4
"In the cricket match between South Africa and Pakistan at Newlands on January 4, 2025, which South African batsman scored a double century, significantly contributing to his team’s commanding position?","A. Temba Bavuma

C. Kagiso Rabada
D. Kyle Verreynne",B. Ryan Rickelton
"Which separatist group claimed responsibility for the January 4, 2025, attack in Turbat, Balochistan?","A. Tehrik-i-Taliban Pakistan (TTP)

C. Al-Qaeda
D. Islamic State (IS)",B. Baloch Liberation Army (BLA)
What is the name of Pakistan’s National Economic Transformation Plan 2024-29?,"A. Pakistan Vision 2025

C. Pakistan Economic Development Plan
D. Sustainable Growth Plan",B. Uraan Pakistan: Homegrown National Economic Plan
"Which country did the United States accuse of developing long-range ballistic missiles, leading to new sanctions on four entities, as reported on January 3, 2025?","A. Iran
B. North Korea

D. Syria",C. Pakistan
"What was the outcome of the Turkish consortium’s bid for Islamabad Airport operations reported on January 2, 2025?","A. Accepted at the minimum fee
B. Rejected due to lack of experience

D. Accepted with conditions",C. Offered below the minimum fee
What percentage increase in violence was observed in Pakistan in 2024 compared to the previous year?,"A. 55%

C. 73%
D. 49%",B. 66%
How many security personnel lost their lives in 2024 amid terror attacks in Pakistan?,"A. 444

C. 925
D. 1612",B. 685
Which two provinces accounted for the majority of fatalities and incidents in 2024?,"A. Punjab and Sindh

C. Islamabad and Punjab
D. Sindh and Balochistan",B. KP and Balochistan
Which province in Pakistan reported the highest number of polio cases in 2024?,"A. Punjab
B. Khyber Pakhtunkhwa

D. Sindh",C. Balochistan
"Which Pakistani political party was scheduled to meet with the government on January 2, 2025, to address political deadlock?","A. Pakistan People’s Party (PPP)
B. Pakistan Muslim League-Nawaz (PML-N)

D. Muttahida Qaumi Movement (MQM)",C. Pakistan Tehreek-e-Insaf (PTI)
"What tragic event involving Pakistani migrants was reported on January 2, 2025?","B. A bus accident in Europe involving Pakistani migrants
C. A fire in a migrant camp in the Middle East
D. Detention of Pakistani migrants in North America",A. Over 40+ Pakistanis feared drowned after a migrant boat capsized off West Africa’s Atlantic coast
"Which Pakistani official expressed intentions to transform nuclear Pakistan into an economic power on January 2, 2025?","A. Prime Minister

C. Finance Minister
D. Foreign Minister",B. Deputy Prime Minister
Which district reported the highest number of polio cases in 2024?,"A. Qila Abdullah

C. Karachi
D. Peshawar",B. Dera Ismail Khan
Which two countries are still considered endemic for poliovirus?,"B. Pakistan and India
C. Afghanistan and Nigeria
D. Pakistan and Somalia",A. Pakistan and Afghanistan
On what date did Prime Minister Shehbaz Sharif unveil the National Economic Transformation Plan 2024-29?,"A. December 25, 2024

C. January 1, 2025
D. November 30, 2024","B. December 31, 2024"
How many cases of polio were reported in Pakistan in 2024?,"A. 6
B. 9

D. 19",C. 68
Who is the captain of Pakistan Hockey Team?,"A. Muhammad khalid
B. Muhammad mehmood

D. Muhammad Amir",C. Ammad Shakeel Butt
Which former Chief Minister of Gilgit-Baltistan has been sentenced to 34 years in prison by anti-terrorism court?,"A. Gulbar Khan

C. Mir Afzal
D. None of these",B. Khalid Khurshid Khan
"Which country was reported to be carrying out covert assassination campaigns in Pakistan, according to a report examined on January 1, 2025?","A. Afghanistan

C. Iran
D. United States",B. India
"What was the inflation rate in Pakistan as reported on January 1, 2025?","A. 4.1%
B. 10.5%
C. 15.2%
D. 20.3%",Areesha Khan
"How many times has Pakistan served as a non-permanent member of the UNSC, including the current term?","A. Six
B. Seven

D. Nine",C. Eight
What is the primary responsibility of the United Nations Security Council?,"A. Promote economic development

C. Address climate change issues
D. Monitor global trade agreements",B. Maintain international peace and security
Which country did Pakistan replace to occupy the Asia-Pacific seat on the UNSC?,"A. Denmark

C. Somalia
D. Malta",B. Japan
When did Pakistan begin its two-year term as a non-permanent member of the United Nations Security Council (UNSC)?,"B. December 31, 2024
C. June 2024
D. January 1, 2024","A. January 1, 2025"
What framework does the National Economic Transformation Plan 2024-29 use?,"B. The Triple R Approach
C. The Sustainable Growth Model
D. The National Development Index",A. The Five Es
What was the main cause of violence in Kurram district?,"A. Political disagreements
B. Sectarian conflicts

D. Disagreements over trade routes",C. Decades-old land disputes
On which day did the Kurram tribal district sign a historic agreement,"B. January 1, 2025
C. January 2, 2025
D. None of These","A. December 31, 2024"
What marked the resolution of the conflict in Kurram district according to the KP government?,"A. Deployment of military forces

C. Imposition of a curfew
D. Withdrawal of law enforcement agencies",B. Signing of a peace agreement
Which Pakistani cricketer has been nominated for the ICC Men’s ODI Cricketer of the Year 2024?,"A. Muhammad Rizwan

C. Shadab Khan
D. None of these",B. Babar Azam
"Renowned journalist Khaled Ahmed passed away on ______, November 2024?","A. September 17
B. October 17

D. December 17",C. November 17
"The Japanese government approved a grant of $18.5 million for flood management in Pakistan, specifically for Haripur district, on which date?","A. 12 November, 2024

C. 14 November, 2024
D. None of these","B. 13 November, 2024"
Who is the Current Secretary General of (ECO) Economic Cooperation Organization?,"A. Mr. Khusrav Noziri
B. Dr. Hadi Soleimanpour

D. Dr. Ahmad Aboul Gheit",C. Asad Majeed Khan
"Which province in Pakistan has the highest percentage of out-of-school children (OOSC), according to Unicef?","A. Punjab
B. Khyber Pakhtunkhwa (KP)
C. Sindh",D. Balochistan
T20 Blind Cricket World Cup 2024 is scheduled to be held in Pakistan from: __________?,"B. November 20 to November 30
C. December 1 to December 10
D. None of Above",A. November 23 to December 3
T20 Blind Cricket World Cup 2024 is scheduled to be held in: ____________?,"A. India

C. South Africa
D. Sri Lanka",B. Pakistan
"The 28th Annual Conference of International Association of Peacekeeping Training Centre (IAPTC) is being hosted for the ____ time in Islamabad, Pakistan, on November 4-8, 2024.","A. 7th
B. 5th
C. 3rd",D. 1st
"The 28th Annual Conference of International Association of Peacekeeping Training Centre (IAPTC) is being held in _____ on November 4-8, 2024.","A. Nairobi, Kenya

C. New York, USA
D. Dhaka, Bangladesh","B. Islamabad, Pakistan"
"Which Provincial Assembly on November 4, 2024, became the first PA to approve the resolution necessary for the formation of a constitutional bench in the province, under 26th Amendment?","A. Punjab

C. KP
D. Balochistan",B. Sindh
