question,wrong_choices,correct_answer
Name the mountain where the Holy Prophet (S.A.W) deputed 50 skillful archers (Teer-Andaaz) in battle of Ohad?,"A. Jabal-e-Safa
B. Jabel-e-Yahnene
C. Jabal-e-ohad",D. Jabal al-Rumah
Which Surah of Holy Quran has 200 VERSES ?,"A. Surah Yusuf
B. SuraH Hamd

D. SuraH Noon",C. SuraH Al Imran
The last Sariya was fought in Syria in,"A. 9 A.H
B. 10 A.H

D. 12 A.H",C. 11 A.H
when the first Sariya was fought in Rabakh in_______________?,"B. 2 A.H
C. 3. A.H
D. 4 A.H",A. 1. A.H
Quran is written in _______________?,"B. Prose
C. Poetry
D. None of them",A. Prose & Poetry
Name the last Sariya____________ ?,"A. Hazrat Ubaidah bin Haris (R.A)
B. Hazrat Usamah bin Zaid (R.A)
C. Hazrat Zaid bin Haris (R.A)",D. Hazrat Saad bin Abi Waqas (R.A)
Whom Arabs called ‘Saabi’_____________?,"A. Those who worshiped moon

C. Those who worshiped idols
D. Those who worshiped sun",B. Those who worshiped stars
Name the prophet who was married to Rachel__________?,"A. Hazrat Ishaq (A.S)

C. Hazrat Younas (A.S)
D. Hazrat Zakriya (A.S)",B. Hazrat Yaqoob (A.S)
The major part of Quran is revealed at ____________________?,"A. Early morning
B. Noon
C. Early evening",D. Night time
Hazrat Umar Farooq was martyred on 1st Muharram_____________?,"B. 25 A.H.
C. 26 A.H.
D. 27 A.H.",A. 24 A.H.
Islamic official seal started in________________?,"A. 6 A.H

C. 8 A.H
D. 9 A.H",B. 7 A.H
How many disciples of Hazrat Essa (A.S) assisted him in preaching________?,"A. 6

C. 18
D.24",B. 12
Hazart Ali (R.A) married Hazart Fatma (R.A) in______________?,"A. 622 A.D
B. 623 A.D

D. 625 A.D",C. 624 A.D
Why Hazrat Ismaeel (A.S) divorced his first wife on the request of his father?,"A. she was dishonest

C. she was disobedient
D. It is the order of Jibreal (A.S)",B. she was discourteous
Injeel means________________?,"A. Light
B. Sign
C. Peace",D. Good news
Who was the first commander of islamic army?,"A. Hazrat Umer (RA)

C. Hazrat Khalid-bin-walid (RA)
D. None of them",B. Hazrat Hamza (RA)
Who was chosen by hazrat Umar (R.A) to lead the Muslim Army in the battle of Qadsiya?,"A. Hazrat Ubaida bin Jerrah
B. Hazrat Khalid bin Waleed(R.A)

D. Hazrat Usama Bin Zaid (R.A)",C. Hazrat Saad bin Abi Waqas (R.A)
Torat means _____________?,"B. Sign
C. Peace
D. Good news",A. Law
Zaboor means________________?,"B. Law
C. Signs
D. Good news",A. Pieces
When for the first time Nimaz-e-kisoof was offered________________?,"A. 4 A.H

C. 6 A.H
D. 7 A.H",B. 5 A.H
"In salat, saying Darood is_____________?","A. Farz

C. Mustahab
D. Wajib",B. Sunnah
At-least five wisk is weight of the produce of the crops over which Zakat becomes obligatory. Five wisk is equal to______?,"B. 45 Kg
C. 50 kg
D. 60 Kg",A. 40 Kg
Who runs the accounts of central Zakat fund in Pakistan__________?,"B. Auditor General
C. Accountant General
D. Minister of Religious Affairs",A. Administrator General
Which article of the constitution of 1973 is related to the affairs of Zakat______?,"B. 44
C. 46
D. 39",A. 31
How many days are forbidden for Soam/Fasting throughout the year_________?,"A. 4

C. 6
D. 7",B. 5
Aitekaaf (Seclusion) during the month of Ramzan is_____________?,"A. Wajib
B. Mustahab

D. Nafl",C. Sunnah
Seclusion is Sunnah in the month of Ramzan. Another kind of Seclusion is Wajib its meaning is_______?,"A. Imperative
B. Obligation

D. valid",C. Ordained
How many types of Tawaf are there_______________?,"A. Two
B. Three
C. Four",D. seven
Tawaf-e-Rukan is _______________ component of Hajj?,"A. Nafil

C. Wajib
D. Sunnat",B. Farz
Tawaf Al-Qudum is________________?,"A. Nafil
B. Farz
C. Wajib",D. Sunnat
How many obligatory Acts of Hajj are there________?,"A. Two

C. Four
D. Five",B. Three
Name the place which is called the Sacred Monument in the Holy Quran_________?,"A. Mina
B. Arafat

D. Hateem",C. Muzdalfa
There are _______________ types of Hajj?,"A. Two

C. Four
D. Five",B. Three
A person who has an intention to offer Umra and Hajj at Meeqat is called_______?,"B. Mufrid
C. Mutamtae
D. None of them",A. Qaran
A person who has an intention to offer only Umra at Meeqat is called_______?,"A. Qaran
B. Mufrid

D. None of them",C. Mutamtae
what do you understand by Tahleeq________?,"B. First circle of Tawaf
C. Kalmaas in loud voice during Tawaf
D. Kissing of stone",A. Cutting of hair
What does mean by Hadi__________?,"A. One kind of Hajj
B. Last pebble on throwing Iblees

D. Last circle of Tawaf",C. Animal to be sacrifice
A person who has an intention to offer only Hajj at Meeqat is called_______?,"A. Qaran

C. MUtamtae
D. None of them",B. Mufrid
Maqbool Hajj means______________?,"B. which is not accepted
C. which is observed correctly
D. which is performed with deficiencies",A. which is accepted
Mabroor Hajj means______________?,"A. which is accepted
B. which is not accepted

D. which is performed with deficiencies",C. which is observed correctly
"Name the term whose avoidance is rewarding and although doing it, is not a sin, yet it is a sort of vice?","B. Makruh-i-Tehrimi
C. Mubah
D. Mustahab",A. Makruh-i-Tanzihi
Name the term on which acting upon it is not rewarding but it is also not a sin if you do not act upon it what is about it?,"A. Makruh-i-Tanzihi
B. Makruh-i-Tehrimi

D. Mustahab",C. Mubah
What an authentic Hadis is called___________?,"A. Sahifah

C. Musnad
D. Saadiqah",B. Sahih
How many parts of each Hadis are there______________?,"B. Three
C. Four
D. Five",A. Two
The parts of each of the Hadis are Sanad and_______________?,"B. Musnad
C. Sahifah
D. Riwayat",A. Matan
How many types of Ijma are there____________?,"B. four
C. Two
D. five",A. Three
Analogy is synonym of_____________?,"A. Ijtehad

C. Ijma
D. Jury",B. Qiyas
Consensus of opinion stands for____________?,"A. Ijtehad
B. Qiyas

D. Jury",C. Ijma
What is the literal meaning of Shariah__________?,"B. Instructions to follow
C. Making a new laws
D. Making new Islamic system",A. A clear straight path
What is the meaning of Zarb-e-Azb?,"A. Long Strike & Swift
B. Swift & Sharp Strike
C. Fast Strike & Sharp",D. Sharp & Cutting Strike
Hazrat Imam Tirmazy was a student of_____________?,"A. Imam Bukhari

C. Bukhari Sharif,Ibne Dawood
D. Muta,Ibne Maja",B. Imam Abu Dawood
"After sleeping for a 100 years, he again woke up:","B. Hazrat Musa (AS)
C. Hazrat Salih (AS)
D. None of above",A. Hazrat Uzair (AS)
Who is called as “Muslim Alexander”?,"A. Khalid Bin Waleed (R.A)

C. Sa’ad bin Abi Waqas (R.A)
D. Amr bin Al-Aas (R.A)",B. Uqba bin Nafah (R.A)
Who was third Son in law of prophet?,"B. Utbah ibn Abi Lahab
C. Usmaan ibn Affaan
D. Ali ibn Abi Taalib",A. Abu’l-Aas ibn al-Rabee
Mauwazatain mean________________?,"A. A collection of Ahadith

C. A book of jafferi Fiqh
D. A book of Hanafi Fiqh",B. Two specific surah of Quran
In how many years Makki Surah were revealed?,"B. 14
C. 15
D. 16",A. 13
The name of the sixth Kalimah is______________?,"A. Kalimah Tamjeed
B. Kalimah Tauheed
C. Kalimah Shahadat",D. Kalimah Radd-i-Kufar
The name of the fifth Kalimah is ?,"A. Kalimah Tamjeed

C. Kalimah Shahdat
D. Kalimah Tauheed",B. Kalimah Istighfar
The creation of heaven and earth is in which Surah ________?,"A. Surah Yaseen
B. Surah rehman
C. Surah namal",D. Surah Al Al A’raf
"There are 3 Farz, 10 sunnat and____________ wajibat in Hajj.","A. 13
B. 11
C. 9",D. 6
Total number of surah in quran are _______?,"A. 111
B. 110

D. 116",C. 114
Which False Prophet Was Called The Liar’ By The Holy Prophet ?,"B. Sajjah
C. Anwad Ansi
D. None Of Them",A. Musailama al Kazzab
First convert to Islam was a __________?,"B. Boy
C. Slave
D. Companion",A. Lady
Qabeel & Habeel were the sons of which prophet?,"A. Hazrat Nooh (AH)
B. Hazrat Daud (AH)
C. Hazrat Yaqoob (AH)",D. Hazrat Adam (AH)
Age of Hazrat Adam (A.S) at Sheesh’s (A.S) birth was _____________years?,"A. 100

C. 160
D. 190",B. 130
Surah Baqarah contains ________verses?,"A. 284

C. 288
D. 290",B. 286
Which prophet of Allah is called Abu Al-Bashar?,"A. Hazrat Nooh (AH)
B. Hazrat Ibrahim (AH)

D. Hazrat Ayub (AH)",C. Hazrat Adam (AH)
Ayat ul Kursi (??? ???????) is in which Surah of the Holy Quran?,"A. Surah Al-ma’ida
B. Surah An-Nisa

D. Surah Al- A’raf",C. Surah Al-Baqarah
Which surah of the Holy Quran ends with two prophets name?,"A. Surah Yusuf
B. Surah Ibrahim
C. Surah Mujadila",D. Surah Al-A’la
Which surah of the Holy Quran starts with two fruits name?,"A. Surah Imran
B. Surah An-Nisa

D. Surah Hud",C. Surah At-Teen
The Shortest Surah Al-Kawthar (??????) has ______ verses?,"A. 2

C. 4
D. 5",B. 3
_______ Surahs of the Holy Quran start with the word “Qul” (???).,"A. 4

C. 6
D. 7",B. 5
How many surahs of the Holy Quran start with the word “Tabaraka”  (?????????)?,"A. 1

C. 3
D. 4",B. 2
How many prayers have no Azan (????)?,"A. 1

C. 3
D. None",B. 2
What is the other name of Surah Fatiha?,"A. Umm al-Quran
B. Umm al-Kitab

D. None of these",C. Both A & B
"which one is called masha ,ar-ul-haram______________?","A. Mina valley
B. Arafat

D. Madina valley",C. Muzdalifa valley
surah namal means a_____________?,"A.  goat
B. Camel

D. Dog",C. Ant
who is the last ruler of Ummayed dynasty?,"A. Hashim
B. Haroon
C. Mustanser Billa",D. Marwan
Who are not entitled to get Zakat?,"B. Uncle, Sister, and Hisband
C. Brother, Nephew and children
D. Parents, brother and wife","A. Parents, Husband, wife and children"
How many times word zakat is uesd in Makki surahs?,"B. 21
C. 19
D. 23",A. 22
Hazrat Nooh (AH) name mentioned in the Holy Quran _____ times.,"A.  41
B. 42

D. 44",C. 43
How many doors are there in Masjid-e-Haram?,"A. 19
B. 21
C. 23",D.
Hazrat Ibrahim (AH) had __________ sons.,"A.  1
B.  
C.  3
D.  4",2
_____________________ were the sons of Hazrat Ibrahim (AH).,"A.  Hazrat Ismail & Hazrat Haroon (AH)
B.  Hazrat Haroon & Hazrat Ishaq (AH)
C.  
D. None",Hazrat Ismail & Hazrat Ishaq (AH)
The eldest daughter of our Holy prophet (SAW) was ______________.,"A. Hazrat Ruqayah (RA)

C. Hazrat Umme Kulsom (RA)
D. Hazrat Fatima (RA)",B. Hazrat Zainab (RA)
First Azan was called out in_______ A.H.,"A. 3 A.H.
B. 2 A.H.

D. 4 A.H.",C. 1 A.H.
Who killed Muslema Kazab (Musailamah al Kazzab)?,"A. Hazrat Ali (R.A)
B. Hazrat Khalid Bin Waleed (R.A)

D. None of these",C. Wahshi ibn Harb
For how many months Hazart Hasan (R.A) remained khalifa?,"A. 12
B. 13

D. 15",C. 14
Our Holy Prophet Muhammad (SAW) had ___________ brothers & sisters.,"A. 1 brother & 1 sister
B. 1 brother & 2 sisters
C. 2 brothers & 1 sister",D. None
__________ city is called “home of hadith”.,"A. Makkah

C. Baghdad
D. Basra",B. Madina
The first Kalima i.e  (Kalima-e-Tayyab) consists of how many dots _____?,"B. 1
C. 2
D. 3",A. 0
No of Kufars (Non Muslims Forces) in Battle of Badr were _________.,"B. 1100
C. 1200
D.1300",A. 1000
How many Muslims Martyred in Battle of Badr ?,"A. 7

C. 21
D. 28",B. 14
_______ Kufars killed in Battle of Badr.,"A. 50

C. 120
D. 200",B. 70
Which Angel will blow the trumpet (Sur) at the day of Judgment?,"A. Hazrat Mika’il

C. Hazrat Jabra’il
D. None",B. Hazrat Israfil
How many times the trumpet will be blown by Hazrat Israfil?,"A. One

C. Three
D. Four",B. Two
There are _________ farz in wuzoo (???).,"A. 3

C. 5
D. 6",B. 4
There are _________ farz in Ghusal (???).,"B. 4
C. 5
D. 6",A. 3
_________ is the best drink mentioned in Holy Qur’an.,"A. Honey

C. Water
D. Juice",B. Milk
_________ is the best eatable thing mentioned in the Holy Qur’an.,"A. Dabino

C. Water melon
D. Milk",B. Honey
The most disliked thing by Allah Ta’ala is ____________.,"A. Murder
B. Backbiting
C. Marriage
D. Listening songs",E. Divorce
________ Sura of the Holy Qur’an is called the “mother of Qur’an”.,"A. Baqara
?
C. Iklass
D. Yaseen",B. Fatiha
The biggest animal mentioned in the Holy Qur’an is ____________.,"A. Fish
B. Whale
?
D. Anaconda",C. Elephant
The smallest animal mentioned in Holy Qur’an is _____________.,"A. Ant

C. Spider
D. Fly",B. Mosquito?
How many Surahs name is only one letter?,"A. Two

C. Four
D. Five",B. Three?
Jannat al-Baqi is located in ________.,"A. Makkah

C. Baghdad
D. Palestine",B. Madina
"In Surah ________, every verse ends with letter ‘Ra’.","A. Buruj
B. Dariq

D. Shams",C. Kausar
"In Surah __________, every verse ends with letter ‘Dal’.","A. Iqra

C. Falaq
D. Balad",B. Ikhlas
"27 attributes of Allah, mentioned in __________ Surah.","A. Yaseen
B. Ma’ida
C. Rahman",D. Hadeed
How many Surahs of the Holy Quran start with the word ‘Qad’ ?,"A. 1

C. 3
D. 4",B. 2
The story of the worship of cow of Bani Israeel mentioned in Surah ____________.,"A. Surah Baqara

C. Surah Qasas
D. Surah Kahfi",B. Surah Taha
_________ is the most disliked place by Allah Ta’ala.,"A. Home
B. Shop

D. Mosque",C. Bazar
Which is the most liked place by Allah Ta’ala?,"A. Home
B. Shop
C. Bazar",D. Mosque
The first daughter of our Holy prophet (SAW) was ______________.,"A. Hazrat Ruqayah (RA)
B. Hazrat Fatima (RA)
C. Hazrat Umme Kulsom (RA)",D. Hazrat Zainab (RA)
The second daughter of our Holy prophet (SAW) was ______________.,"A. Hazrat Zainab (RA)
B. Hazrat Fatima (RA)
C. Hazrat Umme Kulsom (RA)",D. Hazrat Ruqayah (RA)
The third daughter of our Holy prophet (SAW) was ______________.,"A. Hazrat Zainab (RA)
B. Hazrat Fatima (RA)

D. Hazrat Ruqayah (RA)",C. Hazrat Umme Kulsom (RA)
The fourth daughter of our Holy prophet (SAW) was ______________.,"A. Hazrat Zainab (RA)

C. Hazrat Ruqayah (RA)
D. Hazrat Umme Kulsom (RA)",B. Hazrat Fatima (RA)
Islamic calendar is also called _____________.,"A. Muslim calendar
B. Hijri calendar
C. Lunar calendar",D. Above all
Makkah was also called___________?,"A. Ummul Qura
B. Baladul Ameen
C. Bakkah",D. All of these
Which is first month of Islamic Calendar?,"B. Rajab
C. Jamadi-ul-Awwal
D. Safar",A. Moharram
Which is second month of Islamic Calendar?,"B. Rajab
C. Rabi-ul-Awwal
D. Rabi-us-Sani",A. Safar
Which is third month of Islamic Calendar?,"A. Safar
B. Rajab

D. Jamadi-ul-Awwal",C. Rabi-ul-Awwal
Which is fourth month of Islamic Calendar?,"B. Rajab
C. Rabi-ul-Awwal
D. Jamadi-us-Sani",A. Rabi-us-Sani
Which is fifth month of Islamic Calendar?,"A. Moharram
B. Rajab

D. Safar",C. Jamadi-ul-Awwal
Which is sixth month of Islamic Calendar?,"A. Rabi-us-Sani
B. Rajab
C. Rabi-ul-Awwal",D. Jamadi-us-Sani
Which is seven month of Islamic Calendar?,"A. Jamadi-ul-Awwal

C. Rabi-ul-Awwal
D. Safar",B. Rajab
Which is eighth month of Islamic Calendar?,"B. Ramzan
C. Rabi-ul-Awwal
D.Jamadi-us-Sani",A. Shaban
Which is ninth month of Islamic Calendar?,"A. Shawwal

C. Rabi-ul-Awwal
D. Safar",B. Ramzan
Which is 10th month of Islamic Calendar?,"A. Ramzan
B. Ziqaad
C. Zilhaj",D. Shawwal
Which is 11th month of Islamic Calendar?,"B. Safar
C. Rabi-uI-Awwal
D. Shawwal",A. Ziqa’ad
Which is 12th month of Islamic Calendar?,"A. Rabi-us-Sani
B. Rajab

D. Jamadi-us-Sani",C. Zilhaj
How many Surahs of the Holy Quran start with word ‘Inna‘ ?,"A. Three

C. Five
D. Six",B. Four
Which is the best month mentioned in Holy Qur’an?,"A. Rajab
B. Sha’ab?n

D. Hajj",C. Ramadan?
Which is the best night mentioned in Holy Qur’an?,"A. Shab-e-Bara’at
B. Shab-e-Miraj

D. None of these",C. Shab-e-Qadar
In how many years Makhi Surahs were revealed?,"B. 14
C. 15
D. 16",A. 13
In how many years Madani Surahs were revealed?,"A. 8
B. 9

D. 11",C. 10
"In which Surah of the Holy Quran, the regulations for prisoners of war mentioned?","A. Baqara
B. Al- Imran

D. Insan",C. Nisa
which words of the Holy Quran are not explained by a common person?,"B. Qamari
C. Shamsi
D. All of them",A. Muqte’aat
The literal meaning of Soam is ______.,"A. To Leave Something
B. To Avoid Something

D. None of these",C. Both (a) & (b)
The Wahi was sent in the month of ______.,"B. Shawal
C. Safar
D. None of These",A. Ramzan
The pre-requisite of fasting is______.,"A. Self-discipline

C. Self-motivation
D. Self-determination",B. Self-control
Fasting was made obligatory in ______.,"A. 7th Shaban, 2 A.H
B. 8th Shaban, 2 A.H
C. 9th Shaban, 2 A.H","D. 10th Shaban,2 A.H"
______ is called Shield against sins.,"A. Salat
B. Zakat

D.Hajj",C. Fasting
______ is the atonement for breaking the fast.,"A. To Feed 50 people

C. To Feed 70 people
D. To Feed 80 people",B. To Feed 60 people
Fasting demands total abstinence from ______.,"A. Eating
B. Drinking
C. sex
D. Smoking",E. All of these
Fasting is between Rozadar and ______.,"A. Prophet
B. Angels
C. Jinns",D. Allah
The function of fasting is ______.,"B. To Provide Comfort to the Society
C. To Help the poor
D. To create peace in the Society",A. To Make the Sacrifice of Body and Soul
Soam is prohibited at the time of ______.,"A. Eid-ul-Fitr
B. Eid-ul-Azha

D. None of these",C. Both (a) & (b)
What is the meaning of E’tikaf?,"B. Taharat
C. Purification
D. None of these",A. Seclusion
E’tikaf is ______ in the month of Ramzan.,"A. Farz

C. wajib
D. None of these",B. Sunnah
______ is the month of purity.,"A. Zil-Hajj
B. Shawal

D. None of these",C. Ramazan
What does Taraweeh means?,"A. To Stand
B. To sit

D. None of these",C. To Rest
______ is the most important night in the month of Ramzan.,"B. Shab-e-Bara’at
C. Shab-e-Miraj
D. None of these",A. Shab-e-Qadar
The first Ashra of Ramazan is called ______.,"A. Ashra-e-Najat-e-Naar-e-Jahannum
B. Ashra-e-Maghfirat

D. All of these",C. Ashra-e-Rehmat
The second Ashra of Ramazan is called ?,"B. Ashra-e-Rehmat
C. Ashra-e-Najat-e-Naar-e-Jahannum
D. All of these",A. Ashra-e-Maghfirat
The third Ashra of Ramazan is called ?,"B. Ashra-e-Rehmat
C. Ashra-e-Maghfirat
D. None of these",A. Ashra-e-Najat-e-Naar-e-Jahannum
Which Ayat of Surah Al-Baqarah describes the obligation of soam?,"A. 80
B. 81
C. 82",D. 183
"When the month of Ramazan comes, the doors of the Heaven are opened and the doors of hell are closed.”It is______.","B. Quranic Ayat
C. Both (a) & (b)
D. None of these",A. Hadith
How many types of fast a Muslim keeps?,"A. 1
B. 2

D. 4",C. 3
______ days are prohibited for fasting throughout the Year.,"A.1
B.3
C.4",D.5
Which night is better than thousand nights?,"A. Lailat-ul-Bara’at

C. Lailat-ul-Miraj
D. None of these",B. Lailat-ul-Qadar
How many fasts Hazrat Isa (AS) Kept in desert and advised his followers to follow it?,"A. 10
B. 20
C. 30",D. 40
Who was the first Caliph?,"A. Hazrat Umar(R.A.)
B. Hazrat Ali(R.A.)
C. Hazrat Usman(R.A.)",D. Hazrat Abu Bakar(R.A.)
