question,wrong_choices,correct_answer
"Rain drops fall from great height Which among the following statements is true regarding it?","they fall with same ultimate velocity, their velocity increases and they fall with different velocity on the earth, their velocity increases and they fall with same velocity on the earth","they fall with that ultimate velocity, which are different for different droplets"
"Why the needle of iron swims on water surface when it is kept gently ?","It will remain under the water, when it will displace more water than its weight, the density of needle is less than that of water, due to its shape","due to surface tension"
"Which of the following are not deflected by electric and magnetic fields ?","Alpha rays, Beta rays, None of these","Gamma rays"
"The value of acceleration due to gravity is minimum on which of these planets?","Mars, Jupiter, Neptune","Mercury"
"The value of R ( Universal Gas Constant ) = ___________?","6.5 J/mole K, 1.314 J/mole K, 10.314 J/mole K","8.314 J/mole K"
"Mirage is an example of ___________?","reflection of light, refraction of light, Scattering of light","Refraction and total internal reflection of light"
"A Circle has a number of tangents equal to _________?","0, 1, 2","Infinite"
"What is unit of conductivity?","Ohm, Watt, None of these","mho"
"In fission process_______.","massive nucleus join together, both A & B, None of these","massive nucleus splits to form smaller fragments"
"What is the acceleration of free fall on the moon of that on the Earth ?","1/4th, 1/8th, None of these","1/6th"
"CGS unit of Force is_________?","Newton, Erg, Joule","Dyne"
"The Capacity of doing work is called_________?","Work, Power, Momentum","Energy"
"What is the force of attraction between any two bodies by virtue of their masses is called?","Electromagnetic Force, Centripetal Force, Nuclear Force","Gravitational Force"
"By how many times are the Electrostatic forces stronger than the Gravitational Forces for a fixed distance?","None of these","10"
"If we look at the floating piece of iceberg on the sea, approximately what fraction of it is visible above the seawater level?","1/6th, 1/10th, None of these","1/8th"
"Ohm is a unit of measuring _________?","Voltage, Current, None of these","Resistance"
"An artificial satellite revolves round the Earth in circular orbit, which quantity remains constant?","Angular Displacement, Linear Velocity, None of the above","Angular Momentum"
"If a lift is going up with acceleration, the apparent weight of a body is:","More or less the true weight, Less than the true weight, Equal to the true weight","More than the true weight"
"With the increase of pressure, the boiling point of any substance:","Decreases, Remains same, Becomes Zero","Increases"
"Which one of the following has the highest value of specific heat?","Alcohol, Methane, Kerosene","Water"
"If electrical conductivity increases with the increase of temperature of a substance, then it is a:","Conductor, Insulator, None of the above","Semiconductor"
"Young’s modulus is the property of __________?","Gas only, Liquid only, All of the above","Solid only"
"Which of the following is used to control rods in nuclear fission?","Graphite, Heavy Water, All of these","Cadmium"
"Tick the correct statement_________________?","Moderators bring the neutrons to rest, Moderators absorb the neutrons, Moderators reflect the neutrons","Moderators slow down the neutrons"
"Atom is the smallest particall which is_________?","Divisible, Both, Non of these","Indivisible"
"Potential energy means?","Due to motion of object, Due to gravity, None of these","Due to position of object"
"A ball is thrown towards the earth and bounce back. During this process:","Direction of velocity and acceleration changes, Direction of Displacement and acceleration changes, Direction of Displacement, Velocity and acceleration changes","Direction of Displacement and Velocity changes"
"An object travels at constant speed around a circle of radius 1.0 m in 2.0 seconds. What is the magnitude of its acceleration?","0, 2 π, 4 π","π"
"A football is kicked at 45 degrees with horizontal with K.E of E. Its K.E. at highest point is","Zero, E, E/(2)","E/2"
"The internal energy of the system increases__________?","in adiabatic expansion, in isothermal expansion, in isothermal compression","in adiabatic compression"
"What is the ratio of the velocity of sound at 4 atmosphere to that at 1 atmosphere?","4 : 1, 2 : 1, 1 : 2","1 : 1"
"The first overtone of a stretched string of given length is 320 Hz. The first harmonic is_________?","320 Hz, 640 Hz, 480 Hz","160 Hz"
"Two identical metal balls with charges + 2Q and – Q are separated by some distance, and exert a force F on each other. They are joined by a conducting wire, which is then removeThe force between them will now be_________?","F, F/2, F/4","F/8"
"A cube of side 5 cm has a charge of 6 The surface density of charge is_________?","100 C m, 200 C m, 300 C m","400 C m"
"In bringing an electron towards the second electron, the electrostatic potential energy of the system","Decreases, remains the same, becomes zero","increases"
"How many electrons per second constitute a current of one micro ampere?","one electron, 10 electrons, 10 electrons","6.25 × 10 electrons"
"A piece of copper and a piece of germanium are cooled from the room temperature down to 77 K.","The resistance of each of them increases., The resistance of each of them decreases., The resistance of copper increases and that of germanium decreases","The resistance of copper decreases and that of germanium increases."
"Two parallel beams of positrons moving in the same direction will________?","not interact with each other, attract each other, be deflected normal to the plane containing the two beams.","repel each other"
"An emf of 5 volt is produced by a self inductance, when the current changes at a steady rate from 3 to 2 ampere in 1 milliseconThe value of self inductance is_______?","zero, 5 H, 5000 H","5 mH"
"The core of a transformer is laminated to reduce energy losses due to__________?","Hysteresis, Resistance in winding, None of these","Eddy currents"
"Which of the following is true ?","Lyman series is a continuous spectrum., Balmer series is a line spectrum in the ultraviolet., the spectral series formula can be derived from the Rutherford model of the hydrogen atom.","Paschen series is a line spectrum in the infra re"
"Electric current in a solid metal conductor is caused by the movement of what ?","Protons, Metal atoms, Metal ions","Electrons"
"A force On particle is conservative if:________?","It’s works equals the change in the kinetic energy of the particle., It’s obeys Newton’s second law, It’s obeys Newton’s third law .","It work depends on the end points of every motion, not on the path between"
"A Stone thrown from the top of a tall building follows a path that is:","Circular, Made of two straight line segments, Hyperbolic","Parabolic"
"The speed of light will be minimum while passing through ?","Vaccum, Water, Air","Glass"
"Farad is the unit of___________?","inductance, voltage, None of these","capacitance"
"The efficiency of the Carnot engine working between 150°C and 50°C is__________?","50%, 100%, 29.4%","23.6%"
"Which instrument is suitable to measure the internal diameter of a test tube?","Screw Gauge, Bore Gauge, None","Vernier Callipers"
"A force applied on a body through the string is called_________?","Weight, Momentum, Torque","Tension"
"Gravitation force of moon is_________?","7.2 m/s², 9.8 m/s², 3.75 m/s²","1.62 m/s²"
"Gravitation force of sun is__________?","362 m/s², 300 m/s², None of these","274 m/s²"
"Gravitation force of earth is___________?","7.21 m/s², 1.62 m/s², None of these","9.80 m/s²"
"The centripetal acceleration produced in a rotating body is commonly due to change on_________of body?","magnitude, both, None of these","direction"
"The mass-energy relation is the outcome of____________?","Quantum theory, General theory of relativity, None of these","Special theory of relativity"
"Mach number is used in connection with the speed of___________?","Ship, Light, Sound","aircraft"
"Rutherford in his atomic model could not explain behavior of ___________ ?","Protons, Neutrons, Neutrino","Electrons"
"Joule Thomson effect is based upon __________ ?","Sudden compression of gases, Cooling of gases, Heating of gases","Sudden expansion of gases"
"Medium which sends signal from source to destination is known as ________ ?","Transmitter, Receiver, Hardware","Transmission channel"
"Newton’s Third Law of Motion?","., attraction or repulsion between two charges, volume of a given mass of gas increases or decreases","every action there is an equal and opposite reaction"
"Oil rises up to wick in a lamp because_____________?","Oil is very light, Oil is volatile, Diffusion of oil through the wick","Capillary action phenomenon"
"Which one of the following is not a radioactive element ?","Thorium, Radium, Uranium","Cadmium"
"The most suitable unit for expressing nuclear radius is_______?","Angstrom, Micro, Nano meter","Fermi"
"The turning effect of force is called_________?","Moment, Momentum, None of these","Torque"
"Which of the following waves have smallest velocity in vacuum?","Ultraviolet, Infra-Red, Micro","Sound"
"Who were the pioneers of Physics?","Egyptians, Latin, Persians","Greek"
"Which one of the following is not vector quantity _______?","Acceleration, Displacement, Force","Speed"
"The least count of Vernier caliper is ________ containing 10 Vernier scale divisions?","0.001mm, 0.01mm, 0.0001mm","0.1mm"
"Which of the following is not derived quantity________?","Density, Volume, Area","Time"
"The symbol of the prefix used for Mega is_______?","G, h, E","M"
"Name the SI unit having the symbol cd?","Cm, Ampere, Second","Candela"
"Which of the following branch of Physics deals with the internal structure of earth?","Biophysics, Plasma physics, Atomic physics","Geophysics"
"The average acceleration caused by gravity per second is____________?","22 feet, 52 feet, 42 feet","32 feet"
"A stone is thrown upward from the top of a 59.4m high cliff with an upward velocity component of 19.6m/s how long is the stone in the air?","4.00 s, 5.00 s, 7.00 s","6.00 s"
"The value of γ for diatomic gas is_______________?","1.67, γ = 1.3, None","1.4"
"In which process all the heat supplied is converted into work done ?","isochoric, isobaric, isentropic","isothermal"
"The performance of a refrigerator is described by________________?","efficiency, both A and B, not described","coefficient of performance"
"Which quantity is a state function_______________?","heat supply, pressure, volume","internal energy"
"Petrol engine is a________________?","I engine, SI engine, IC engine","all the above"
"The purpose of flywheel in the engines is________________?","to add more weight to engine to work it stable, to start engine, both A and B","to smooth out the energy variation"
"For the successful operation of Heat engine which condition should be met ?","cyclic process, operated at certain temperature difference, none of these","both A and B"
"The work done in the isochoric process is________________?","constant, variable, depends on situation","zero"
"Adiabatic process is also called______________?","Heat exchange process, Heating process, All of the above","Isentropic process"
"In which process entropy remains constant________________?","isobaric, isochoric, isothermal","adiabatic"
"Average translational kinetic energy per molecule of an ideal gas is given by_____________?","3NaT/2R, 2NaT/3, 3Na/2RT","3RT/2Na"
"Boltzman constant K in terms of universal gas constant R and Avagadros number Na is give as_______________?","K = RNa, K = Na/Ra, K = nRNa","K = R/Na"
"Which of the following properties of molecules of a gas is same for all gases at particular temperature ?","momentum, mass, velocity","kinetic energy"
"Triple point of water is_____________________?","273°C at 6.11 Kpa, 273K at 61.6 Kpa, 273.16K at 750 Kpa","273.16°C at 0.611 Kpa"
"For a gas obeying Boyles law if the pressure is doubled the volume becomes________________?","double, four times, one fourth","one half"
"The area enclosed by the curve ABCDA for a Carnot heat engine represents the work done by Carnot engine_______________?","at any instant, averagely, during its operation","during one cycle"
"At what temperature is the Fahrenheit scale reading equal to twice that of the Celsius scale?","460°C, 280°C, 360°C","160°C"
"Standard condition STP refer to a gas at ___________________?","76cm 0°C, 760mm 273K, 1atm 273K","all of the above"
"Which one is true for internal energy ?","It is sum of all forms of energies associated with molecules of a system, It is a state function of a system, It is proportional to transnational K.E of the molecules","All are correct"
"According to Pascals law the pressure of gas in a vessel is_____________?","Different in different direction, Same only along opposite directions, Same only along normal directions","Same in all direction"
"The size of one degree of Celsius is equal to_________________?","One degree of Fahrenheit scale, 3.2 degrees of Fahrenheit scale, 2.12 degrees of Fahrenheit scale","1.8 degrees of Fahrenheit scale"
"The Fahrenheit and centigrade scales agree to________________?","15.5, 542, 273","40"
"Normal human body temperature 98.6°F corresponds to______________?","42°C, 55°C, 410°C","37°C"
"Numerical value of Boltzmanns constant is______________?","1.38×10-31JK-1, 3.18×10-31JK-1, 3.18×10-23JK-1","1.38×10-23JK-1"
"We prefer mercury as a thermometric substance because______________?","Over a wide range of temperature its expansion is uniform, It does not stick to thermometer glass, It opaque to light","All of above"
"In a clinical thermometer the mercury in the capillary tube does not contract once removed from the patient because_______________?","Mercury takes a long time to contract, The amount of mercury use is very small, The capillary tube is very narrow","The capillary tube has a small constriction near the bulb"
"Which one is not an example of adiabatic process ?","rapid escape of air from a burst tyre, rapid expansion of air, cloud formation in the atmosphere","conversion of water into ice in refrigerator"
"If the volume of a gas is held constant and we increase its temperature then_______________?","its pressure is constant, its pressure falls, any of above","its pressure rises"
"Boyles law helds for ideal gases in________________?","isochoric processes, isobaric processes, adiabatic processes","isothermal processes"
"Gas molecules of different masses in the same container have the same average transnational kinetic energy which is directly proportional to their_____________?","volume, pressure, time","absolute temperature"
"If the pressure of a given gas is held constant its density is inversely proportional to its absolute temperature. We can refer it as another statement of______________?","Boyles law, Ideal gas law, Avagadros law","Charles law"
"The pressure exerted by a column of mercury 76cm high and at 0°C is called_______________?","1 Newton per square meter, 1 Pascal, data is insufficient","1 atmosphere"
"Metabolism is the name of a process in which energy transformation takes place within______________?","Heat engine, Atmosphere, Laboratory","Human body"
"We can produce heat by________________?","Frictional process, Chemical processes, Electrical processes","All of the above"
"At constant temperature the graph between V and 1/P is_____________?","Hyperbola, Parabola, A curve of any shape","A straight lime"
"The scales of temperature are based on two fixed points which are_________________?","The temperatures of water at 0? 100?C, The temperatures of ice cold and boiling water, The temperatures of frozen and boiling mercury","The temperature of melting ice and boiling water at atmospheric pressure"
"Temperature is a property which determines_________________?","How much heat a body contains, Whether a body will feel hot or cold to touch, How much total absolute energy a body has","In which direction heat will flow between two systems"
"Dimension of pressure is__________________?","MLT, ML-1T-1, ML-2T-2","ML-1T-2"
"The specially designed semi-conductor diodes used as fast counters in electronic circuits are_______________?","The light emitting diodes, Photo voltaic cell, Solar cells.","Photo diodes"
"The rectangular voltage is an example of____________________?","An analogue waveform, Continuous wave form, Electronic waveform","A digital waveform"
"Acceptor and donor impurities donate______________?","n-carriers only, p-carriers only, n-carriers and p-carriers respectively","p-carriers and n-carriers respectively"
"The electronic circuits which implement the various logic operations are called_____________?","Boolean algebra, Amplifier gain, Logic functions","Logic gates"
"In forward bias the width of potential barrier_____________?","Increases, Remains same, No effect","Decreases"
"In a half-wave rectifier the r.m.s. value of the component of the wave is________________?","Equal to, value, Less than","More than value"
"To obtain a p-type semi-conductor Si Crystal must be doped with foreign atoms whose valency is_____________?","2, 4, 5","3"
"The working of transistor as amplifier is similar to________________?","Step up transformer, Step down transformer, Three diodes in common","Triode vacuum tube"
"An OP-AMP comparator is a circuit that compares the signal voltage on one of its inputs with a ______________?","Non-inverting voltage at output, Virtual input, Output","Reference voltage on the other"
"Non-inverting amplifier circuits have____________?","A very low input impedance, A low output impedance, None of the above","A very high input impedance"
"The operation of a transistor requires______________?","That the emitter be heated, That the base be heated, That the collector be heated","None of the above"
"To obtain an n-type semiconductor germanium crystal it must be doped with foreign atoms whose valency is_____________?","2, 3, 4","5"
"The operational amplifier is______________?","A high-power amplifier, A high resistance amplifier, A low resistance amplifier","A high gain amplifier"
"The alternating voltage is an example of_______________?","A digital waveform, Discrete waveform, None at all","An analogue waveform"
"The specially designed semi-conductor diodes used as fast counters in electronic circuits are______________?","The light emitting diodes, Photo voltaic cell, Solar cells.","Photo diodes"
"The device used for conversion of to is called______________?","Converter, A rectifier, Oscillator","Inverter"
"In half-wave rectification the output voltages is obtained across the load for_______________?","The negative half cycle of, The positive and negative half cycles, Either positive or negative half of","The positive half cycle of"
"In full wave rectification the output voltage across the load is obtained for_____________?","The positive half cycle of input, The negative half cycle of input, All of the above.","The complete cycle of input"
"In the transistor schematic symbol, the arrow______________?","is located on the base, is locate on the collector, points form north to south","is located on the emitter"
"Which one of the following is not a donor impurity ?","antimony, phosphorus, arsenic","aluminium"
"Forward current through a semi conductor diode circuit is due to____________?","minority carriers, holes, electron","majority carriers"
"The value of resistivity for insulator is of the order of____________?","105 ohm metre, 106 ohm metre, 107 ohm metre","108 ohm metre"
"Which one of following band is completely filled in case of conductors ?","Fermi band, Valence band, Forbidden band","Conduction band"
"Depletion region of a junction is formed_____________?","under forward bias, under reverse bias, when temperature varies","during the manufacturing process"
"The simplest type of rectification known as half wave rectification is obtained by____________________?","using a transistor, suppressing the harmonics in, C voltage","suppressing half wave of C supply by using diode"
"In p-n-p transistor the collector current is________________?","equal to emitter current, greater than emitter current, any of above","slightly less than emitter current"
"Semi-conductors with donor atoms and free electrons belong to the type________________?","p, mix, any of above","n"
"The especially designed semiconductor diodes used as indicator lamps in electronic circuits are___________?","The switch, The photo diodes, Solar cells.","The light emitting diode"
"The device or circuit used for conversion of into is called_______________?","An amplifier., Filtering circuit, Converter.","A rectifier"
"The semiconductor diode can be used as a rectifier because _______________?","It has low resistance to the current flow when forward biase, It has high resistance to the current flow when reverse biased, Its conductivity increases with rise of temperature.","It has low resistance to the current flow when forward biased & high resistance when reverse biase"
"In the transistor schematic symbol, the arrow_______________?","is located on the base, is locate on the collector, points form north to south","is located on the emitter"
"Thermions are________________?","protons, positrons, photons","electrons"
"Which one of the following has the greatest energy gap ?","conductor, semi conductor, any of above","insulator"
"The velocity of an oscillating charge as it moves to and fro along a wire is always_____________?","constant, zero, infinite","changing"
"Identify the correct statement about minority carriers_____________?","holes in n-type and p-type, free electrons in n-type and holes in p-type, free electrons in n-type and p-type","holes in n-type and free electrons in p-type"
"In n-p-n transistor, p works as______________?","collector, emitter, any of above","base"
"p-n junction when reversed biased acts as a_______________?","capacitor, inductor, on switch","off switch"
"Semi-conductor germanium and silicon are_________________?","pentavalent, trivalent, divalent","tetravalent"
"Electrons present in p-type material due to thermal pair generation are_____________?","majority carriers, dual carriers, blockers","minority carriers"
"The velocity of laser light is___________________?","Less than ordinary light, More than ordinary light, Different for different colours or frequency","Equal to ordinary light"
"Reflecting mirrors in laser is used to______________?","Lasing more, For producing more energetic lasers, All","Further stimulation"
"In He-Ne laser the lasing action is produced by_______________?","He-Ne both, Electrons of He, Electrons Ne","Ne only"
"The metastable state for an atom in laser light is_____________?","10-4 sec, 10-5 sec, 10-8 sec","10-3 sec"
"In laser production the state in which more atoms are in the upper state than in the lower one is called_____________?","Metal stable state, Normal state, All the above","Inverted population"
"In normal state of energy the incident high energy photons will be______________?","Stimulated, Cause X-ray emission, Cause laser production","Absorbed"
"Electron cannot exist in the nucleus it is confirmed by observing that______________?","It does emit radiation, Its size as compare to proton and neutron is very small, No antiparticle of electron is present","The velocity of electron must be very high according to uncertainty principle"
"Wave-like characteristic of electron is demonstrated by______________?","Line spectrum of atoms, Production of x-rays., Photoelectric effect","Diffraction by crystalline solids"
"UV radiation can be produced by______________?","Heating the filament, Ionization of atoms, All the above","Electron excitation in the gas"
"X-rays are diffracted by a crystal but not by a diffraction grating because_____________?","The ions in a crystal are well arranged, The lines in a diffraction grating cannot reflect X-rays., The penetration power of X-rays is high in a diffraction grating","The wavelengths of X-rays are of the same order of magnitude as the separation between atoms in a crystal"
