question,wrong_choices,correct_answer
"If 25 men can eat 150 kg of wheat in 30 days then 45 men can eat 450 kg of wheat in how many days?","13 days, 15 days, 18 days","50 days"
"In a hostel mess there is enough food provisions for 1200 boarders for a month. After 15 days half of them leave due to vacations. How long will the food provisions now last?","20 days, 35 days, 50 days","30 days"
"Certain quantity of food is sufficient for certain number of men for 13 days. After 1 day 2/5 of them desert how long will the food now last?","25 days, 18 days, 16 days","20 days"
"A group of people has provisions for 29 days for 24 men. If after 4 days 1/6 of them desert then food will last for?","25 days, 28 days, 32 days","30 days"
"In a fort the food was sufficient for two months. After half a month","1.5 months, 40 days, 2 months","50 days"
"15 cattle can graze a field in 20 days 20 cattle can graze 3 such field in how many days?","30, 60, 50","45"
"5kg food is consumed by 50 chickens in 2 days. 60 chickens will consume how much food in 6 days.","2 kg, 6 kg, 15 kg","18 kg"
"At any army camp the provisions were stored for 40 days but ten days after the no. of soldiers become double. Now the food lasts for x days. What is x?","30, 40, 50","15"
"A family of 12 people had enough provision for 15 days. But 3 guests came for 2 days. How long the provisions will last for?","8, 15, 12","12.5"
"At an inn there are provisions sufficient for 20 days for 40 people. At the end of every 10 days 5 people leave off. How many days the provision will be sufficient for new?","20, 40, 30","none"
"A garrison has provision for 30 days for certain men. If 2/3 of them do not attend the mess then the food will last for?","50 days, 65 days, 55 days","90 days"
"A garrison has provisions for 40 days. At the end of 5 days half of the men left the garrison. How long the food will last for?","45 days, 35 days, 80 days","70 days"
"A camp has provision for 9 days for 500 men. At the end of 3 days 100 more men were admitteHow long will the food now last?","12 days, 9 days, 6 days","5 days"
"If 12 members family spend Rs. 850 in 10 days. Then a family of 8 people will spend Rs. 340 in how many days.","8, 7, 5","6"
"In a camp sufficient food was provided to 500 men to last for 10 days. But after 5 days 200 more men joineHow long the food will last for after joining the 2000 new men?","3, 8, 5","1"
"At a ship the food was enough for 50 people. But after 10 days half of the men died due to some viral disease and the food is sufficient for as long as before. How long the food was sufficient for then?","60, 70, 50","20"
"A garrison has sufficient food for 500 people to survive for 6 days. At the end of 2 days 100 men desert. How long the provisions are sufficient for now?","6, 4, 10","5"
"In a hospital there are enough injections sufficient for 15 days. Originally there were 80 patients but 40 more patients appeareHow many days these injections will be sufficient for now?","15, 16, 12","10"
"18 cattle graze a field in 12 days. 6 cattle can graze 3 of such fields in x days. What is x?","90, 72, 36","108"
"25 men can consume 250kg of wheat in 20 days. 20 men cang consume how much wheat in 25 days?","300, 200, 350","250"
"In a ship the provisions are sufficient for 800 men for 50 days. How long will these be sufficient for if there would have been 200 more men?","50, 30, 56","40"
"In a fort there is enough food sufficient for 1200 men for 10 days. How long the food would have last for if there would have been 1000 men.","15, 10, 20","12"
"A shopkeeper earns a profit of 10% after allowing a discount of 20% on the marked price. The cost price of the article whose marked price is Rs. 880, is =_______ ?","Rs. 704, Rs. 640, Rs. 680","Rs. 774"
"A shopkeeper marks his goods 20% above cost price, but allows 30% discount for cash payment. His net loss is ?","8%, 10%, 20%","16%"
"The marked price of a watch was Rs. 720. A man bought the same for Rs. 550.80, after getting two successive discounts, the first 10%. What was the second discount rate ?","12%, 14%, 18%","15%"
"A tradesman marks his goods 10% above his cost price. If he allows his customers 10% discount on the marked price. How much profit or loss does he make, if any ?","1% gain, 5% gain, No gain no loss","1% loss"
"If the true discount on s sum due 2 years hence at 14% per annum be Rs. 168, the sum due is:________?","Rs. 968, Rs. 1960, Rs. 2400","Rs. 768"
"The present worth of Rs. 1404 due in two equal half-yearly installments at 8% per annum simple interest is:","Rs. 1300, Rs. 1350, Rs. 1500","Rs. 1325"
"The simple interest and the true discount on a certain sum for a given time and at a given rate are Rs. 85 and Rs. 80 respectively. The sum is:_______?","Rs. 1800, Rs. 1450, Rs. 6800","Rs. 1360"
"The interest on Rs. 750 for 2 years is the same as the true discount on Rs. 960 due 2 years hence. If the rate of interest is the same in both cases, it is:","12%, 15%, 16%","14%"
"Rs. 20 is the true discount on Rs. 260 due after a certain time. What will be the true discount on the same sum due after half of the former time, the rate of interest being the same?","Rs. 10, Rs. 15.20, Rs. 13","Rs. 10.40"
"The true discount on Rs. 1760 due after a certain time at 12% per annum is Rs. 160. The time after which it is due is:","6 months, 8 months, 9 months","10 months"
"A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:","gains Rs. 55, loses Rs. 30, gains Rs. 30","gains Rs. 50"
"The true discount on a bill due 9 months hence at 16% per annum is Rs. 189. The amount of the bill is:","Rs. 1386, Rs. 1575, Rs. 2268","Rs. 1764"
"If Rs. 10 be allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double the time is:","Rs. 20, Rs. 21.81, Rs. 22","Rs. 18.33"
"A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?","Rs. 12,880 at credit, Both are equally good, Rs. 18.33","Rs. 12,000 in cash"
"A trader owes a merchant Rs. 10,028 due 1 year hence. The trader wants to settle the account after 3 months. If the rate of interest 12% per annum, how much cash should he pay?","Rs. 9025.20, Rs. 9600, Rs. 9560","Rs. 9200"
"The true discount on Rs. 2562 due 4 months hence is Rs. 122. The rate percent is:_________?","12%, 13%, 14%","15%"
"A man purchased a cow for Rs. 3000 and sold it the same day for Rs. 3600, allowing the buyer a credit of 2 years. If the rate of interest be 10% per annum, then the man has a gain of:","5%, 7.5%, 10%","0%"
"Rs. 800 amounts to Rs. 920 in 3 years at simple interest. If the interest rate is increased by 3%, it would amount to how much ?","Rs. 1112, Rs. 1056, Rs. 1182","Rs. 992"
"A sum was put a simple interest at a certain rate for 2 years. Had it been put at 4% higher rate, it would have fetched Rs. 60 more. The sum is:","Rs.700, Rs.940, Rs.820","Rs.750"
"A man invests a certain sum of money at 6% per annum simple interest and another sum at 7% per annum simple interest. His income from interest after 2 years was Rs. 354. One-forth of the first sum is equal to one-fifth of the second sum. The total sum invested was :","Rs.3100, Rs.2200, Rs.1800","Rs.2700"
"You deposit $600 into a 6 month certificate of deposit. After 6 months the balance is $618. Find the simple annual interest rate","5%, 7%, 8%","6%"
"How long will it take for a sum of money to grow from Rs.1250 to Rs.10,000, if it is invested at 12.5% p.a simple interest?","65 years, 45 years, 57 years","56 years"
"What is the rate of interest at which Rs.150 becomes Rs. 220 in 10 years.","11/3%, 12%, 14%","14/3%"
"A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is :________?","Rs. 700, Rs. 690, Rs. 650","Rs. 698"
"A sum was put at simple interest at a certain rate for 3 years. Had it been put at 2% higher rate, it would have fetched Rs 360 more. Find the sum.","Rs.4000, Rs.9000, Rs.5000","Rs.6000"
"A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:","5%, 8%, 15%","12%"
"A sum of Rs. 2500 amounts to Rs. 3875 in 4 years at the rate of simple interest. What is the rate of interest?","12.25%, 12%, 6%","13.75%"
"A sum of money becomes 7⁄5 of itself in 4 years at a certain rate of simple interest. The rate per annum is :","9%, 11%, 12%","10%"
"If there is a total of 104 weekly instalments and a third deposit, find the interest charged","337, 443, 334","237.55"
"What annual installment will discharge a debt of Rs 1092 due in 3 years at 12% simple interest?","Rs.545, Rs.560, Rs.550","Rs.325"
"If the simple interest on a certain sum of money after 3 1⁄8 years is 1⁄4 of the principal, what is the rate of interest per annum?","6%, 4%, 12%","8%"
"How much time will it take for an amount of Rs. 900 to yield Rs. 81 as interest at 4.5% per annum of simple interest?","3 years, 1 year, 4 years","2 years"
"A sum was put a simple interest at a certain rate for 2 years. Had it been put at 4% higher rate, it would have fetched Rs. 60 more. The sum is:________?","Rs.700, Rs.820, Rs.940","Rs.750"
"A car is purchased on hire-purchase. The cash price is $21 000 and the terms are a deposit of 10% of the price, then the balance to be paid off over 60 equal monthly installments. Interest is charged at 12% p.What is the monthly installment?","$503, $505, $506","$504"
"A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both the loans. What was the original rate of interest?","4.5%, 5%, 6%","3.46%"
"A lends Rs. 1500 to B and a certain sum to C at the same time at 8% per annum simple interest. If after 4 years, A altogether receives Rs. 1400 as interest from B and C, then the sum lent to C is________?","Rs.1885, Rs.2245, Rs.2615","Rs.2875"
"Mr. Tassawar Javed invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.and 11% p.respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?","Rs. 6500, Rs. 7200, Rs. 7500","Rs. 6400"
"The simple interest on Rs.500 at 6% per annum from May 3rd to July 15th in the same year is_________?","Rs.8, Rs.4, Rs.9","Rs.6"
"An amount of 5,000 is invested at a fixed rate of 8 per cent per annum. What amount will be the value of the investment in five years time, if the interest is compounded every six months?","3456, 4567, 7890","7401.22"
"A father left a will of Rs.35 lakhs between his two daughters aged 8.5 and 16 such that they may get equal amounts when each of them reach the age of 21 years. The original amount of Rs.35 lakhs has been instructed to be invested at 10% p.simple interest. How much did the elder daughter get at the time of the will?","17.5 lakhs, 15 lakhs, 20 lakhs","21 lakhs"
"What is the present worth of Rs. 132 due in 2 years at 5% simple interest per annum ?","Rs. 112, Rs. 118.80, Rs. 122","Rs. 120"
"Nabeela took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest ?","3.6, 18, Cannot be determined","6"
"A man took a loan from a bank at the rate of 12% p.simple interest. After 3 years he had to pay Rs. 5400 interest only for the perioThe principal amount borrowed by him was :","Rs. 2000, Rs. 10,000, Rs. 20,000","Rs. 15,000"
"A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest What is the rate of interest ?","3%, 4%, 5%","6%"
"A sum of money amounts to Rs 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is :","5%, 8%, 15%","12%"
"A sum of money trebles itself in 15 years, 6 months. In how many years would it double itself ?","6 years 3 months, 8 years 3 months, 9 years 6 months","7 years 9 months"
"What will be the ratio of simple interest earned by certain amount at the same rate of interest for 6 years and that for 9 years ?","1 : 3, 1 : 4, Data inadequate","2 : 3"
"An automobile financier claims to be lending money at simple interest, but he includes the interest every six months for calculating the principal. If he is charging an interest of 10%, the effective rate of interest becomes :_________?","10%, 10.50%, None of these","10.25%"
"The top of a 15 metre high tower makes an angle of elevation of 60° with the bottom of an electric pole and angle of elevation of 30° with the top of the pole. What is the height of the electric pole ?","5 metres, 8 metres, 12 metres","10 metres"
"The angle of elevation of the sun, when the length of the shadow of a tree is √3 times the height of the tree, is :________?","45°, 60°, 90°","30°"
"From a point P on a level ground, the angle of elevation of the top of a tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is :_________?","149 m, 156 m, 200 m","173 m"
"If the height of a pole is 2√3 metres and the length of its shadow is 2 metres, find the angle of elevation of the sun.","50°, 70°, 80°","60°"
"Two ships are sailing in the sea on the two sides of a lighthouse. The angles of elevation of the top of the lighthouse as observed from the two ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is :_________?","173 m, 200 m, 300 m","273 m"
"The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is :_________?","2.3 m, 4.6 m, 7.8 m","9.2 m"
"Find out the wrong number in the series : 1, 1, 2, 6, 24, 96, 720","6, 24, 720","96"
"Find the one which does not belong to that group ?","Pakistan : Rupee, America : Dollar, Quwait : Dinar E. Japan : Yen","Australia : Pound"
"A, B and C enter into a partnership. They invest Rs. 40,000, Rs. 80,000 and Rs. 1,20,000 respectively. At the end of the first year, B withdraws Rs. 40,000, while at the end of the second year, C withdraws Rs. 80,000. In what ratio will the profit be shared at the end of 3 years?","2 : 3 : 4, 3 : 2 : 4, 3: 2 : 1","3: 4 : 7"
"A began a business with Rs. 85,000. He was joined afterwards by B with Rs. 42,500. For how much period does B join, if the profits at the end of the year are divided in the ratio of 3 : 1?","4 months, 5 months, 6 months","8 months"
"Ameen started a business investing Rs. 70,000. Rahim joined him after six months with an amount of Rs. 1,05,000 and sameer joined them with Rs. 1.4 lakhs after another six months. The amount of profit earned should be distributed in what ratio among Ameen, Rahim and Sameer respectively, 3 years after Ameen started the business?","7:6:10, 42:45:56, Cannot be determined E. None of these","12:15:16"
"A and B started business in partnership investing Rs. 20,000 and Rs. 15,000 respectively. After six months, C joined them with Rs. 20,000. What will be B’s share in the total profit of Rs. 25,000 earned at the end of 2 years from the starting of the business?","Rs. 9000, Rs. 9500, Rs. 10,000 E. None of these","Rs. 7500"
"Sameena started a software business by investing Rs. 50,000. After six months, Nida joined her with a capital of Rs. 80,000. After 3 years, they earned a profit of Rs. 24,500. What was Saneena’s share in the profit?","Rs. 9423, Rs. 10,250, Rs. 12,500","E. None of these"
"Kamal started a business investing Rs. 9000. After five months, Sameer joined with a capital of Rs. 8000. If at the end of the year, they earn a profit of Rs. 6970, then what will be the share of Sameer in the profit?","Rs. 1883.78, Rs. 3690, Rs. 3864","Rs. 2380"
"A, B, C enter into a partnership investing Rs. 35,000, Rs. 45,000 and Rs. 55,000 respectively. The respective shares of A, B, C in annual profit of Rs. 40,500 are:","Rs. 11,500, Rs. 13,000, Rs. 16,000, Rs. 11,000, Rs. 14,000, Rs. 15,500, Rs. 11,500, Rs. 12,500, Rs. 16,500","Rs. 10,500, Rs. 13,500, Rs. 16,500"
"Anees and Raees started a business investing Rs. 22,500 and Rs. 35,000 respectively. Out of a total profit of Rs. 13,800, Raees’s share is:________?","Rs. 5400, Rs. 7200, Rs. 9600","Rs. 8400"
"P and Q started a business investing Rs. 85,000 and Rs. 15,000 respectively. In what ratio the profit earned after 2 years be divided between P and Q respectively?","3:4, 3:5, 15:23","E. None of these"
"X and Y started a business with capitals Rs. 20000 and Rs. 25000. After few months Z joined them with a capital of Rs. 30000. If the share of Z in the annual profit of Rs. 50000 is Rs. 14000, then after how many months from the beginning did Z join?","7, 6, 3","E. None of these"
"P and Q started a business with respective investments of Rs. 4 lakhs and Rs. 10 lakhs. As P runs the business, his salary is Rs. 5000 per month. If they earned a profit of Rs. 2 lakhs at the end of the year, then find the ratio of their earnings?","2 : 5, 5 : 2, 3 : 5 E. None of these","1 : 1"
"Four car rental agencies A, B, C and D rented a plot for parking their cars during the night. A parked 15 cars for 12 days, B parked 12 cars for 20 days, C parked 18 cars for 18 days and D parked 16 cars for 15 days. If A paid Rs. 1125 as rent for parking his cars, what is the total rent paid by all the four agencies?","Rs. 4500, Rs. 4800, Rs. 5250 E. None of these","Rs. 6150"
"A started a business with an investment of Rs. 70000 and after 6 months B joined him investing Rs. 120000. If the profit at the end of a year is Rs. 52000, then the share of B is?","Rs. 28000, Rs. 30000, Rs. 26000 E. None of these","Rs. 24000"
"A, B and C started a business with capitals of Rs. 8000, Rs. 10000 and Rs. 12000 respectively. At the end of the year, the profit share of B is Rs. 1500. The difference between the profit shares of A and C is?","Rs. 300, Rs. 400, Rs. 500 E. None of these","Rs. 600"
"A and B start a business, with A investing the total capital of Rs.50000, on the condition that B pays A interest @ 10% per annum on his half of the capital. A is a working partner and receives Rs.1500 per month from the total profit and any profit remaining is equally shared by both of them. At the end of the year, it was found that the income of A is twice that of Find the total profit for the year?","53000, 58000, 50000","59000"
"A and B invests Rs.8000 and Rs.9000 in a business. After 4 months, A withdraws half of his capital and 2 months later, B withdraws one-third of his capital. In what ratio should they share the profits at the end of the year?","20:23, 34:43, 37:45","32:45"
"A and B invests Rs.10000 each, A investing for 8 months and B investing for all the 12 months in the year. If the total profit at the end of the year is Rs.25000, find their shares?","Rs.8000, Rs.17000, Rs.9000, Rs.16000, Rs.18000, Rs.7000","Rs.10000, Rs.15000"
"A and B starts a business with Rs.8000 each, and after 4 months, B withdraws half of his capital . How should they share the profits at the end of the 18 months?","22:13, 23:12, 11:9","18:11"
"A and B start a business with Rs.6000 and Rs.8000 respectively. Hoe should they share their profits at the end of one year?","1:2, 2:5, 3:7","3:4"
"A, B and C invests Rs.2000, Rs.3000 and Rs.4000 in a business. After one year A removed his money; B and C continued the business for one more year. If the net profit after 2 years be Rs.3200, then A’s share in the profit is?","Rs.1000, Rs.600, Rs.800","Rs.400"
"Kashif and Nadeem jointly started a business. Kashif invested three times as Nadeem did and invested his money for double time as compared to Nadeem. Nadeem earned Rs. 4000. If the gain is proportional to the money invested and the time for which the money is invested then the total gain was?","Rs.16000, Rs.20000, Rs.24000","Rs.28000"
"A is a working partner and B is a sleeping partner in the business. A puts in Rs.15000 and B Rs.25000, A receives 10% of the profit for managing the business the rest being divided in proportion of their capitals. Out of a total profit of Rs.9600, money received by A is?","Rs.3240, Rs.3600, Rs.3800","Rs.4200"
"The ratio of investments of two partners P and Q is 7:5 and the ratio of their profits is 7:10. If P invested the money for 5 months, find for how much time did Q invest the money?","7 months, 9 months, 11 months","10 months"
"A and B start a business jointly. A invests Rs.16000 for 8 months and B remains in the business for 4 months. Out of the total profit B claims 2/7th share. How much money is contributed by B?","Rs.10000, Rs.6000, Rs.8000","Rs.12800"
"In a partnership between A, B and A’s capital is Rs.5000. If his share of a profit of Rs.800 is Rs.200 and C’s share is Rs.130, what is B’s capital?","Rs.3250, Rs.6250, Rs.10250","Rs.11750"
"A and B invests Rs.3000 and Rs.4000 respectively in a business. If A doubles his capital after 6 months. In what ratio should A and B divide that year’s profit?","9:10, 3:4, 39:49","9:8"
"A and B put in Rs.300 and Rs.400 respectively into a business. A reinvests into the business his share of the first year’s profit of Rs.210 where as B does not. In what ratio should they divide the second year’s profit?","40:39, 3:4, 4:3","39:40"
"A and B rent a pasture for 10 months. A put in 80 cows for 7 months. How many can B put in for the remaining 3 months, if he pays half as much again as A?","120, 180, 200","280"
"A, B and C enter into partnership. A invests some money at the beginning, B invests double the amount after 6 months, and C invests thrice the amount after 8 months. If the annual gain be Rs.18000. A’s share is?","Rs.7500, Rs.7200, Rs.5750","Rs.6000"
"Three persons invested Rs.9000 in a joint business. The second person invested Rs.1000 more than the first and the third Rs.1000 more than seconAfter two years, they gained Rs.5400. How much third person will get?","Rs.3600, Rs.2850, Rs.2000","Rs.2400"
"A, B and C are partners. A receives 2/3 of profits, B and C dividing the remainder equally. A’s income is increased by Rs.200 when the rate to profit rises from 5 to 7 percent. Find the Capital of B?","Rs.2450, Rs.3600, Rs.3100","Rs.2500"
"Two persons A and B take a field on rent. A puts on it 21 horses for 3 months and 15 cows for 2 months; B puts 15 cows for 6months and 40 sheep for 7 1/2 months. If one day, 3 horses eat as much as 5 cows and 6 cows as much as 10 sheep, what part of the rent should A pay?","2/5 th, 2/3 rd, 1/5 th","1/3 rd"
"A, B and C rents a pasture for Rs.870. A put in 12 horses for 8 months, B 16 horses for 9 months and 18 horses for 6 months. How much should C pay?","Rs.185, Rs.215, Rs.380","Rs.270"
"A began business with Rs.45000 and was joined afterwards by B with Rs.5400. When did B join if the profits at the end of the year were divided in the ratio of 2:1?","4 months, 6 months, 9 months","7 months"
"A, B and C are entered into a partnership. A invested Rs.6500 for 6 months, B invested Rs.8400 for 5 months and C invested for Rs.10000 for 3 months. A is a working partner and gets 5% of the total profit for the same. Find the share of C in a total profit of Rs.7400.","1750, 8600, 10300","1900"
"A, B and C are partners in a business. Their capitals are respectively, Rs.5000, Rs.6000 and Rs.4000. A gets 30% of the total profit for managing the business. The remaining profit is divided among three in the ratio of their capitals. In the end of the year, the profit of A is Rs.200 more than the sum of the profits of B and Find the total profit.","Rs.4500, Rs.5200, Rs.1800","Rs.3000"
"If 6 (A’s capital) = 8 (B’s capital) = 10 (C’s capital). Then the ratio of their capitals is:","3:4:5, 12:15:20, 6:8:10","20:15:12"
"A, B, C together started a business. A invested Rs.6000 for 5 months B invested Rs.3600 for 6 months and C Rs.7500 for 3 months. If they get a total profit of Rs.7410. Find the share of A?","Rs.3750, Rs.3200, Rs.2160","Rs.3000"
"A starts business with a capital of Rs.1200 B and C join with some investments after 3 and 6 months respectively. If the end of a year, the profit is divided in the ratio 2:3:5 respectively. What is B’s investment in the business?","Rs.1800, Rs.3600, Rs.6000","Rs.2400"
"A and B began business with Rs.3000 and Rs.4000 after 8 months, A withdraws Rs.1000 and B advances Rs.1000 more. At the end of the year, their profits amounted to Rs.630 find the share of","Rs.350, Rs.340, Rs.390","Rs.240"
"A and B enter into partnership with capital as 7:9. At the end of 8 months, A withdraws. If they receive the profits in the ratio of 8:9 find how long B’s capital was used?","6 months, 8 months, 10 months","7 months"
"A and B entered into a partnership investing Rs.25000 and Rs.30000 respectively. After 4 months C also joined the business with an investment of Rs.35000. What is the share of C in an annual profit of Rs.47000?","Rs.18000, Rs.15000, Rs.17000","Rs.14000"
"A, B, C and D enter into partnership. A subscribes 1/3 of the capital B 1/4, C 1/5 and D the rest. How much share did A get in a profit of Rs.2460?","Rs.480, Rs.615, Rs.740","Rs.820"
"A, B and C invested Rs.6300, Rs.4200 and Rs.10500 respectively, in a partnership business. Find the share of A in profit of Rs.12100 after a year?","Rs.2840, Rs.3200, Rs.5600","Rs.3630"
"The cost price of an article is 64% of the marked price. Calculate the gain percent after allowing a discount of 12%.","38.5 %, 42 %, 27.5 %","37.5 %"
"A trader marked the selling price of an article at 10% above the cost price. At the time of selling, he allows certain discount and suffers a loss of 1%. He allowed a discount of :","10.5 %, 11 %, 12.5 %","10 %"
"A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of other variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is:","No profit, no loss, 8%, 10%","5%"
