question,wrong_choices,correct_answer
"Which border crossing between Pakistan and Afghanistan was reopened in March 2025 after being closed for nearly a month due to clashes?","Chaman​, Ghulam Khan​, Angoor Adda​","Torkham​"
"Which international sporting event was held in the UK for the first time, featuring teams from Pakistan among other nations in March 2025?","Cricket World Cup​, Hockey World Cup​, Squash World Championship​","Kabaddi World Cup​"
"On March 11, 2025, a passenger train in Balochistan was hijacked by militants. What was the name of this train?","Tezgam Express​, Karakoram Express​, Shalimar Express​","Jaffar Express​"
"Who Hijacked the passenger train in Balochistan in March 2025?","Pakistan military, Taliban fighter, World terrorist group","Balochistan liberation Army (BLA)"
"Who is the Current Chairman of PTCL?","Azfar Manzoor, Captain (Retd) Muhammad Mahmood, None of These","Zarrar Hasham Khan"
"What is Pakistan’s rank in the “Global Terrorism Index 2025”?","1st Rank, 3rd Rank, 4th Rank","2nd Rank"
"Which country to host meeting on water security in OIC states 2025?","Iran, Turkiye, UAE","Pakistan"
"What action did the Khyber Pakhtunkhwa government take regarding Peshawar’s cricket stadium on 21st February 2025?","Renovated the stadium with modern facilities., Increased seating capacity to 50,000., Transferred its management to a private entity.","Decided to rename it after Imran Khan."
"Who is the Current Chief Judge of Gilgit-Baltistan Supreme Appellate Court?","Syed Arshad Hussain Shah, Justice ibrar shah, Justice Salman Chauhan","Justice Sardar Muhammad Shamim Khan"
"What was the primary focus of the second round of Pakistan-Turkey Counter-Terrorism Consultations held in Islamabad on February 10, 2025?","Enhancing economic cooperation, Strengthening defense ties, Discussing cultural exchange programs","Collaborating on counter-terrorism strategies"
"Which significant event did Chief Minister Maryam Nawaz inaugurate in Lahore on February 9, 2025?","Lahore International Book Fair, Punjab Cultural Festival, Pakistan Agricultural Expo","National Horse and Cattle Show"
"What is the purpose of the International Monetary Fund (IMF) mission’s visit to Pakistan in February 2025?","To negotiate a new loan agreement, To evaluate Pakistan’s economic growth, To oversee infrastructure projects","To conduct a Governance and Corruption Diagnostic Assessment"
"What is the focus of the Sea Phase in Aman 2025?","Cultural exchange, Trade negotiations, None of these","Practical exercises like anti-piracy and search and rescue operations"
"What activities are included in the Harbour Phase of Aman 2025?","Live firing exercises, Anti-piracy drills, None of these","Seminars, discussions, and cultural events"
"What is the duration of the Aman 2025 exercise?","February 5 to 10, February 10 to 15, None of these","February 7 to 11"
"Who addressed the attendees at the opening ceremony of Aman 2025?","Chief of Naval Staff, Prime Minister of Pakistan, None of these","Commander of the Pakistan Fleet, Rear Admiral Abdul Munib"
"Where was the opening ceremony of Aman 2025 held?","Islamabad Naval Base, Gwadar Port, None of these","Pakistan Navy Dockyard, Karachi"
"How many countries are participating in Aman 2025?","Over 50, Over 70, None of these","Over 60"
"Which country did Pakistan hold the 3rd Round of Bilateral Political Consultations with in Tashkent on February 5, 2025?","Kazakhstan, Turkmenistan, Kyrgyzstan","Uzbekistan"
"What significant financial challenge does Pakistan face in the fiscal year 2025, according to Fitch Ratings?","A decline in foreign direct investment, A decrease in remittances, A budget deficit exceeding $10 billion","Over $22 billion in external debt repayments"
"What action did FIFA take against the Pakistan Football Federation (PFF) in February 2025?","Awarded it for fair play, Provided financial assistance, Promoted it to a higher ranking","Suspended it from international competitions"
"Which country is hosting the 9th International Naval Exercise “AMAN 2025” starting from 7 to 11 February 2025?","India, China, UAE","Pakistan"
"What is rank of Pakistan in Global Fire Power Index 2025?","10th, 11th, None of These","12th"
"Which two countries agreed to boost intelligence sharing during high-level security talks on February 5th 2025?","Pakistan and Russia, China and India, Pakistan and the United States","Pakistan and China"
"When did Pakistan and Saudi Funds Development (SFD) sign a $1.61 billion agreement to boost economic cooperation?","2nd February 2025, 4th February 2025, 5th February 2025","3rd February 2025"
"What were Pakistan’s total liquid foreign currency reserves as of January 2025?","15 billion, 17 billion, 18 billion","16 billion"
"Who is the Current Speaker of National Assembly of Pakistan?","Raja Pervaiz Ashraf, Asad Qaisar, Assad mehmood","Sardar Ayaz Sadiq"
"What is the current SBP interest rate in Pakistan?","8 percent, 9 percent, None of these","12 percent"
"Population of Pakistan according to 2017 census is?","207,556,520, 204,656,478, 207,756,567","207,774,520"
"Who is the Current Chairman of Senate of Pakistran?","Ahsan iqbal, Raza Rabbani, Sadiq Sanjrani","Yousuf Raza Gilani"
"Which country signed an agreement with Pakistan to supply 100 First Win 4×4 armored vehicles?","China, UAE, Turkey","Thailand"
"Which province of Pakistan experienced a deadly clash between security forces and terrorists on 1st February, resulting in the martyrdom of 18 soldiers and sending 23 terrorists to hell?","Sindh, Punjab, Khyber Pakhtunkhwa","Balochistan"
"The Punjab government has officially imposed a _______ km/h speed limit for motorcycles across the province, including Lahore.","80km/h, 70km/h, None of These","60km/h"
"When was Pakistan’s first locally built Jinnah Class Frigate announced to feature SMASH supersonic ballistic missiles?","25 January 2025, 26 January 2025, 28 January 2025","27 January 2025"
"Who is the Current IG of KPK police?","Mr. Akhtar Hayat Khan, Moazzam Jah Ansari, Nasir Khan Durrani","Zulfiqar Hameed"
"How many Pakistani Universities were listed in the 2025 world rankings?","15, 25, 60","47"
"Which of the following teams defeated Pakistan to win a Test match for the first time in 35 years on January 27, 2025?","Australia, New Zealand, None of these","West Indies"
"Which Province of Pakistan launched the first-ever Chief Minister’s Minority Card Program?","Sindh, Balochistan, Khyber Pakhtunkhwa","Punjab"
"When did the Pakistan Navy assume command of Combined Task Force-151 for the 11th time?","24 January 2025, 25 January 2025, 26 January 2025","23 January 2025"
"From which country did Pakistan take over the leadership of Combined Task Force 151 in January 2025?","UAE, Saudi Arabia, USA","Turkey"
"The New Gwadar International Airport will officially start operations from ___________?","January 25, 2025, January 28, 2025, None of These","January 20, 2025"
"Which Pakistani official welcomed the World Bank’s funding plan, stating it reflects confidence in Pakistan’s economic resilience?","President Arif Alvi, Foreign Minister Bilawal Bhutto Zardari, Finance Minister Ishaq Dar","Prime Minister Shehbaz Sharif"
"Which international financial institution provided a $7 billion loan to Pakistan prior to the World Bank’s funding?","Asian Development Bank, European Central Bank, Islamic Development Bank","International Monetary Fund"
"When is the World Bank’s lending to Pakistan scheduled to commence?","2025, 2027, 2028","2026"
"Over what period will the World Bank’s $20 billion funding be disbursed to Pakistan?","5 years, 15 years, 20 years","10 years"
"Which peak did Pakistani climber Asad Ali Memon successfully summit in Antarctica in January 2025?","Mount Denali, Mount Elbrus, Mount Everest","Mount Vinson"
"Pakistani mountaineer Asad Ali Memon’s successful ascent of Mount Vinson marked the completion of how many peaks in his Seven Summits challenge?","Four, Five, Seven","C .Six"
"On which date did Pakistani mountaineer Asad Ali Memon reach the summit of Mount Vinson?","January 15, 2025, January 20, 2025 D January 25, 2025","January 18, 2025"
"Mount Vinson, which Asad Memon summited in January 2025, is the highest peak on which continent?","Africa, Asia, Europe","Antarctica"
"Pakistani climber Asad Ali Memon hails from which city in Pakistan?","Karachi, Islamabad, Lahore","Larkana"
"From which country did the boat carrying 86 migrants, in which 44 Pakistanis died, depart?","Spain, Morocco, Canary Islands","Mauritania"
"How many Pakistanis were estimated to have died in the Atlantic boat tragedy in January 2025?","36, 50, 66","44"
"Which organization is responsible for launching the PRSC-EO1 satellite?","NASA, European Space Agency (ESA), Indian Space Research Organisation (ISRO)","Pakistan Space and Upper Atmosphere Research Commission (Suparco)"
"From which location was the PRSC-EO1 satellite launched?","Kennedy Space Center, Baikonur Cosmodrome, Tanegashima Space Center","Jiuquan Satellite Launch Centre"
"What is the name of Pakistan’s first indigenous Electro-Optical satellite?","Suparco-1, PakSat-1, JinnahSat","PRSC-EO1"
"Who is the Current Chairman of SUPARCO?","Major General Amer Nadeem, Major General Qaiser Anees Khurram, Engr. Sikandar Zaman","Muhammad Yousaf Khan"
"Who is the Current Deputy Prime Minister of Pakistan?","Bilawal Bhutto Zardari, Shah Mehmood Qureshi, None of these","Ishaq Dar"
"During which event were the $250 million worth MoUs between Pakistani and Chinese companies signed on 17th January 2025?","China-Pakistan Economic Corridor Summit, Medical Equipment Expo, Silk Road Trade Conference","China-Pakistan B2B Matchmaking Conference"
"How much are the MoUs signed between Pakistani and Chinese companies worth in the medical equipment trade on 17th January 2025?","$100 million, $150 million, $200 million","$250 million"
"In January 2025, what type of taxis did the Sindh government introduce for unemployed youth?","Gas-powered taxis, Hybrid taxis, Solar-powered taxis","Electric Vehicles (EV) taxis"
"Which legendary Pakistani cricketers have been inducted into the PCB Hall of Fame 2024?","Misbah-ul-Haq, Saeed Anwar, Inzamam-ul-Haq","E. All Of These"
"According to the latest Henley Passport Index, what is Pakistan’s global passport ranking?","100th, 110th, 97th","103rd"
"How many destinations can Pakistani passport holders travel to without requiring a visa in advance?","25, 30, 40","33"
"On January 10, 2025, a Pakistani court suspended the deportation of how many Afghan singers and musicians?","50, 100, 200","150"
"Which international organization lifted a four-year ban on Pakistan International Airlines (PIA), allowing it to resume flights to Europe in early January 2025?","International Civil Aviation Organization (ICAO), Federal Aviation Administration (FAA), International Air Transport Association (IATA)","European Union Aviation Safety Agency (EASA)"
"On January 10, 2025, Pakistan International Airlines (PIA) resumed flights to which European city after the European Union lifted a 2020 ban?","London, Berlin, Rome","Paris"
"A gas explosion caused a coal mine collapse in which area of Pakistan on January 9, 2025?","Tharparkar, Kohat, Sangla Hill","Singidi, Balochistan"
"Who is the current Federal Minister of National Food Security?","Tariq Bashir Cheema, Khowaja saad Rafiq, None of these","Rana Tanveer Hussain"
"A 3.6 magnitude earthquake jolted which area in Pakistan on January 6, 2025?","Quetta, Islamabad, Lahore","Kalat"
"How many Hindu pilgrims arrived in Pakistan from India on January 6, 2025?","50, 100, 120","84"
"Which Pakistani athlete won the Second Karachi Marathon held in January 2025?","Ali Amin Gandapur, Shan Masood, Hassan Ali","Israr Khattak"
"What was the voter turnout in the PB-45 Quetta by-election?","25.50%, 30.12%, 40.45%","35.36%"
"Who retained his seat in the Balochistan Assembly from PB-45 Quetta in the by-election?","Nasarullah Zerey, Mir Usman Pirkani, Maulana Abdul Wasey","Ali Madad Jattak"
"Which Political Party Won the Quetta By-Elections in Balochistan on January 5, 2025?","Pakistan Tehreek-e-Insaf (PTI), Pashtunkhwa National Awami Party (PkNAP), Jamiat Ulema-e-Islam (F)","Pakistan People’s Party (PPP)"
"Which tragic incident occurred in Turbat On January 4, 2025, Balochistan, involving a bus explosion. How many fatalities were reported as a result of this blast?","2, 6, 8","4"
"In the cricket match between South Africa and Pakistan at Newlands on January 4, 2025, which South African batsman scored a double century, significantly contributing to his team’s commanding position?","Temba Bavuma, Kagiso Rabada, Kyle Verreynne","Ryan Rickelton"
"Which separatist group claimed responsibility for the January 4, 2025, attack in Turbat, Balochistan?","Tehrik-i-Taliban Pakistan (TTP), Al-Qaeda, Islamic State (IS)","Baloch Liberation Army (BLA)"
"What is the name of Pakistan’s National Economic Transformation Plan 2024-29?","Pakistan Vision 2025, Pakistan Economic Development Plan, Sustainable Growth Plan","Uraan Pakistan: Homegrown National Economic Plan"
"Which country did the United States accuse of developing long-range ballistic missiles, leading to new sanctions on four entities, as reported on January 3, 2025?","Iran, North Korea, Syria","Pakistan"
"What was the outcome of the Turkish consortium’s bid for Islamabad Airport operations reported on January 2, 2025?","Accepted at the minimum fee, Rejected due to lack of experience, Accepted with conditions","Offered below the minimum fee"
"What percentage increase in violence was observed in Pakistan in 2024 compared to the previous year?","55%, 73%, 49%","66%"
"How many security personnel lost their lives in 2024 amid terror attacks in Pakistan?","444, 925, 1612","685"
"Which two provinces accounted for the majority of fatalities and incidents in 2024?","Punjab and Sindh, Islamabad and Punjab, Sindh and Balochistan","KP and Balochistan"
"Which province in Pakistan reported the highest number of polio cases in 2024?","Punjab, Khyber Pakhtunkhwa, Sindh","Balochistan"
"Which Pakistani political party was scheduled to meet with the government on January 2, 2025, to address political deadlock?","Pakistan People’s Party (PPP), Pakistan Muslim League-Nawaz (PML-N), Muttahida Qaumi Movement (MQM)","Pakistan Tehreek-e-Insaf (PTI)"
"What tragic event involving Pakistani migrants was reported on January 2, 2025?","A bus accident in Europe involving Pakistani migrants, A fire in a migrant camp in the Middle East, Detention of Pakistani migrants in North America","Over 40+ Pakistanis feared drowned after a migrant boat capsized off West Africa’s Atlantic coast"
"Which Pakistani official expressed intentions to transform nuclear Pakistan into an economic power on January 2, 2025?","Prime Minister, Finance Minister, Foreign Minister","Deputy Prime Minister"
"Which district reported the highest number of polio cases in 2024?","Qila Abdullah, Karachi, Peshawar","Dera Ismail Khan"
"Which two countries are still considered endemic for poliovirus?","Pakistan and India, Afghanistan and Nigeria, Pakistan and Somalia","Pakistan and Afghanistan"
"On what date did Prime Minister Shehbaz Sharif unveil the National Economic Transformation Plan 2024-29?","December 25, 2024, January 1, 2025, November 30, 2024","December 31, 2024"
"How many cases of polio were reported in Pakistan in 2024?","6, 9, 19","68"
"Who is the captain of Pakistan Hockey Team?","Muhammad khalid, Muhammad mehmood, Muhammad Amir","Ammad Shakeel Butt"
"Which former Chief Minister of Gilgit-Baltistan has been sentenced to 34 years in prison by anti-terrorism court?","Gulbar Khan, Mir Afzal, None of these","Khalid Khurshid Khan"
"Which country was reported to be carrying out covert assassination campaigns in Pakistan, according to a report examined on January 1, 2025?","Afghanistan, Iran, United States","India"
"What was the inflation rate in Pakistan as reported on January 1, 2025?","4.1%, 10.5%, 15.2%","Areesha Khan"
"How many times has Pakistan served as a non-permanent member of the UNSC, including the current term?","Six, Seven, Nine","Eight"
"What is the primary responsibility of the United Nations Security Council?","Promote economic development, Address climate change issues, Monitor global trade agreements","Maintain international peace and security"
"Which country did Pakistan replace to occupy the Asia-Pacific seat on the UNSC?","Denmark, Somalia, Malta","Japan"
"When did Pakistan begin its two-year term as a non-permanent member of the United Nations Security Council (UNSC)?","December 31, 2024, June 2024, January 1, 2024","January 1, 2025"
"What framework does the National Economic Transformation Plan 2024-29 use?","The Triple R Approach, The Sustainable Growth Model, The National Development Index","The Five Es"
"What was the main cause of violence in Kurram district?","Political disagreements, Sectarian conflicts, Disagreements over trade routes","Decades-old land disputes"
"On which day did the Kurram tribal district sign a historic agreement","January 1, 2025, January 2, 2025, None of These","December 31, 2024"
"What marked the resolution of the conflict in Kurram district according to the KP government?","Deployment of military forces, Imposition of a curfew, Withdrawal of law enforcement agencies","Signing of a peace agreement"
"Which Pakistani cricketer has been nominated for the ICC Men’s ODI Cricketer of the Year 2024?","Muhammad Rizwan, Shadab Khan, None of these","Babar Azam"
"Renowned journalist Khaled Ahmed passed away on ______, November 2024?","September 17, October 17, December 17","November 17"
"The Japanese government approved a grant of $18.5 million for flood management in Pakistan, specifically for Haripur district, on which date?","12 November, 2024, 14 November, 2024, None of these","13 November, 2024"
"Who is the Current Secretary General of (ECO) Economic Cooperation Organization?","Mr. Khusrav Noziri, Dr. Hadi Soleimanpour, Dr. Ahmad Aboul Gheit","Asad Majeed Khan"
"Which province in Pakistan has the highest percentage of out-of-school children (OOSC), according to Unicef?","Punjab, Khyber Pakhtunkhwa (KP), Sindh","Balochistan"
"T20 Blind Cricket World Cup 2024 is scheduled to be held in Pakistan from: __________?","November 20 to November 30, December 1 to December 10, None of Above","November 23 to December 3"
"T20 Blind Cricket World Cup 2024 is scheduled to be held in: ____________?","India, South Africa, Sri Lanka","Pakistan"
"The 28th Annual Conference of International Association of Peacekeeping Training Centre (IAPTC) is being hosted for the ____ time in Islamabad, Pakistan, on November 4-8, 2024.","7th, 5th, 3rd","1st"
"The 28th Annual Conference of International Association of Peacekeeping Training Centre (IAPTC) is being held in _____ on November 4-8, 2024.","Nairobi, Kenya, New York, USA, Dhaka, Bangladesh","Islamabad, Pakistan"
"Which Provincial Assembly on November 4, 2024, became the first PA to approve the resolution necessary for the formation of a constitutional bench in the province, under 26th Amendment?","Punjab, KP, Balochistan","Sindh"
"The bills passed by parliament on November 4, 2024 include:","The Pakistan Army (Amendment) Bill 2024, The Pakistan Air Force (Amendment) Bill 2024, The Pakistan Navy (Amendment) Bill 2024","All of Above"
"The bills passed by parliament on November 4, 2024, include:","The Supreme Court Number of Judges (Amendment) Bill 2024, The Supreme Court Practice and Procedure (Amendment) Bill 2024, The Islamabad High Court (Amendment) Bill 2024","All of Above"
"How many bills did the coalition government pass on November 4, 2024, in both houses of parliament?","2, 4, 8","6"
"According to the Committee to Protect Journalists’ 2024 ‘Global Impunity Index’ Pakistan ranks ___ out of the 13 worst offenders.","First, Fifth, Ninth","Twelfth"
"Who will provide 20 million euros to Pakistan for the second phase of ‘Billion Tree Afforestation Support Project’ (BTASP), as an agreement for the financial support was signed in Islamabad on November 2, 2024?","France, Austria, Netherlands","Germany"
"November 1, 2024, marked which anniversary of the freedom of Gilgit-Baltistan from Dogra?","75th, 70th, 65th","77th"
"Who led the Pakistan delegation to the 8th edition of the Future Investment Initiative (FII) in Riyadh?","Foreign Minister, Finance Minister, Commerce and Trade Minister","Prime Minister"
"A two-day 2024 conference of the “International Search and Rescue Advisory Group (INSARAG)” held in Islamabad, on October 29-30, 2024, was hosted by: _________?","The Pakistan Environmental Protection Agency, Ministry of Foreign Affairs, Human Rights Commission of Pakistan","National Disaster Management Authority (NDMA)"
"In the International Telecommunication Union’s (ITU) Global Cybersecurity Index (GCI) 2024, Pakistan has improved its ranking to:","Tier-2 (Advancing), Tier-3 (Establishing), None of These","Tier-1 (Role-modelling)"
"The World Justice Project’s (WJP) Rule of Law Index for 2024 has ranked Pakistan _____ out of 142 countries assessed worldwide.","125th, 135th, 140th","129th"
"The 45th Annual Forum of ‘Parliamentarians for Global Action (PGA)’ and the 13th Consultative Assembly of Parliamentarians on the International Criminal Court and Rule of Law held in:","Victoria, Seychelles, New Delhi, India, Washington","Islamabad, Pakistan"
"Which Superintendent of Police (SP) from Pakistan received the 2024 International Association of Chiefs of Police (IACP) Global Award for outstanding professional service?","Imran Qureshi, Mohammad Naveed, Rashim Jehangir","Beenish Fatima"
"Which Social Media site, in collaboration with the Pakistan Telecommunication Authority (PTA), has announced the launch of the #DigitalHifazat contest?","Facebook, X (Twitter), WhatsApp","TikTok"
"Which Pakistani senator led the delegation serving as international observers for Uzbekistan’s parliamentary elections in 2024?","Senator Sarmad Ali, Senator Amir Chishti, Senator Ayesha Raza","Senator Irfan Siddiqui"
"Who led the Pakistan delegation to the Commonwealth Heads of Government Meeting (CHOGM) 2024 held in Apia, Samoa?","Shahbaz Sharif, Asif Ali Zardari, Muhammad Aurangzeb","Mohammad Ishaq Dar"
